XOO0937	KPN_00077
XOO0936	KPN_00078
XOO0941	KPN_00080
XOO0940	KPN_00079
XOO0926	KPN_03972
XOO0925	KPN_01068
XOO0925	KPN_01167
XOO0809	KPN_00208
XOO3083	KPN_00601
XOO4052	KPN_03757
XOO0915	KPN_04576
XOO4160	KPN_01255
XOO4286	KPN_00602
XOO4161	KPN_01256
XOO4284	KPN_02923
XOO4284	KPN_00758
XOO4284	KPN_02162
XOO4163	KPN_03746
XOO4034	KPN_01906
XOO4034	KPN_04601
XOO4034	KPN_00116
XOO4034	KPN_00537
XOO3187	KPN_02180
XOO4398	KPN_03922
XOO4399	KPN_03923
XOO4157	KPN_00126
XOO3182	KPN_02175
XOO4151	KPN_00103
XOO3183	KPN_02176
XOO4030	KPN_02303
XOO4030	KPN_03869
XOO0736	KPN_04135
XOO2917	KPN_04096
XOO0502	KPN_02492
XOO0726	KPN_04143
XOO1818	KPN_04233
XOO1818	KPN_03410
XOO0729	KPN_04140
XOO0728	KPN_04141
XOO0727	KPN_04142
XOO2910	KPN_03929
XOO0733	KPN_04136
XOO1821	KPN_02330
XOO1821	KPN_03140
XOO0732	KPN_04137
XOO0731	KPN_04138
XOO0730	KPN_04139
XOO0715	KPN_00211
XOO0714	KPN_00212
XOO1924	KPN_02560
XOO0713	KPN_00213
XOO0834	KPN_04665
XOO1929	KPN_02594
XOO1929	KPN_00309
XOO4084	KPN_02724
XOO0964	KPN_04627
XOO0722	KPN_00120
XOO0963	KPN_00456
XOO0720	KPN_00119
XOO0841	KPN_02882
XOO1930	KPN_00310
XOO0945	KPN_04267
XOO0945	KPN_00082
XOO0945	KPN_04074
XOO0947	KPN_04376
XOO4198	KPN_03952
XOO0952	KPN_04621
XOO0831	KPN_04663
XOO0539	KPN_04388
XOO1628	KPN_00024
XOO0417	KPN_01236
XOO0537	KPN_04387
XOO1989	KPN_02805
XOO1626	KPN_00021
XOO1625	KPN_00020
XOO1867	KPN_01104
XOO1504	KPN_02750
XOO0778	KPN_04233
XOO0778	KPN_03410
XOO2956	KPN_03106
XOO1629	KPN_00394
XOO2717	KPN_00451
XOO1990	KPN_00695
XOO1631	KPN_00392
XOO2963	KPN_03123
XOO3810	KPN_04239
XOO1630	KPN_00393
XOO2966	KPN_02230
XOO2960	KPN_03108
XOO2961	KPN_03109
XOO1632	KPN_00391
XOO2828	KPN_01994
XOO2828	KPN_04217
XOO1736	KPN_03126
XOO1615	KPN_00415
XOO0767	KPN_00803
XOO3915	KPN_00698
XOO2948	KPN_03587
XOO1739	KPN_00164
XOO2711	KPN_02865
XOO2712	KPN_01994
XOO2712	KPN_04217
XOO1745	KPN_03380
XOO0777	KPN_03409
XOO1985	KPN_00179
XOO1848	KPN_01474
XOO2939	KPN_03029
XOO1847	KPN_00756
XOO0758	KPN_00409
XOO0878	KPN_01089
XOO1967	KPN_00192
XOO1966	KPN_00193
XOO1603	KPN_02393
XOO1972	KPN_00187
XOO0883	KPN_01093
XOO0762	KPN_00983
XOO0882	KPN_01092
XOO0761	KPN_02713
XOO1971	KPN_00188
XOO0881	KPN_01091
XOO1970	KPN_00186
XOO0880	KPN_01090
XOO2702	KPN_02641
XOO0402	KPN_00316
XOO1974	KPN_00184
XOO2928	KPN_02550
XOO0746	KPN_04134
XOO2923	KPN_02812
XOO2804	KPN_03672
XOO0508	KPN_03983
XOO2805	KPN_03673
XOO1961	KPN_00198
XOO2810	KPN_02762
XOO2810	KPN_02764
XOO2811	KPN_00516
XOO2812	KPN_02598
XOO1965	KPN_00194
XOO1601	KPN_02392
XOO0512	KPN_01978
XOO1964	KPN_00195
XOO0339	KPN_03152
XOO3968	KPN_00667
XOO3607	KPN_02235
XOO1790	KPN_03125
XOO0586	KPN_03688
XOO2887	KPN_00041
XOO1795	KPN_03340
XOO2400	KPN_00795
XOO2888	KPN_00040
XOO3856	KPN_00366
XOO1794	KPN_03341
XOO0220	KPN_03374
XOO0469	KPN_03736
XOO0469	KPN_00044
XOO3850	KPN_00369
XOO2763	KPN_02305
XOO3852	KPN_00367
XOO2508	KPN_03974
XOO2505	KPN_03807
XOO2868	KPN_02322
XOO3958	KPN_03036
XOO0450	KPN_02855
XOO0690	KPN_01198
XOO0332	KPN_03801
XOO0453	KPN_04428
XOO3844	KPN_00715
XOO1662	KPN_04152
XOO0694	KPN_02308
XOO0694	KPN_04440
XOO3603	KPN_02238
XOO3845	KPN_00716
XOO0693	KPN_02309
XOO3604	KPN_02237
XOO3846	KPN_00717
XOO2514	KPN_04374
XOO2872	KPN_03318
XOO2872	KPN_00502
XOO0456	KPN_00801
XOO0455	KPN_00800
XOO3829	KPN_00090
XOO1527	KPN_00986
XOO0558	KPN_03664
XOO3825	KPN_00095
XOO3826	KPN_00094
XOO3828	KPN_00091
XOO2865	KPN_01272
XOO3713	KPN_00701
