H16_B0626	RSR24_02474
H16_B0627	RSR24_02475
H16_B1956	RSR24_00450
H16_B1956	RSR24_01307
H16_B1951	RSR24_01938
H16_B1951	RSR24_01591
H16_B1951	RSR24_01368
H16_B1951	RSR24_02956
H16_B0620	RSR24_03537
H16_B0619	RSR24_03538
H16_B0618	RSR24_04156
H16_B0618	RSR24_01997
H16_B0618	RSR24_04192
H16_B0613	RSR24_03895
H16_B1944	RSR24_00215
H16_B0614	RSR24_04513
H16_B1942	RSR24_00212
H16_B1977	RSR24_03184
H16_B0646	RSR24_04363
H16_B1978	RSR24_04002
H16_B1973	RSR24_03895
H16_B1971	RSR24_03460
H16_B0641	RSR24_00447
H16_B1970	RSR24_03205
H16_B0639	RSR24_01557
H16_B1965	RSR24_03037
H16_B1960	RSR24_03191
H16_B1906	RSR24_03895
H16_B1907	RSR24_02123
H16_B1904	RSR24_01540
H16_B1904	RSR24_01083
H16_A2190	RSR24_04678
H16_A2192	RSR24_01323
H16_A2196	RSR24_02968
H16_A2195	RSR24_02967
H16_A2198	RSR24_02970
H16_A2197	RSR24_02969
H16_A2199	RSR24_02971
H16_B1939	RSR24_03191
H16_B1937	RSR24_03895
H16_B1938	RSR24_00214
H16_B1935	RSR24_04439
H16_B0605	RSR24_03710
H16_B1933	RSR24_04249
H16_B0603	RSR24_00451
H16_B1930	RSR24_03219
H16_B1928	RSR24_03223
H16_B1929	RSR24_04685
H16_B1926	RSR24_04684
H16_B1927	RSR24_03223
H16_B1924	RSR24_04686
H16_B1924	RSR24_02323
H16_B1924	RSR24_03059
H16_B1925	RSR24_04687
H16_A3499	RSR24_03097
H16_A3490	RSR24_03081
H16_A3492	RSR24_04074
H16_A3492	RSR24_03083
H16_A3491	RSR24_03103
H16_A3491	RSR24_03082
H16_A3494	RSR24_03085
H16_A2162	RSR24_03895
H16_A3493	RSR24_03084
H16_A2165	RSR24_04476
H16_A3496	RSR24_03094
H16_A2164	RSR24_04475
H16_A3495	RSR24_03086
H16_A2167	RSR24_03850
H16_A2167	RSR24_03963
H16_A3498	RSR24_03096
H16_A3497	RSR24_03095
H16_A2159	RSR24_04603
H16_A3481	RSR24_03077
H16_A3480	RSR24_03076
H16_A3483	RSR24_03079
H16_A3482	RSR24_03078
H16_A2154	RSR24_02340
H16_A2153	RSR24_03895
H16_A3484	RSR24_03080
H16_A2181	RSR24_00103
H16_A2180	RSR24_01732
H16_A2183	RSR24_00101
H16_A2182	RSR24_00102
H16_A2185	RSR24_04174
H16_A2184	RSR24_04173
H16_A2187	RSR24_04176
H16_A2186	RSR24_04175
H16_A2189	RSR24_04092
H16_A2188	RSR24_04177
H16_A2179	RSR24_01733
H16_A2172	RSR24_01473
H16_A2171	RSR24_02578
H16_A2174	RSR24_03949
H16_A2173	RSR24_03422
H16_A2178	RSR24_01734
H16_A2178	RSR24_01735
H16_A2177	RSR24_01734
H16_A2177	RSR24_01735
H16_A2125	RSR24_00931
H16_A2125	RSR24_03459
H16_A3456	RSR24_03052
H16_A3455	RSR24_03051
H16_A3458	RSR24_03054
H16_A3457	RSR24_03053
H16_A3459	RSR24_03055
RALH1_K20438	RSR24_01703
H16_B1078	RSR24_03895
H16_B1076	RSR24_00807
H16_B1076	RSR24_02657
H16_B1071	RSR24_04547
H16_A3450	RSR24_03047
H16_A3452	RSR24_03049
H16_A2121	RSR24_01855
H16_A3451	RSR24_03048
H16_A3453	RSR24_03050
H16_A2122	RSR24_04524
H16_A2114	RSR24_01850
H16_A3445	RSR24_03042
H16_A2113	RSR24_01849
H16_A3444	RSR24_03041
H16_A2116	RSR24_01851
H16_A3447	RSR24_03044
H16_A3446	RSR24_03043
H16_A2118	RSR24_01853
H16_A3449	RSR24_03046
H16_A2117	RSR24_01852
H16_A3448	RSR24_03045
H16_A2119	RSR24_01854
H16_B1067	RSR24_00304
H16_B2399	RSR24_03350
H16_B1061	RSR24_04070
H16_B1062	RSR24_04071
H16_B1060	RSR24_04069
RALH10402	RSR24_00810
H16_A3441	RSR24_03037
H16_A2110	RSR24_01847
H16_A3440	RSR24_03036
H16_A2112	RSR24_01848
H16_A3443	RSR24_03040
H16_A3442	RSR24_03038
H16_A3478	RSR24_03074
H16_A2146	RSR24_03895
H16_A3477	RSR24_03073
H16_A3479	RSR24_03075
H16_B1096	RSR24_01915
H16_B1094	RSR24_02617
H16_B1095	RSR24_01122
H16_B1093	RSR24_02620
H16_B1093	RSR24_02616
H16_A3470	RSR24_03066
