H16_B0626	RSBDBR229_03766
H16_B1957	RSBDBR229_01364
H16_B0627	RSBDBR229_03767
H16_B1956	RSBDBR229_04397
H16_B1951	RSBDBR229_02323
H16_B0620	RSBDBR229_03348
H16_B0619	RSBDBR229_03349
H16_B0618	RSBDBR229_03942
H16_B0618	RSBDBR229_01695
H16_B1944	RSBDBR229_00468
H16_B1942	RSBDBR229_00471
H16_B1977	RSBDBR229_00809
H16_B0646	RSBDBR229_04616
H16_B1978	RSBDBR229_00584
H16_B1971	RSBDBR229_00199
H16_B1970	RSBDBR229_00266
H16_B1965	RSBDBR229_02877
H16_B1960	RSBDBR229_00279
H16_B1907	RSBDBR229_04503
H16_B1904	RSBDBR229_04137
H16_B1900	RSBDBR229_02520
H16_A2192	RSBDBR229_04329
H16_B1939	RSBDBR229_00279
H16_B1938	RSBDBR229_00469
H16_B1935	RSBDBR229_02365
H16_B1936	RSBDBR229_00467
H16_B0605	RSBDBR229_01241
H16_B1933	RSBDBR229_02135
H16_B0603	RSBDBR229_04522
H16_B1930	RSBDBR229_00248
H16_B1928	RSBDBR229_00243
H16_B1929	RSBDBR229_03618
H16_B1926	RSBDBR229_03619
H16_B1927	RSBDBR229_00243
H16_B1924	RSBDBR229_02899
H16_B1924	RSBDBR229_03617
H16_B1924	RSBDBR229_01299
H16_B1925	RSBDBR229_03616
H16_B1920	RSBDBR229_03463
H16_B1921	RSBDBR229_03463
H16_A3499	RSBDBR229_02937
H16_A3490	RSBDBR229_02921
H16_A3492	RSBDBR229_04536
H16_A3492	RSBDBR229_02923
H16_A3491	RSBDBR229_02943
H16_A3491	RSBDBR229_02922
H16_A3494	RSBDBR229_02925
H16_A3493	RSBDBR229_02924
H16_A2165	RSBDBR229_02406
H16_A3496	RSBDBR229_02934
H16_A2164	RSBDBR229_02405
H16_A3495	RSBDBR229_02926
H16_A2167	RSBDBR229_02479
H16_A3498	RSBDBR229_02936
H16_A3497	RSBDBR229_02935
H16_A2159	RSBDBR229_03638
H16_A3481	RSBDBR229_02917
H16_A3480	RSBDBR229_02916
H16_A3483	RSBDBR229_02919
H16_A3482	RSBDBR229_02918
H16_A2154	RSBDBR229_01282
H16_A3484	RSBDBR229_02920
H16_A2181	RSBDBR229_00101
H16_A2180	RSBDBR229_04025
H16_A2183	RSBDBR229_00099
H16_A2182	RSBDBR229_00100
H16_A2189	RSBDBR229_03467
H16_A2179	RSBDBR229_04024
