YPO1601	XFCFBP8418_005890
YPO1962	XFCFBP8418_003360
YPO1049	XFCFBP8418_024830
YPO1600	XFCFBP8418_005900
YPO2016	XFCFBP8418_012920
YPO1048	XFCFBP8418_024850
YPO2014	XFCFBP8418_012890
YPO1046	XFCFBP8418_024760
YPO2013	XFCFBP8418_012870
YPO3222	XFCFBP8418_025230
YPO3221	XFCFBP8418_025220
YPO1041	XFCFBP8418_015100
YPO2372	XFCFBP8418_015560
YPO2921	XFCFBP8418_003400
YPO0068	XFCFBP8418_018110
YPO3215	XFCFBP8418_004160
YPO3578	XFCFBP8418_003480
YPO3577	XFCFBP8418_003470
YPO0066	XFCFBP8418_012410
YPO1395	XFCFBP8418_024530
YPO1396	XFCFBP8418_024520
YPO1151	XFCFBP8418_014650
YPO1152	XFCFBP8418_004000
YPO1391	XFCFBP8418_004870
YPO0616	XFCFBP8418_007430
YPO2912	XFCFBP8418_000890
YPO3569	XFCFBP8418_003450
YPO1028	XFCFBP8418_002960
YPO1389	XFCFBP8418_021100
YPO1023	XFCFBP8418_011590
YPO0055	XFCFBP8418_015030
YPO3443	XFCFBP8418_015270
YPO0053	XFCFBP8418_025440
YPO3441	XFCFBP8418_015310
YPO2908	XFCFBP8418_014590
YPO2907	XFCFBP8418_009820
YPO3319	XFCFBP8418_020430
YPO0169	XFCFBP8418_026740
YPO0048	XFCFBP8418_015430
YPO1379	XFCFBP8418_020870
YPO2227	XFCFBP8418_014470
YPO3558	XFCFBP8418_013350
YPO3557	XFCFBP8418_013360
YPO0047	XFCFBP8418_015440
YPO3312	XFCFBP8418_020720
YPO1133	XFCFBP8418_016460
YPO1133	XFCFBP8418_027800
YPO0045	XFCFBP8418_015470
YPO2222	XFCFBP8418_001170
YPO2221	XFCFBP8418_025940
YPO3793	XFCFBP8418_024670
YPO3430	XFCFBP8418_011870
YPO1374	XFCFBP8418_003190
YPO0040	XFCFBP8418_002650
YPO1129	XFCFBP8418_010570
YPO0158	XFCFBP8418_010970
YPO3305	XFCFBP8418_015200
YPO0038	XFCFBP8418_008750
YPO3788	XFCFBP8418_020760
YPO3424	XFCFBP8418_000560
YPO0155	XFCFBP8418_026760
YPO0152	XFCFBP8418_004170
YPO3781	XFCFBP8418_002810
YPO3660	XFCFBP8418_014540
YPO4072	XFCFBP8418_000880
YPO4071	XFCFBP8418_000870
YPO0945	XFCFBP8418_002620
YPO0946	XFCFBP8418_002610
YPO1914	XFCFBP8418_012310
YPO3419	XFCFBP8418_005940
YPO3418	XFCFBP8418_010550
YPO3659	XFCFBP8418_014550
YPO3417	XFCFBP8418_010560
YPO2206	XFCFBP8418_026730
YPO3658	XFCFBP8418_014560
YPO3779	XFCFBP8418_017800
YPO0942	XFCFBP8418_013370
YPO2205	XFCFBP8418_026720
YPO1599	XFCFBP8418_005910
YPO1115	XFCFBP8418_011960
YPO3415	XFCFBP8418_025910
YPO1116	XFCFBP8418_011970
YPO2204	XFCFBP8418_003830
YPO0024	XFCFBP8418_017710
YPO0145	XFCFBP8418_008630
YPO1597	XFCFBP8418_017940
YPO1113	XFCFBP8418_002140
YPO3897	XFCFBP8418_014980
YPO1598	XFCFBP8418_005920
YPO1114	XFCFBP8418_002150
YPO3412	XFCFBP8418_002270
YPO1111	XFCFBP8418_024620
YPO1112	XFCFBP8418_024610
YPO0144	XFCFBP8418_015820
YPO3771	XFCFBP8418_019180
YPO3099	XFCFBP8418_026210
YPO3097	XFCFBP8418_026200
YPO3094	XFCFBP8418_019410
YPO4061	XFCFBP8418_000530
YPO4061	XFCFBP8418_012590
YPO0935	XFCFBP8418_000840
YPO1108	XFCFBP8418_002320
YPO3407	XFCFBP8418_010460
YPO0931	XFCFBP8418_007840
YPO3525	XFCFBP8418_000660
YPO0378	XFCFBP8418_007280
YPO3403	XFCFBP8418_026540
YPO3402	XFCFBP8418_026550
YPO3401	XFCFBP8418_026560
YPO2554	XFCFBP8418_025720
YPO2433	XFCFBP8418_011800
YPO2675	XFCFBP8418_003370
YPO0253	XFCFBP8418_020630
YPO3400	XFCFBP8418_026570
YPO3521	XFCFBP8418_019680
YPO0493	XFCFBP8418_010890
YPO2551	XFCFBP8418_025680
YPO0251	XFCFBP8418_020610
YPO3760	XFCFBP8418_012220
YPO0490	XFCFBP8418_019500
YPO0929	XFCFBP8418_015380
YPO0926	XFCFBP8418_000640
