KPN_04005	XOO3238
KPN_03036	XOO3958
KPN_04008	XOO3690
KPN_01090	XOO0880
KPN_01091	XOO0881
KPN_02180	XOO3187
KPN_01092	XOO0882
KPN_01093	XOO0883
KPN_03152	XOO0339
KPN_02186	XOO1191
KPN_02176	XOO3183
KPN_04476	XOO4548
KPN_04233	XOO0778
KPN_04233	XOO1818
KPN_04478	XOO4544
KPN_01089	XOO0878
KPN_03389	XOO1140
KPN_03388	XOO1141
KPN_04239	XOO3810
KPN_03029	XOO2939
KPN_03380	XOO1745
KPN_03140	XOO1821
KPN_04350	XOO2236
KPN_02295	XOO0228
KPN_02054	XOO0799
KPN_02175	XOO3182
KPN_01197	XOO1203
KPN_03375	XOO3791
KPN_01198	XOO0690
KPN_02160	XOO2211
KPN_02162	XOO4284
KPN_03374	XOO0220
KPN_04329	XOO3987
KPN_03119	XOO3398
KPN_03123	XOO2963
KPN_00096	XOO3824
KPN_00095	XOO3825
KPN_00094	XOO3826
KPN_03125	XOO1790
KPN_03124	XOO2967
KPN_04576	XOO0915
KPN_01068	XOO0925
KPN_00091	XOO3828
KPN_03126	XOO1736
KPN_04339	XOO0481
KPN_00090	XOO3829
KPN_04217	XOO2828
KPN_04217	XOO2712
KPN_04217	XOO3208
KPN_02392	XOO1601
KPN_02393	XOO1603
KPN_04331	XOO0350
KPN_00919	XOO2654
KPN_04289	XOO0793
KPN_04288	XOO0792
KPN_04282	XOO4302
KPN_00904	XOO4200
KPN_04157	XOO3785
KPN_04399	XOO2073
KPN_04270	XOO4231
KPN_03183	XOO1350
KPN_04152	XOO1662
KPN_04394	XOO1388
KPN_04267	XOO0945
KPN_04388	XOO0539
KPN_04387	XOO0537
KPN_02080	XOO2154
KPN_02081	XOO2155
KPN_04140	XOO0729
KPN_04142	XOO0727
KPN_04141	XOO0728
KPN_04143	XOO0726
KPN_04135	XOO0736
KPN_03045	XOO1124
KPN_04134	XOO0746
KPN_04376	XOO0947
KPN_04137	XOO0732
KPN_04379	XOO1242
KPN_02079	XOO3006
KPN_04136	XOO0733
KPN_04139	XOO0730
KPN_04138	XOO0731
KPN_03161	XOO1402
KPN_02193	XOO2981
KPN_04131	XOO2464
KPN_04130	XOO2465
KPN_04372	XOO3372
KPN_04133	XOO2462
KPN_04133	XOO2461
KPN_04374	XOO2514
KPN_04132	XOO2463
KPN_03673	XOO2805
KPN_03673	XOO3018
KPN_03673	XOO3016
KPN_00041	XOO2887
KPN_01132	XOO2777
KPN_03672	XOO2804
KPN_00040	XOO2888
KPN_00281	XOO2666
KPN_01254	XOO3252
KPN_01255	XOO4160
KPN_00280	XOO2665
KPN_03795	XOO0112
KPN_01256	XOO4161
KPN_03798	XOO0194
KPN_03798	XOO0113
KPN_03797	XOO3349
KPN_03797	XOO0117
KPN_02468	XOO3956
KPN_01017	XOO4321
KPN_01017	XOO2786
KPN_00049	XOO3747
KPN_00169	XOO1232
KPN_00046	XOO3750
KPN_00045	XOO3751
KPN_00044	XOO2188
KPN_00044	XOO0469
KPN_00164	XOO1739
KPN_01493	XOO1219
KPN_02206	XOO4342
KPN_04627	XOO0964
KPN_04626	XOO0015
KPN_02330	XOO1821
KPN_00393	XOO1630
KPN_00392	XOO1631
KPN_03664	XOO0558
KPN_00391	XOO1632
KPN_01365	XOO0016
KPN_01123	XOO4332
KPN_03665	XOO0556
KPN_01126	XOO3649
KPN_01127	XOO1176
KPN_02458	XOO2788
KPN_00394	XOO1629
KPN_00139	XOO2361
KPN_04615	XOO3657
KPN_03409	XOO0777
KPN_00140	XOO2363
KPN_03895	XOO2981
KPN_01474	XOO1848
KPN_01474	XOO2452
KPN_04621	XOO0952
KPN_02200	XOO0241
KPN_02322	XOO2868
KPN_02564	XOO4511
KPN_03410	XOO0778
KPN_03410	XOO1818
KPN_02202	XOO2186
KPN_02565	XOO4512
KPN_02566	XOO4511
KPN_01236	XOO0417
KPN_01236	XOO3423
KPN_01478	XOO0481
KPN_03536	XOO4620
KPN_02568	XOO4123
KPN_00024	XOO1628
KPN_01590	XOO0491
KPN_00142	XOO2365
KPN_00021	XOO1626
KPN_00020	XOO1625
KPN_00141	XOO2364
KPN_02560	XOO1924
KPN_00008	XOO3649
KPN_00369	XOO3850
KPN_02305	XOO2763
KPN_02668	XOO3224
KPN_03757	XOO4052
KPN_03878	XOO1117
KPN_02308	XOO0694
KPN_02309	XOO0693
KPN_02550	XOO2928
KPN_02671	XOO3227
KPN_03761	XOO1244
KPN_03760	XOO1243
KPN_02672	XOO3228
KPN_01221	XOO1219
KPN_02674	XOO3230
KPN_02797	XOO1118
KPN_01587	XOO4424
KPN_02798	XOO3649
KPN_03767	XOO1156
KPN_02677	XOO3235
KPN_01104	XOO1867
KPN_02799	XOO1176
KPN_00134	XOO2423
KPN_00254	XOO1270
KPN_00373	XOO3299
KPN_00372	XOO2017
KPN_03109	XOO2961
KPN_03108	XOO2960
KPN_03114	XOO3397
KPN_00082	XOO0945
KPN_03355	XOO3415
KPN_03113	XOO3396
KPN_03597	XOO1438
KPN_03357	XOO1176
KPN_03599	XOO1290
KPN_00080	XOO0941
KPN_03236	XOO3752
KPN_03118	XOO3400
KPN_03117	XOO3401
KPN_02380	XOO1656
KPN_00089	XOO3830
KPN_00088	XOO3831
KPN_04441	XOO0016
KPN_04440	XOO0694
KPN_04308	XOO3997
KPN_03339	XOO3547
KPN_04428	XOO0453
KPN_02495	XOO0795
KPN_00195	XOO1964
KPN_02496	XOO0793
KPN_00194	XOO1965
KPN_02497	XOO0792
KPN_00193	XOO1966
KPN_03587	XOO2948
KPN_03586	XOO3249
KPN_00192	XOO1967
KPN_01167	XOO0925
KPN_02014	XOO2457
KPN_04557	XOO3264
KPN_03225	XOO2368
KPN_03225	XOO2733
KPN_03349	XOO1127
KPN_03106	XOO2956
KPN_03348	XOO2143
KPN_02490	XOO0793
KPN_00079	XOO0940
KPN_02491	XOO0792
KPN_00078	XOO0936
KPN_00077	XOO0937
KPN_00198	XOO1961
KPN_02492	XOO0502
KPN_04430	XOO3757
KPN_03341	XOO1794
KPN_01041	XOO4145
KPN_03462	XOO4124
KPN_02494	XOO0794
KPN_03340	XOO1795
KPN_00184	XOO1974
KPN_04663	XOO0831
KPN_02364	XOO3519
KPN_04665	XOO0834
KPN_02366	XOO2317
KPN_01277	XOO0247
KPN_02367	XOO2314
KPN_02488	XOO0794
KPN_04304	XOO4007
KPN_04424	XOO2313
KPN_02489	XOO0795
KPN_02369	XOO3413
KPN_00188	XOO1971
KPN_02480	XOO2260
KPN_02481	XOO2261
KPN_00187	XOO1972
KPN_02482	XOO2262
KPN_01272	XOO2865
KPN_00186	XOO1970
