H16_B0626	RSPSI07_00994
H16_B1957	RSPSI07_01187
H16_B0627	RSPSI07_00993
H16_B1956	RSPSI07_01450
H16_B0622	RSPSI07_04619
H16_B1951	RSPSI07_01523
H16_B1951	RSPSI07_01694
H16_B0620	RSPSI07_03278
H16_B0619	RSPSI07_03279
H16_B0617	RSPSI07_01760
H16_B0618	RSPSI07_02015
H16_B0618	RSPSI07_04023
H16_B1949	RSPSI07_03378
H16_B1944	RSPSI07_03051
H16_B0614	RSPSI07_04404
H16_B1942	RSPSI07_03054
H16_B1977	RSPSI07_00333
H16_B0646	RSPSI07_04249
H16_B1978	RSPSI07_03792
H16_B1971	RSPSI07_00050
H16_B1970	RSPSI07_00311
H16_B0633	RSPSI07_03425
H16_B1965	RSPSI07_00487
H16_B1960	RSPSI07_00325
H16_B1910	RSPSI07_01534
H16_B1907	RSPSI07_01344
H16_B1904	RSPSI07_02256
H16_B1900	RSPSI07_03612
H16_A2190	RSPSI07_04580
H16_A2192	RSPSI07_01476
H16_B1939	RSPSI07_00325
H16_B1938	RSPSI07_03052
H16_B1935	RSPSI07_04338
H16_B1936	RSPSI07_03050
H16_B0605	RSPSI07_03468
H16_B1933	RSPSI07_04135
H16_B0603	RSPSI07_03944
H16_B1930	RSPSI07_00296
H16_B1928	RSPSI07_00292
H16_B1929	RSPSI07_04588
H16_B1926	RSPSI07_04587
H16_B1927	RSPSI07_00292
H16_B1924	RSPSI07_00465
H16_B1924	RSPSI07_04589
H16_B1924	RSPSI07_01124
H16_B1925	RSPSI07_04590
H16_B1920	RSPSI07_03955
H16_B1921	RSPSI07_03955
H16_A3499	RSPSI07_00427
H16_A3490	RSPSI07_00443
H16_A3492	RSPSI07_03930
H16_A3492	RSPSI07_00441
H16_A3491	RSPSI07_00421
H16_A3491	RSPSI07_00442
H16_A3494	RSPSI07_00439
H16_A3493	RSPSI07_00440
H16_A2165	RSPSI07_04376
H16_A3496	RSPSI07_00430
H16_A2164	RSPSI07_04375
H16_A3495	RSPSI07_00438
H16_A2167	RSPSI07_03644
H16_A2167	RSPSI07_03741
H16_A3498	RSPSI07_00428
H16_A3497	RSPSI07_00429
H16_A2159	RSPSI07_04499
H16_A3481	RSPSI07_00447
H16_A3480	RSPSI07_00448
H16_A3483	RSPSI07_00445
H16_A3482	RSPSI07_00446
H16_A2154	RSPSI07_01108
H16_A3484	RSPSI07_00444
H16_A2181	RSPSI07_03151
H16_A2180	RSPSI07_04093
H16_A2183	RSPSI07_03153
H16_A2182	RSPSI07_03152
H16_A2185	RSPSI07_04039
H16_A2184	RSPSI07_04038
H16_A2187	RSPSI07_04041
H16_A2186	RSPSI07_04040
H16_A2189	RSPSI07_03959
H16_A2188	RSPSI07_04042
H16_A2179	RSPSI07_04094
H16_A2172	RSPSI07_01613
H16_A2171	RSPSI07_00885
H16_A2174	RSPSI07_03728
H16_A2173	RSPSI07_00086
H16_A2178	RSPSI07_04095
H16_A2178	RSPSI07_04096
H16_A2177	RSPSI07_04095
H16_A2177	RSPSI07_04096
H16_A2125	RSPSI07_02374
H16_A2125	RSPSI07_00051
H16_A3456	RSPSI07_00472
H16_A3455	RSPSI07_00473
H16_A3458	RSPSI07_00470
H16_A3457	RSPSI07_00471
H16_A3459	RSPSI07_00469
H16_B1076	RSPSI07_00805
H16_B1076	RSPSI07_02509
H16_B1071	RSPSI07_04443
H16_A3450	RSPSI07_00477
H16_A3452	RSPSI07_00475
H16_A2121	RSPSI07_01910
H16_A3451	RSPSI07_00476
H16_A3453	RSPSI07_00474
H16_A2122	RSPSI07_04420
H16_A2114	RSPSI07_01905
H16_A3445	RSPSI07_00482
H16_A2113	RSPSI07_01904
H16_A3444	RSPSI07_00483
H16_A2116	RSPSI07_01906
H16_A3447	RSPSI07_00480
H16_A3446	RSPSI07_00481
H16_A2118	RSPSI07_01908
H16_A3449	RSPSI07_00478
H16_A2117	RSPSI07_01907
H16_A3448	RSPSI07_00479
H16_A2119	RSPSI07_01909
H16_B1067	RSPSI07_02976
H16_B2399	RSPSI07_00158
H16_B1061	RSPSI07_03926
H16_B1062	RSPSI07_03927
H16_B1060	RSPSI07_03925
RALH10402	RSPSI07_02508
H16_A3441	RSPSI07_00487
H16_A2110	RSPSI07_01902
H16_A3440	RSPSI07_00488
H16_A2112	RSPSI07_01903
H16_A3443	RSPSI07_00484
H16_A3442	RSPSI07_00486
H16_A3478	RSPSI07_00450
H16_A3477	RSPSI07_00451
H16_A3479	RSPSI07_00449
H16_B1099	RSPSI07_02208
H16_B1096	RSPSI07_01972
H16_B1094	RSPSI07_00846
H16_B1095	RSPSI07_02207
H16_B1092	RSPSI07_03761
H16_B1093	RSPSI07_00843
H16_B1093	RSPSI07_00847
H16_A3470	RSPSI07_00458
H16_B1090	RSPSI07_03070
H16_A3472	RSPSI07_00456
H16_A3471	RSPSI07_00457
H16_A3474	RSPSI07_00454
H16_A3473	RSPSI07_00455
H16_A3476	RSPSI07_00452
H16_A3475	RSPSI07_00453
H16_A3467	RSPSI07_00461
H16_A3466	RSPSI07_00462
H16_A3469	RSPSI07_00459
H16_A3468	RSPSI07_00460
H16_A2139	RSPSI07_03316
H16_B1085	RSPSI07_00050
H16_B1083	RSPSI07_00348
H16_B1081	RSPSI07_02297
H16_A3461	RSPSI07_00467
H16_A3460	RSPSI07_00468
H16_A3463	RSPSI07_00465
H16_A3463	RSPSI07_04589
H16_A3463	RSPSI07_01124
H16_A2132	RSPSI07_04556
H16_A3462	RSPSI07_00466
H16_A3465	RSPSI07_00463
H16_A2134	RSPSI07_04151
H16_A3464	RSPSI07_00464
H16_A2133	RSPSI07_04150
H16_A0386	RSPSI07_02886
H16_A3412	RSPSI07_00516
H16_A3411	RSPSI07_00517
H16_A0387	RSPSI07_02885
H16_A3414	RSPSI07_00514
H16_A0388	RSPSI07_02884
H16_A0389	RSPSI07_02883
H16_A3413	RSPSI07_00515
H16_A3416	RSPSI07_00512
H16_A3415	RSPSI07_00513
H16_A3418	RSPSI07_00510
H16_A3417	RSPSI07_00511
H16_A3419	RSPSI07_00509
H16_B1038	RSPSI07_04397
H16_B2369	RSPSI07_03574
H16_B2368	RSPSI07_03573
H16_B2367	RSPSI07_03572
H16_B2366	RSPSI07_04512
PHG009	RSPSI07_02592
H16_B2363	RSPSI07_03567
RALH11769	RSPSI07_03422
H16_A0380	RSPSI07_02891
H16_A0381	RSPSI07_02890
H16_A0383	RSPSI07_02888
H16_A3410	RSPSI07_00518
H16_A0384	RSPSI07_02887
H16_A3401	RSPSI07_00533
H16_A0375	RSPSI07_02896
H16_A0376	RSPSI07_02895
H16_A3400	RSPSI07_00534
H16_A0377	RSPSI07_02894
H16_A3403	RSPSI07_00525
H16_A0378	RSPSI07_02893
H16_A3402	RSPSI07_00532
H16_A0379	RSPSI07_02892
H16_A3405	RSPSI07_00523
H16_A3404	RSPSI07_00524
H16_A3407	RSPSI07_00522
H16_A3409	RSPSI07_00519
H16_A3408	RSPSI07_00520
H16_B1027	RSPSI07_00550
H16_B1028	RSPSI07_00551
H16_B2358	RSPSI07_04429
H16_B1025	RSPSI07_00548
H16_B1026	RSPSI07_00549
H16_B2355	RSPSI07_02675
H16_B2352	RSPSI07_02676
H16_B2350	RSPSI07_03896
H16_A0370	RSPSI07_02901
H16_A0371	RSPSI07_02900
H16_A0372	RSPSI07_02899
H16_A0374	RSPSI07_02897
H16_A3434	RSPSI07_00494
RALH1_K20452	RSPSI07_00716
H16_A2103	RSPSI07_01899
H16_A2102	RSPSI07_01898
H16_A3433	RSPSI07_00495
H16_A3436	RSPSI07_00492
H16_A3435	RSPSI07_00493
RALH1_K20453	RSPSI07_00716
H16_A2104	RSPSI07_01900
H16_A2107	RSPSI07_04161
H16_A3438	RSPSI07_00490
H16_A3437	RSPSI07_00491
H16_A3439	RSPSI07_00489
PHG023	RSPSI07_03721
PHG022	RSPSI07_04182
H16_A3430	RSPSI07_00499
PHG028	RSPSI07_00543
PHG027	RSPSI07_01243
H16_A2101	RSPSI07_01897
H16_A2101	RSPSI07_03920
H16_A2101	RSPSI07_02114
H16_A3432	RSPSI07_00497
H16_A3431	RSPSI07_00498
H16_A2100	RSPSI07_01896
H16_A3423	RSPSI07_00505
H16_A0397	RSPSI07_02874
H16_A0398	RSPSI07_02873
H16_A3422	RSPSI07_00506
H16_A3425	RSPSI07_00503
H16_A3424	RSPSI07_00504
H16_A3427	RSPSI07_00501
H16_A3426	RSPSI07_00502
H16_A3429	RSPSI07_03810
H16_A3428	RSPSI07_00500
H16_B2378	RSPSI07_02379
H16_B2377	RSPSI07_00128
H16_B2376	RSPSI07_00845
RALH11797	RSPSI07_00976
H16_B2373	RSPSI07_03578
H16_B2372	RSPSI07_03577
H16_B2371	RSPSI07_03576
H16_B2370	RSPSI07_03575
H16_A0390	RSPSI07_02882
H16_A0391	RSPSI07_02880
PHG032	RSPSI07_02412
H16_A0392	RSPSI07_02879
H16_A0393	RSPSI07_02878
H16_A0394	RSPSI07_02877
H16_A0395	RSPSI07_02876
H16_A3421	RSPSI07_00507
H16_A0396	RSPSI07_02875
H16_A3420	RSPSI07_00508
H16_A0342	RSPSI07_02932
H16_A1673	RSPSI07_04424
H16_A0343	RSPSI07_02931
H16_A1675	RSPSI07_02672
H16_A0345	RSPSI07_02930
H16_A0346	RSPSI07_02929
H16_A0347	RSPSI07_02928
H16_A1678	RSPSI07_04127
H16_A0348	RSPSI07_02927
H16_A0349	RSPSI07_02926
H16_B2329	RSPSI07_04633
H16_B2328	RSPSI07_04632
H16_B2327	RSPSI07_00306
H16_B2323	RSPSI07_03076
H16_A1671	RSPSI07_02516
H16_A0340	RSPSI07_02934
