RSc0338	RSK60_01405
RSc0339	RSK60_01404
RSc1669	RSK60_03585
RSc1669	RSK60_03529
RSc2999	RSK60_02242
RSc0336	RSK60_01407
RSc1668	RSK60_03584
RSc1668	RSK60_03528
RSc2998	RSK60_02243
RSc2998	RSK60_04885
RSc2998	RSK60_02955
RSc0337	RSK60_01406
RSc1667	RSK60_03583
RSc1667	RSK60_03527
RSc0330	RSK60_01413
RSc2993	RSK60_02248
RSc2992	RSK60_02249
RSc0331	RSK60_01412
RSc2991	RSK60_02250
RSc2990	RSK60_02251
RSc0334	RSK60_01409
RSc2997	RSK60_02244
RSc1666	RSK60_03582
RSc1666	RSK60_03526
RSc2996	RSK60_02245
RSc0335	RSK60_01408
RSc1665	RSK60_03581
RSc1665	RSK60_03525
RSc0332	RSK60_01411
RSc0332	RSK60_03627
RSc2995	RSK60_02246
RSc2994	RSK60_02247
RSc0333	RSK60_01410
RSp0750	RSK60_04249
RSp0759	RSK60_04254
RSp0758	RSK60_04253
RSc0327	RSK60_01416
RSc2989	RSK60_02252
RSc0328	RSK60_01415
RSc2988	RSK60_02253
RSc0325	RSK60_01418
RSc0326	RSK60_01417
RSc2987	RSK60_02254
RSc0329	RSK60_01414
RSc2982	RSK60_02259
RSc1651	RSK60_03512
RSc2981	RSK60_02260
RSc1650	RSK60_03511
RSc0320	RSK60_01423
RSc2980	RSK60_02261
RSc0323	RSK60_01420
RSc2986	RSK60_02255
RSc0324	RSK60_01419
RSc1654	RSK60_03515
RSc2985	RSK60_02256
RSc1653	RSK60_03514
RSc2984	RSK60_02257
RSc0321	RSK60_01422
RSc0322	RSK60_01421
RSc2983	RSK60_02258
RSc1652	RSK60_03513
RSp0740	RSK60_04239
RSp0741	RSK60_04240
RSp0744	RSK60_04243
RSp0745	RSK60_04244
RSp0742	RSK60_04241
RSp0743	RSK60_04242
RSp0748	RSK60_04247
RSp0749	RSK60_04248
RSp0746	RSK60_04245
RSp0747	RSK60_04246
RSc1648	RSK60_03509
RSc2979	RSK60_02262
RSc0316	RSK60_01425
RSc0317	RSK60_01424
RSc1647	RSK60_03508
RSc2978	RSK60_02263
RSc0314	RSK60_01427
RSc1646	RSK60_03507
RSc2977	RSK60_02264
RSc2976	RSK60_02266
RSc0315	RSK60_01426
RSc1645	RSK60_03506
RSc1649	RSK60_03510
RSc1640	RSK60_03501
RSc2971	RSK60_02271
RSc2970	RSK60_02272
RSc1644	RSK60_03505
RSc0312	RSK60_01429
RSc2975	RSK60_02267
RSc1643	RSK60_03504
RSc0313	RSK60_01428
RSc2974	RSK60_02268
