H16_B0626	RSGMI1000_02472
H16_B0627	RSGMI1000_02473
H16_B1956	RSGMI1000_01927
H16_B1956	RSGMI1000_03556
H16_B1956	RSGMI1000_01125
H16_B0622	RSGMI1000_04440
H16_B1951	RSGMI1000_01785
H16_B0618	RSGMI1000_04346
H16_B0618	RSGMI1000_01289
H16_B1949	RSGMI1000_03803
H16_B1949	RSGMI1000_03661
H16_B1944	RSGMI1000_00246
H16_B0614	RSGMI1000_04690
H16_B1942	RSGMI1000_00243
H16_B1979	RSGMI1000_04811
H16_B1979	RSGMI1000_04784
H16_B1977	RSGMI1000_03183
H16_B0646	RSGMI1000_04520
H16_B1978	RSGMI1000_04154
H16_B1971	RSGMI1000_03448
H16_B0641	RSGMI1000_03539
H16_B0641	RSGMI1000_01122
H16_B1972	RSGMI1000_04790
H16_B1972	RSGMI1000_04817
H16_B0633	RSGMI1000_03709
H16_B1965	RSGMI1000_03033
H16_B1960	RSGMI1000_03192
H16_B1960	RSGMI1000_02155
H16_B1910	RSGMI1000_03268
H16_B1907	RSGMI1000_02067
H16_B1904	RSGMI1000_01069
H16_B1900	RSGMI1000_04584
H16_A2192	RSGMI1000_01549
H16_A2192	RSGMI1000_00192
H16_B1939	RSGMI1000_03192
H16_B1939	RSGMI1000_02155
H16_B1938	RSGMI1000_00245
H16_B1935	RSGMI1000_04618
H16_B1936	RSGMI1000_00247
H16_B1933	RSGMI1000_04442
H16_B0603	RSGMI1000_04276
H16_B1930	RSGMI1000_03220
H16_B1930	RSGMI1000_02754
H16_B1928	RSGMI1000_02747
H16_B1928	RSGMI1000_02751
H16_B1929	RSGMI1000_03221
H16_B1926	RSGMI1000_02750
H16_B1927	RSGMI1000_02747
H16_B1927	RSGMI1000_02751
H16_B1924	RSGMI1000_03055
H16_B1924	RSGMI1000_02286
H16_B1925	RSGMI1000_02753
H16_B1922	RSGMI1000_04126
H16_A3499	RSGMI1000_03093
H16_A3490	RSGMI1000_03077
H16_A3492	RSGMI1000_04264
H16_A3492	RSGMI1000_03079
H16_A3491	RSGMI1000_03099
H16_A3491	RSGMI1000_03078
H16_A3494	RSGMI1000_03081
H16_A3493	RSGMI1000_03080
H16_A2165	RSGMI1000_04658
H16_A3496	RSGMI1000_03090
H16_A2164	RSGMI1000_04657
H16_A3495	RSGMI1000_03082
H16_A2167	RSGMI1000_03962
H16_A2167	RSGMI1000_04119
H16_A3498	RSGMI1000_03092
H16_A3497	RSGMI1000_03091
H16_A3489	RSGMI1000_01882
H16_A3481	RSGMI1000_03073
H16_A3480	RSGMI1000_03072
H16_A3483	RSGMI1000_03075
H16_A3482	RSGMI1000_03074
H16_A2154	RSGMI1000_02302
H16_A3485	RSGMI1000_01886
H16_A3484	RSGMI1000_03076
H16_A3487	RSGMI1000_01888
H16_A3486	RSGMI1000_01887
H16_A2181	RSGMI1000_00101
H16_A2180	RSGMI1000_04588
H16_A2183	RSGMI1000_00099
H16_A2182	RSGMI1000_00100
H16_A2185	RSGMI1000_04383
H16_A2184	RSGMI1000_04382
H16_A2187	RSGMI1000_04385
H16_A2186	RSGMI1000_04384
H16_A2189	RSGMI1000_03918
H16_A2188	RSGMI1000_04386
H16_A2179	RSGMI1000_04587
H16_A2172	RSGMI1000_01649
H16_A2174	RSGMI1000_04101
H16_A2173	RSGMI1000_03408
H16_A2178	RSGMI1000_04586
H16_A2177	RSGMI1000_04586
H16_A2125	RSGMI1000_00942
H16_A2125	RSGMI1000_03447
H16_A3456	RSGMI1000_03048
H16_A3455	RSGMI1000_03047
H16_A3458	RSGMI1000_03050
H16_A3457	RSGMI1000_03049
H16_A3459	RSGMI1000_03051
H16_B1076	RSGMI1000_00767
H16_B1076	RSGMI1000_02709
H16_B1077	RSGMI1000_04124
H16_B1071	RSGMI1000_04730
H16_A3450	RSGMI1000_03043
H16_A3452	RSGMI1000_03045
H16_A2121	RSGMI1000_01396
H16_A3451	RSGMI1000_03044
H16_A2120	RSGMI1000_01397
H16_A3453	RSGMI1000_03046
H16_A2122	RSGMI1000_04706
H16_A2114	RSGMI1000_01402
H16_A3445	RSGMI1000_03038
H16_A2113	RSGMI1000_01403
H16_A3444	RSGMI1000_03037
H16_A2116	RSGMI1000_01401
H16_A3447	RSGMI1000_03040
H16_A3446	RSGMI1000_03039
H16_A2118	RSGMI1000_01399
H16_A3449	RSGMI1000_03042
H16_A2117	RSGMI1000_01400
H16_A3448	RSGMI1000_03041
H16_A2119	RSGMI1000_01398
H16_B1067	RSGMI1000_00324
H16_B2399	RSGMI1000_03337
H16_B1061	RSGMI1000_04259
H16_B1062	RSGMI1000_04260
H16_B1060	RSGMI1000_04258
RALH10402	RSGMI1000_00769
H16_A3441	RSGMI1000_03033
H16_A2110	RSGMI1000_01405
H16_A3440	RSGMI1000_03032
H16_A2112	RSGMI1000_01404
H16_A3443	RSGMI1000_03036
H16_A3442	RSGMI1000_03034
H16_A3478	RSGMI1000_03070
H16_A3477	RSGMI1000_03069
H16_A3479	RSGMI1000_03071
H16_B1096	RSGMI1000_01334
H16_B1094	RSGMI1000_02618
H16_B1093	RSGMI1000_02617
H16_B1093	RSGMI1000_02621
H16_A3470	RSGMI1000_03062
H16_B1090	RSGMI1000_00226
H16_A3472	RSGMI1000_03064
H16_A3471	RSGMI1000_03063
H16_A3474	RSGMI1000_03066
H16_A3473	RSGMI1000_03065
H16_A3476	RSGMI1000_03068
H16_A3475	RSGMI1000_03067
H16_A3467	RSGMI1000_03059
H16_A3466	RSGMI1000_03058
H16_A3469	RSGMI1000_03061
H16_A3468	RSGMI1000_03060
H16_B1085	RSGMI1000_03448
H16_B1083	RSGMI1000_03167
H16_B1081	RSGMI1000_01028
H16_A3461	RSGMI1000_03053
H16_A3460	RSGMI1000_03052
H16_A3463	RSGMI1000_03055
H16_A3463	RSGMI1000_02286
H16_A2132	RSGMI1000_04905
H16_A3462	RSGMI1000_03054
H16_A3465	RSGMI1000_03057
H16_A2134	RSGMI1000_04457
H16_A3464	RSGMI1000_03056
H16_A2133	RSGMI1000_04456
H16_A0386	RSGMI1000_00414
H16_A3412	RSGMI1000_03004
H16_A3411	RSGMI1000_03003
H16_A0387	RSGMI1000_00415
H16_A3414	RSGMI1000_03006
H16_A0388	RSGMI1000_00416
H16_A0389	RSGMI1000_00417
H16_A3413	RSGMI1000_03005
H16_A3416	RSGMI1000_03008
H16_A3415	RSGMI1000_03007
H16_A3418	RSGMI1000_03010
H16_A3417	RSGMI1000_03009
H16_A3419	RSGMI1000_03011
H16_B1038	RSGMI1000_04684
H16_B2369	RSGMI1000_03863
H16_B2368	RSGMI1000_03862
H16_B2367	RSGMI1000_03861
H16_B2366	RSGMI1000_04851
PHG009	RSGMI1000_00689
H16_B2363	RSGMI1000_03856
RALH11769	RSGMI1000_03706
H16_A0380	RSGMI1000_00409
H16_A0381	RSGMI1000_00410
H16_A0383	RSGMI1000_00412
H16_A3410	RSGMI1000_03002
H16_A0384	RSGMI1000_00413
H16_A3401	RSGMI1000_02987
H16_A0375	RSGMI1000_00404
H16_A0376	RSGMI1000_00405
H16_A3400	RSGMI1000_02986
H16_A0377	RSGMI1000_00406
H16_A3403	RSGMI1000_02995
H16_A0378	RSGMI1000_00407
H16_A3402	RSGMI1000_02988
H16_A0379	RSGMI1000_00408
H16_A3405	RSGMI1000_02997
H16_A3404	RSGMI1000_02996
H16_A3407	RSGMI1000_02998
H16_A3409	RSGMI1000_03001
H16_A3408	RSGMI1000_02999
H16_B1027	RSGMI1000_02969
H16_B1027	RSGMI1000_01910
H16_B1028	RSGMI1000_02968
H16_B2358	RSGMI1000_04716
H16_B1025	RSGMI1000_01908
H16_B1025	RSGMI1000_02971
H16_B1026	RSGMI1000_01909
H16_B1026	RSGMI1000_02970
H16_B2350	RSGMI1000_04238
H16_A0370	RSGMI1000_00399
H16_A0371	RSGMI1000_00400
H16_A0372	RSGMI1000_00401
H16_A0374	RSGMI1000_00403
H16_A3434	RSGMI1000_03026
RALH1_K20452	RSGMI1000_02805
H16_A2103	RSGMI1000_01409
H16_A2102	RSGMI1000_01410
H16_A3433	RSGMI1000_03025
H16_A3436	RSGMI1000_03028
H16_A3435	RSGMI1000_03027
RALH1_K20453	RSGMI1000_02805
H16_A2104	RSGMI1000_01408
PHG031	RSGMI1000_01590
PHG031	RSGMI1000_02314
PHG031	RSGMI1000_00596
PHG031	RSGMI1000_04015
H16_A2107	RSGMI1000_04467
H16_A3438	RSGMI1000_03030
PHG030	RSGMI1000_01590
PHG030	RSGMI1000_02314
PHG030	RSGMI1000_00596
PHG030	RSGMI1000_04015
H16_A3437	RSGMI1000_03029
H16_A3439	RSGMI1000_03031
PHG023	RSGMI1000_04092
H16_A3430	RSGMI1000_03021
PHG028	RSGMI1000_02976
PHG027	RSGMI1000_02171
H16_A2101	RSGMI1000_01200
H16_A2101	RSGMI1000_01411
H16_A3432	RSGMI1000_03023
H16_A3431	RSGMI1000_03022
H16_A2100	RSGMI1000_01412
H16_A3423	RSGMI1000_03015
H16_A0398	RSGMI1000_00426
H16_A3422	RSGMI1000_03014
H16_A3425	RSGMI1000_03017
H16_A3424	RSGMI1000_03016
H16_A3427	RSGMI1000_03019
H16_A3426	RSGMI1000_03018
H16_A3429	RSGMI1000_04179
H16_A3428	RSGMI1000_03020
H16_B2378	RSGMI1000_00937
H16_B2377	RSGMI1000_03365
H16_B2376	RSGMI1000_02619
RALH11797	RSGMI1000_02490
H16_B2373	RSGMI1000_03867
H16_B2372	RSGMI1000_03866
H16_B2371	RSGMI1000_03865
H16_B2370	RSGMI1000_03864
H16_A0390	RSGMI1000_00418
H16_A0391	RSGMI1000_00420
PHG032	RSGMI1000_01591
PHG032	RSGMI1000_02315
PHG032	RSGMI1000_04014
PHG032	RSGMI1000_00597
H16_A0392	RSGMI1000_00421
H16_A0393	RSGMI1000_00422
H16_A0394	RSGMI1000_00423
H16_A0395	RSGMI1000_00424
H16_A3421	RSGMI1000_03013
H16_A0396	RSGMI1000_00425
H16_A3420	RSGMI1000_03012
H16_A0342	RSGMI1000_00367
H16_A1673	RSGMI1000_04710
H16_A0343	RSGMI1000_00368
H16_A1675	RSGMI1000_00606
H16_A0344	RSGMI1000_00369
H16_A0345	RSGMI1000_00370
H16_A0346	RSGMI1000_00371
H16_A0347	RSGMI1000_00372
H16_A1678	RSGMI1000_04361
H16_A0348	RSGMI1000_00373
H16_A0349	RSGMI1000_00374
H16_B2329	RSGMI1000_04430
H16_B2328	RSGMI1000_04429
H16_B2327	RSGMI1000_03207
H16_B2325	RSGMI1000_04420
H16_B2324	RSGMI1000_04419
H16_B2323	RSGMI1000_04961
H16_A1671	RSGMI1000_00757
H16_A0340	RSGMI1000_00365
H16_A1672	RSGMI1000_05016
H16_A0341	RSGMI1000_00366
H16_A2994	RSGMI1000_02471
H16_A0331	RSGMI1000_00357
H16_A0332	RSGMI1000_00358
H16_A1663	RSGMI1000_04565
H16_A2993	RSGMI1000_02469
H16_A2996	RSGMI1000_02473
H16_A0333	RSGMI1000_00359
H16_A0334	RSGMI1000_00360
H16_A2995	RSGMI1000_02472
H16_A0335	RSGMI1000_00361
H16_A2998	RSGMI1000_02475
H16_A1667	RSGMI1000_01232
H16_A0336	RSGMI1000_00362
H16_A2997	RSGMI1000_02474
H16_A0338	RSGMI1000_00363
H16_A2999	RSGMI1000_02476
H16_A0339	RSGMI1000_00364
H16_B2316	RSGMI1000_00145
H16_B2312	RSGMI1000_03768
H16_B2310	RSGMI1000_00717
H16_A2990	RSGMI1000_02466
H16_A2992	RSGMI1000_02468
H16_A0330	RSGMI1000_00356
H16_A2991	RSGMI1000_02467
H16_A0364	RSGMI1000_00393
H16_A1695	RSGMI1000_01176
H16_A1696	RSGMI1000_01232
H16_A0365	RSGMI1000_00394
H16_A0366	RSGMI1000_00395
H16_A0367	RSGMI1000_00396
H16_A0368	RSGMI1000_00397
H16_B1019	RSGMI1000_01574
H16_B2349	RSGMI1000_05115
H16_B2348	RSGMI1000_05114
H16_B1012	RSGMI1000_04075
H16_B2341	RSGMI1000_00729
H16_A0360	RSGMI1000_00388
H16_A0361	RSGMI1000_01106
H16_A0361	RSGMI1000_00389
H16_A0362	RSGMI1000_00390
H16_A0363	RSGMI1000_00392
H16_A0353	RSGMI1000_00378
H16_A1684	RSGMI1000_02363
H16_A0354	RSGMI1000_00379
H16_A0355	RSGMI1000_00383
H16_A0356	RSGMI1000_00384
H16_A0357	RSGMI1000_00385
H16_A0358	RSGMI1000_00386
H16_A0359	RSGMI1000_00387
H16_B1008	RSGMI1000_04837
H16_B2337	RSGMI1000_00729
H16_B2334	RSGMI1000_04441
H16_B2333	RSGMI1000_04440
H16_B1001	RSGMI1000_02067
H16_B2332	RSGMI1000_04432
H16_B2331	RSGMI1000_00115
H16_B2330	RSGMI1000_04431
H16_A1681	RSGMI1000_03195
H16_A0350	RSGMI1000_00375
H16_A1682	RSGMI1000_03195
H16_A0351	RSGMI1000_00376
H16_A0352	RSGMI1000_00377
H16_A2961	RSGMI1000_02441
H16_A0300	RSGMI1000_00334
H16_A2963	RSGMI1000_02443
H16_A1631	RSGMI1000_01108
H16_A2962	RSGMI1000_02442
H16_A0301	RSGMI1000_00333
H16_A1632	RSGMI1000_01109
H16_A0302	RSGMI1000_00332
H16_A2965	RSGMI1000_02445
H16_A1633	RSGMI1000_01110
H16_A2964	RSGMI1000_02444
H16_A0303	RSGMI1000_00331
H16_A1634	RSGMI1000_01112
H16_A0304	RSGMI1000_00053
H16_A2967	RSGMI1000_02447
H16_A2966	RSGMI1000_02446
H16_A0305	RSGMI1000_04738
H16_A2969	RSGMI1000_04080
H16_A0306	RSGMI1000_00338
H16_A2968	RSGMI1000_02448
H16_A1638	RSGMI1000_01913
H16_A0308	RSGMI1000_00340
