BSU09290	RSCFB2957_02866
BSU35580	RSCFB2957_00843
BSU11250	RSCFB2957_02419
BSU14400	RSCFB2957_02660
BSU22700	RSCFB2957_02777
BSU38050	RSCFB2957_04353
BSU38170	RSCFB2957_02718
BSU15730	RSCFB2957_00077
BSU15610	RSCFB2957_02272
BSU32750	RSCFB2957_00850
BSU00910	RSCFB2957_01651
BSU33040	RSCFB2957_04562
BSU37760	RSCFB2957_01539
BSU37760	RSCFB2957_01540
BSU18440	RSCFB2957_02772
BSU33720	RSCFB2957_02381
BSU03060	RSCFB2957_00908
BSU28120	RSCFB2957_00665
BSU29210	RSCFB2957_01890
BSU22140	RSCFB2957_04179
BSU15860	RSCFB2957_03063
BSU08070	RSCFB2957_01502
BSU33390	RSCFB2957_04428
BSU38040	RSCFB2957_04352
BSU38160	RSCFB2957_02717
BSU22830	RSCFB2957_00313
BSU18570	RSCFB2957_02656
BSU39370	RSCFB2957_02459
BSU17000	RSCFB2957_04144
BSU18450	RSCFB2957_02773
BSU36660	RSCFB2957_01943
BSU02400	RSCFB2957_01539
BSU02400	RSCFB2957_01540
BSU32740	RSCFB2957_00851
BSU27600	RSCFB2957_02036
BSU34920	RSCFB2957_02760
BSU28250	RSCFB2957_01900
BSU29220	RSCFB2957_02566
BSU29220	RSCFB2957_02025
BSU29340	RSCFB2957_03185
BSU29340	RSCFB2957_04194
BSU29340	RSCFB2957_00444
BSU29340	RSCFB2957_02156
BSU28130	RSCFB2957_02797
BSU38990	RSCFB2957_01739
BSU38990	RSCFB2957_02150
BSU39720	RSCFB2957_01225
BSU15510	RSCFB2957_01805
BSU15190	RSCFB2957_02644
BSU19310	RSCFB2957_02507
BSU19310	RSCFB2957_02943
BSU38630	RSCFB2957_04861
BSU30230	RSCFB2957_01453
BSU18220	RSCFB2957_02672
BSU01780	RSCFB2957_00172
BSU25310	RSCFB2957_01993
BSU33500	RSCFB2957_03123
BSU02510	RSCFB2957_04083
BSU03600	RSCFB2957_03668
BSU27610	RSCFB2957_00373
BSU35920	RSCFB2957_00939
BSU03280	RSCFB2957_02272
BSU22960	RSCFB2957_00440
BSU11710	RSCFB2957_00104
BSU28260	RSCFB2957_01901
BSU06430	RSCFB2957_00542
BSU24340	RSCFB2957_02585
BSU23250	RSCFB2957_00713
BSU15520	RSCFB2957_01803
BSU12010	RSCFB2957_02660
BSU22730	RSCFB2957_01186
BSU39390	RSCFB2957_01539
BSU39390	RSCFB2957_01540
BSU18470	RSCFB2957_02615
BSU38500	RSCFB2957_01806
BSU30220	RSCFB2957_04144
BSU38860	RSCFB2957_04396
BSU38980	RSCFB2957_01738
BSU38980	RSCFB2957_02149
BSU18230	RSCFB2957_00215
BSU27860	RSCFB2957_02301
BSU23260	RSCFB2957_00714
BSU01770	RSCFB2957_01795
BSU04000	RSCFB2957_04883
BSU04000	RSCFB2957_04293
BSU06420	RSCFB2957_00541
BSU28270	RSCFB2957_01899
BSU11720	RSCFB2957_01140
BSU13900	RSCFB2957_00303
BSU28150	RSCFB2957_02205
BSU29360	RSCFB2957_03668
BSU03150	RSCFB2957_00401
BSU04360	RSCFB2957_03705
BSU24350	RSCFB2957_02584
BSU40330	RSCFB2957_01539
BSU40330	RSCFB2957_01540
BSU21810	RSCFB2957_00887
BSU16100	RSCFB2957_00521
BSU11330	RSCFB2957_00975
BSU37280	RSCFB2957_04772
BSU15490	RSCFB2957_00677
BSU36510	RSCFB2957_00299
BSU10120	RSCFB2957_03077
BSU31980	RSCFB2957_04285
BSU35660	RSCFB2957_03695
BSU35660	RSCFB2957_04263
BSU31060	RSCFB2957_01421
BSU33800	RSCFB2957_02381
BSU30410	RSCFB2957_04657
BSU30530	RSCFB2957_04237
BSU33920	RSCFB2957_01973
