H16_B0626	RSBA7_02199
H16_B0627	RSBA7_02200
H16_B1956	RSBA7_01768
H16_B0622	RSBA7_03412
H16_B1951	RSBA7_01551
H16_B0618	RSBA7_03891
H16_B0618	RSBA7_01227
H16_B1949	RSBA7_04756
H16_B0614	RSBA7_03623
H16_B1977	RSBA7_02892
H16_B0646	RSBA7_03679
H16_B1978	RSBA7_04104
H16_B1971	RSBA7_03081
H16_B0633	RSBA7_03243
H16_B1965	RSBA7_02737
H16_B1960	RSBA7_02402
H16_B1960	RSBA7_02897
H16_B1907	RSBA7_01866
H16_B1904	RSBA7_01024
H16_A2192	RSBA7_03869
H16_A2192	RSBA7_01756
H16_B1939	RSBA7_02402
H16_B1939	RSBA7_02897
H16_B1935	RSBA7_04511
H16_B1928	RSBA7_04274
H16_B1928	RSBA7_04275
H16_B1929	RSBA7_04277
H16_B1927	RSBA7_04274
H16_B1927	RSBA7_04275
H16_B1924	RSBA7_02060
H16_B1924	RSBA7_02759
H16_B1925	RSBA7_04278
H16_A3499	RSBA7_02797
H16_A3490	RSBA7_02781
H16_A3492	RSBA7_02783
H16_A3492	RSBA7_03989
H16_A3491	RSBA7_02803
H16_A3491	RSBA7_02782
H16_A3494	RSBA7_02785
H16_A3493	RSBA7_02784
H16_A2165	RSBA7_04545
H16_A3496	RSBA7_02794
H16_A2164	RSBA7_04544
H16_A3495	RSBA7_02786
H16_A2167	RSBA7_04351
H16_A3498	RSBA7_02796
H16_A3497	RSBA7_02795
H16_A3481	RSBA7_02777
H16_A3480	RSBA7_02776
H16_A3483	RSBA7_02779
H16_A3482	RSBA7_02778
H16_A2154	RSBA7_02071
H16_A3484	RSBA7_02780
H16_A3487	RSBA7_03787
H16_A2181	RSBA7_00105
H16_A2180	RSBA7_04490
H16_A2183	RSBA7_00103
H16_A2182	RSBA7_00104
H16_A2185	RSBA7_04954
H16_A2184	RSBA7_04953
H16_A2187	RSBA7_04956
H16_A2186	RSBA7_04955
H16_A2189	RSBA7_00871
H16_A2188	RSBA7_04957
H16_A2179	RSBA7_04489
H16_A2172	RSBA7_01637
H16_A2171	RSBA7_02290
H16_A2174	RSBA7_04147
H16_A2173	RSBA7_03045
H16_A2178	RSBA7_04488
H16_A2177	RSBA7_04488
H16_A2125	RSBA7_00901
H16_A2125	RSBA7_03080
H16_A3456	RSBA7_02752
H16_A3455	RSBA7_02751
H16_A3458	RSBA7_02754
H16_A3457	RSBA7_02753
H16_A3459	RSBA7_02755
H16_B1076	RSBA7_02371
H16_B1076	RSBA7_00794
H16_B1071	RSBA7_03575
H16_A3450	RSBA7_02747
H16_A3452	RSBA7_02749
H16_A2121	RSBA7_01327
H16_A3451	RSBA7_02748
H16_A3453	RSBA7_02750
H16_A2122	RSBA7_03598
H16_A2114	RSBA7_01332
H16_A3445	RSBA7_02742
H16_A2113	RSBA7_01333
H16_A3444	RSBA7_02741
H16_A2116	RSBA7_01331
H16_A3447	RSBA7_02744
H16_A3446	RSBA7_02743
H16_A2118	RSBA7_01329
H16_A3449	RSBA7_02746
H16_A2117	RSBA7_01330
H16_A3448	RSBA7_02745
H16_A2119	RSBA7_01328
H16_B2399	RSBA7_02952
H16_B1061	RSBA7_03994
H16_B1062	RSBA7_03993
H16_B2391	RSBA7_05041
H16_B1060	RSBA7_03995
RALH10402	RSBA7_00795
H16_A3441	RSBA7_02737
H16_A2110	RSBA7_01335
H16_A3440	RSBA7_02736
H16_A2112	RSBA7_01334
H16_A3443	RSBA7_02740
H16_A3442	RSBA7_02738
H16_A3478	RSBA7_02774
H16_A3477	RSBA7_02773
H16_A3479	RSBA7_02775
H16_B1096	RSBA7_01270
H16_B1094	RSBA7_02329
H16_B1093	RSBA7_02332
H16_B1093	RSBA7_02328
H16_A3470	RSBA7_02766
H16_B1090	RSBA7_00179
H16_A3472	RSBA7_02768
H16_A3471	RSBA7_02767
H16_A3474	RSBA7_02770
H16_A3473	RSBA7_02769
H16_A3476	RSBA7_02772
H16_A3475	RSBA7_02771
H16_A3467	RSBA7_02763
H16_A3466	RSBA7_02762
H16_A3469	RSBA7_02765
H16_A3468	RSBA7_02764
H16_A2139	RSBA7_03194
H16_B1085	RSBA7_03081
H16_B1083	RSBA7_02873
H16_B1081	RSBA7_00983
H16_B1082	RSBA7_03784
H16_A3461	RSBA7_02757
H16_A3460	RSBA7_02756
H16_A3463	RSBA7_02060
H16_A3463	RSBA7_02759
H16_A2132	RSBA7_02958
H16_A2132	RSBA7_04387
H16_A3462	RSBA7_02758
H16_A3465	RSBA7_02761
H16_A2134	RSBA7_04383
H16_A3464	RSBA7_02760
H16_A2133	RSBA7_04384
H16_A0386	RSBA7_00407
H16_A3412	RSBA7_02708
H16_A3411	RSBA7_02707
H16_A0387	RSBA7_00408
H16_A3414	RSBA7_02710
H16_A0388	RSBA7_00409
H16_A0389	RSBA7_00410
H16_A3413	RSBA7_02709
H16_A3416	RSBA7_02712
H16_A3415	RSBA7_02711
H16_A3418	RSBA7_02714
H16_A3417	RSBA7_02713
H16_A3419	RSBA7_02715
H16_B1038	RSBA7_04569
H16_B2369	RSBA7_04672
H16_B2368	RSBA7_04673
H16_B2367	RSBA7_04674
H16_B2366	RSBA7_03518
PHG009	RSBA7_00715
H16_B2363	RSBA7_04681
RALH11769	RSBA7_03240
H16_A0380	RSBA7_00402
H16_A0381	RSBA7_00403
H16_A0383	RSBA7_00405
H16_A3410	RSBA7_02706
H16_A0384	RSBA7_00406
H16_A3401	RSBA7_02691
H16_A0375	RSBA7_00397
H16_A0376	RSBA7_00398
H16_A3400	RSBA7_02690
H16_A0377	RSBA7_00399
