H16_B0626	RSRUN2340_02538
H16_B0627	RSRUN2340_02539
H16_B1956	RSRUN2340_02112
H16_B1956	RSRUN2340_01283
H16_B0622	RSRUN2340_04500
H16_B1951	RSRUN2340_01528
H16_B0620	RSRUN2340_04650
H16_B0618	RSRUN2340_01898
H16_B0618	RSRUN2340_04333
H16_B1949	RSRUN2340_03855
H16_B1944	RSRUN2340_00267
H16_B0614	RSRUN2340_04791
H16_B1942	RSRUN2340_00264
H16_B1979	RSRUN2340_04908
H16_B1977	RSRUN2340_03216
H16_B0646	RSRUN2340_04582
H16_B1978	RSRUN2340_04225
H16_B1971	RSRUN2340_03497
H16_B0641	RSRUN2340_02115
H16_B0633	RSRUN2340_03765
H16_B1965	RSRUN2340_03073
H16_B1960	RSRUN2340_03222
H16_B1910	RSRUN2340_04902
H16_B1910	RSRUN2340_04342
H16_B1907	RSRUN2340_01190
H16_B1904	RSRUN2340_02171
H16_B1900	RSRUN2340_04676
H16_A2192	RSRUN2340_02420
H16_A2192	RSRUN2340_01295
H16_A2192	RSRUN2340_04365
H16_B1939	RSRUN2340_03222
H16_B1938	RSRUN2340_00266
H16_B1935	RSRUN2340_04727
H16_B1936	RSRUN2340_00268
H16_B1933	RSRUN2340_04502
H16_B0603	RSRUN2340_04260
H16_B1930	RSRUN2340_03249
H16_B1930	RSRUN2340_02800
H16_B1928	RSRUN2340_02794
H16_B1928	RSRUN2340_02791
H16_B1929	RSRUN2340_02795
H16_B1929	RSRUN2340_03250
H16_B1927	RSRUN2340_02794
H16_B1927	RSRUN2340_02791
H16_B1924	RSRUN2340_00958
H16_B1924	RSRUN2340_03252
H16_B1924	RSRUN2340_03095
H16_B1925	RSRUN2340_02799
H16_B1925	RSRUN2340_03251
H16_B1923	RSRUN2340_03253
H16_A3499	RSRUN2340_03133
H16_A3490	RSRUN2340_03117
H16_A3492	RSRUN2340_03119
H16_A3492	RSRUN2340_04249
H16_A3491	RSRUN2340_03139
H16_A3491	RSRUN2340_03118
H16_A3494	RSRUN2340_03121
H16_A3493	RSRUN2340_03120
H16_A2165	RSRUN2340_04763
H16_A3496	RSRUN2340_03130
H16_A2164	RSRUN2340_04762
H16_A3495	RSRUN2340_03122
H16_A2167	RSRUN2340_04160
H16_A2167	RSRUN2340_03994
H16_A3498	RSRUN2340_03132
H16_A3497	RSRUN2340_03131
H16_A3489	RSRUN2340_01635
H16_A3481	RSRUN2340_03113
H16_A3480	RSRUN2340_03112
H16_A3483	RSRUN2340_03115
H16_A3482	RSRUN2340_03114
H16_A2154	RSRUN2340_00942
H16_A3485	RSRUN2340_01639
H16_A3484	RSRUN2340_03116
H16_A3487	RSRUN2340_01641
H16_A3486	RSRUN2340_01640
H16_A2181	RSRUN2340_00124
H16_A2180	RSRUN2340_04680
H16_A2183	RSRUN2340_00122
H16_A2182	RSRUN2340_00123
H16_A2185	RSRUN2340_04913
H16_A2184	RSRUN2340_04912
H16_A2187	RSRUN2340_04915
H16_A2186	RSRUN2340_04914
H16_A2189	RSRUN2340_03956
H16_A2188	RSRUN2340_04916
H16_A2179	RSRUN2340_04679
H16_A2172	RSRUN2340_01394
H16_A2174	RSRUN2340_04145
H16_A2173	RSRUN2340_02404
H16_A2173	RSRUN2340_03456
H16_A2178	RSRUN2340_04678
H16_A2177	RSRUN2340_04678
H16_A2125	RSRUN2340_03496
H16_A2125	RSRUN2340_02295
H16_A3456	RSRUN2340_03088
H16_A3455	RSRUN2340_03087
H16_A2124	RSRUN2340_01099
H16_A3458	RSRUN2340_03090
H16_A3457	RSRUN2340_03089
H16_A3459	RSRUN2340_03091
H16_B1076	RSRUN2340_02740
H16_B1076	RSRUN2340_00782
H16_B1077	RSRUN2340_04169
H16_B1071	RSRUN2340_04833
H16_A3450	RSRUN2340_03083
H16_A3452	RSRUN2340_03085
H16_A2121	RSRUN2340_01784
H16_A3451	RSRUN2340_03084
H16_A2120	RSRUN2340_01783
H16_A3453	RSRUN2340_03086
H16_A2122	RSRUN2340_04810
H16_A2114	RSRUN2340_01778
H16_A3445	RSRUN2340_03078
H16_A2113	RSRUN2340_01777
H16_A3444	RSRUN2340_03077
H16_A2116	RSRUN2340_01779
H16_A3447	RSRUN2340_03080
H16_A3446	RSRUN2340_03079
H16_A2118	RSRUN2340_01781
H16_A3449	RSRUN2340_03082
H16_A2117	RSRUN2340_01780
H16_A3448	RSRUN2340_03081
H16_A2119	RSRUN2340_01782
H16_B2399	RSRUN2340_03389
H16_B1061	RSRUN2340_04243
H16_B1062	RSRUN2340_04244
H16_B1060	RSRUN2340_04242
RALH10402	RSRUN2340_00783
H16_A3441	RSRUN2340_03073
H16_A2110	RSRUN2340_01775
H16_A3440	RSRUN2340_03072
H16_A2112	RSRUN2340_01776
H16_A3443	RSRUN2340_03076
H16_A3442	RSRUN2340_03074
H16_A3478	RSRUN2340_03110
H16_A3477	RSRUN2340_03109
H16_A3479	RSRUN2340_03111
H16_B1096	RSRUN2340_01854
H16_B1094	RSRUN2340_02699
H16_B1093	RSRUN2340_02702
H16_B1093	RSRUN2340_02698
H16_A3470	RSRUN2340_03102
H16_B1090	RSRUN2340_00248
H16_A3472	RSRUN2340_03104
H16_A3471	RSRUN2340_03103
H16_A3474	RSRUN2340_03106
H16_A3473	RSRUN2340_03105
H16_A3476	RSRUN2340_03108
H16_A3475	RSRUN2340_03107
H16_A3467	RSRUN2340_03099
H16_A3466	RSRUN2340_03098
H16_A3469	RSRUN2340_03101
H16_A3468	RSRUN2340_03100
H16_A2139	RSRUN2340_03644
H16_B1085	RSRUN2340_03497
H16_B1083	RSRUN2340_03199
H16_B1081	RSRUN2340_02213
H16_B1082	RSRUN2340_04951
H16_A3461	RSRUN2340_03093
H16_A3460	RSRUN2340_03092
H16_A3463	RSRUN2340_00958
H16_A3463	RSRUN2340_03252
H16_A3463	RSRUN2340_03095
H16_A2132	RSRUN2340_04975
H16_A3462	RSRUN2340_03094
H16_A3465	RSRUN2340_03097
H16_A2134	RSRUN2340_04518
H16_A3464	RSRUN2340_03096
H16_A2133	RSRUN2340_04517
H16_A0386	RSRUN2340_00442
H16_A3412	RSRUN2340_03044
H16_A3411	RSRUN2340_03043
H16_A0387	RSRUN2340_00443
H16_A3414	RSRUN2340_03046
H16_A0388	RSRUN2340_00444
H16_A0389	RSRUN2340_00445
H16_A3413	RSRUN2340_03045
H16_A3416	RSRUN2340_03048
H16_A3415	RSRUN2340_03047
H16_A3418	RSRUN2340_03050
H16_A3417	RSRUN2340_03049
H16_A3419	RSRUN2340_03051
H16_B1038	RSRUN2340_04785
H16_B2369	RSRUN2340_03917
H16_B2368	RSRUN2340_03916
H16_B2367	RSRUN2340_03915
H16_B2366	RSRUN2340_04944
PHG009	RSRUN2340_00692
H16_B2363	RSRUN2340_03910
RALH11769	RSRUN2340_03761
H16_A0380	RSRUN2340_00437
H16_A0381	RSRUN2340_00438
H16_A0383	RSRUN2340_00440
H16_A3410	RSRUN2340_03042
H16_A0384	RSRUN2340_00441
H16_A3401	RSRUN2340_03027
H16_A0375	RSRUN2340_00432
H16_A0376	RSRUN2340_00433
H16_A3400	RSRUN2340_03026
H16_A0377	RSRUN2340_00434
H16_A3403	RSRUN2340_03035
H16_A0378	RSRUN2340_00435
H16_A3402	RSRUN2340_03028
H16_A0379	RSRUN2340_00436
H16_A3405	RSRUN2340_03037
H16_A3404	RSRUN2340_03036
H16_A3407	RSRUN2340_03038
H16_A3409	RSRUN2340_03041
H16_A3408	RSRUN2340_03039
H16_B1027	RSRUN2340_01654
H16_B1027	RSRUN2340_03012
H16_B1028	RSRUN2340_03011
H16_B2358	RSRUN2340_04819
H16_B1025	RSRUN2340_03014
H16_B1025	RSRUN2340_01652
H16_B1026	RSRUN2340_01653
H16_B1026	RSRUN2340_03013
H16_A0370	RSRUN2340_00427
H16_A0371	RSRUN2340_00428
H16_A0372	RSRUN2340_00429
H16_A0374	RSRUN2340_00431
H16_A3434	RSRUN2340_03066
H16_A2103	RSRUN2340_01771
H16_A2102	RSRUN2340_01770
H16_A3433	RSRUN2340_03065
H16_A3436	RSRUN2340_03068
H16_A3435	RSRUN2340_03067
H16_A2104	RSRUN2340_01772
PHG031	RSRUN2340_04475
PHG031	RSRUN2340_04373
PHG031	RSRUN2340_03271
PHG031	RSRUN2340_04052
H16_A2107	RSRUN2340_04528
H16_A3438	RSRUN2340_03070
PHG030	RSRUN2340_04475
PHG030	RSRUN2340_04373
PHG030	RSRUN2340_03271
PHG030	RSRUN2340_04052
H16_A3437	RSRUN2340_03069
H16_A3439	RSRUN2340_03071
PHG023	RSRUN2340_04141
H16_A3430	RSRUN2340_03061
PHG027	RSRUN2340_01088
H16_A2101	RSRUN2340_01769
H16_A2101	RSRUN2340_01988
H16_A3432	RSRUN2340_03063
H16_A3431	RSRUN2340_03062
H16_A2100	RSRUN2340_01768
H16_A3423	RSRUN2340_03055
H16_A0398	RSRUN2340_00454
H16_A3422	RSRUN2340_03054
H16_A3425	RSRUN2340_03057
H16_A3424	RSRUN2340_03056
H16_A3427	RSRUN2340_03059
H16_A3426	RSRUN2340_03058
H16_A3429	RSRUN2340_04702
H16_A3428	RSRUN2340_03060
H16_B2378	RSRUN2340_02300
H16_B2377	RSRUN2340_03413
H16_B2376	RSRUN2340_02700
RALH11797	RSRUN2340_02556
H16_B2373	RSRUN2340_03921
H16_B2372	RSRUN2340_03920
H16_B2371	RSRUN2340_03919
H16_B2370	RSRUN2340_03918
H16_A0390	RSRUN2340_00446
PHG033	RSRUN2340_03656
PHG033	RSRUN2340_03755
PHG033	RSRUN2340_04624
PHG033	RSRUN2340_03657
PHG033	RSRUN2340_04625
PHG033	RSRUN2340_00584
PHG033	RSRUN2340_04359
PHG033	RSRUN2340_04623
PHG033	RSRUN2340_04964
PHG033	RSRUN2340_04357
PHG033	RSRUN2340_04178
PHG033	RSRUN2340_04266
PHG033	RSRUN2340_03594
PHG033	RSRUN2340_04045
PHG033	RSRUN2340_05002
PHG033	RSRUN2340_03294
PHG033	RSRUN2340_03273
PHG033	RSRUN2340_03293
H16_A0391	RSRUN2340_00448
PHG032	RSRUN2340_04374
H16_A0392	RSRUN2340_00449
H16_A0393	RSRUN2340_00450
H16_A0394	RSRUN2340_00451
H16_A0395	RSRUN2340_00452
H16_A3421	RSRUN2340_03053
H16_A0396	RSRUN2340_00453
H16_A3420	RSRUN2340_03052
H16_A0342	RSRUN2340_00395
H16_A1673	RSRUN2340_04814
H16_A0343	RSRUN2340_00396
H16_A1675	RSRUN2340_00635
H16_A0344	RSRUN2340_00397
H16_A0345	RSRUN2340_00398
H16_A0346	RSRUN2340_00399
H16_A0347	RSRUN2340_00400
H16_A1678	RSRUN2340_04346
H16_A0348	RSRUN2340_00401
H16_A0349	RSRUN2340_00402
H16_B2329	RSRUN2340_04490
H16_B2328	RSRUN2340_04489
H16_B2327	RSRUN2340_03237
H16_B2325	RSRUN2340_04480
H16_B2324	RSRUN2340_04479
H16_B2323	RSRUN2340_05026
H16_A1671	RSRUN2340_00772
H16_A0340	RSRUN2340_00393
H16_A1672	RSRUN2340_05090
H16_A0341	RSRUN2340_00394
H16_A2994	RSRUN2340_02537
H16_A0331	RSRUN2340_00385
H16_A0332	RSRUN2340_00386
H16_A1663	RSRUN2340_04639
H16_A2993	RSRUN2340_02535
H16_A2996	RSRUN2340_02539
H16_A0333	RSRUN2340_00387
H16_A0334	RSRUN2340_00388
H16_A2995	RSRUN2340_02538
H16_A0335	RSRUN2340_00389
H16_A2998	RSRUN2340_02541
H16_A1667	RSRUN2340_01957
H16_A0336	RSRUN2340_00390
H16_A2997	RSRUN2340_02540
H16_A0338	RSRUN2340_00391
H16_A2999	RSRUN2340_02542
H16_A0339	RSRUN2340_00392
H16_B2312	RSRUN2340_03821
H16_B2312	RSRUN2340_05046
H16_B2310	RSRUN2340_00720
H16_A2990	RSRUN2340_02532
H16_A2992	RSRUN2340_02534
H16_A0330	RSRUN2340_00384
H16_A2991	RSRUN2340_02533
H16_A0364	RSRUN2340_00421
H16_A1695	RSRUN2340_02013
H16_A1696	RSRUN2340_01957
H16_A0365	RSRUN2340_00422
H16_A0366	RSRUN2340_00423
H16_A0367	RSRUN2340_00424
H16_A0368	RSRUN2340_00425
H16_B1019	RSRUN2340_01319
H16_B2349	RSRUN2340_05179
H16_B2348	RSRUN2340_05178
H16_B1012	RSRUN2340_04122
H16_B2341	RSRUN2340_00744
H16_A0360	RSRUN2340_00416
H16_A0361	RSRUN2340_02130
H16_A0361	RSRUN2340_00417
H16_A0362	RSRUN2340_00418
H16_A0363	RSRUN2340_00420
H16_A0353	RSRUN2340_00406
H16_A1684	RSRUN2340_00212
H16_A1684	RSRUN2340_04654
H16_A0354	RSRUN2340_00407
H16_A0355	RSRUN2340_00411
H16_A0356	RSRUN2340_00412
RALH1_K20486	RSRUN2340_04061
H16_A0357	RSRUN2340_00413
H16_A0358	RSRUN2340_00414
H16_A0359	RSRUN2340_00415
H16_B1008	RSRUN2340_04932
H16_B2337	RSRUN2340_00744
H16_B2334	RSRUN2340_04501
H16_B2333	RSRUN2340_04500
H16_B1001	RSRUN2340_01190
H16_B2332	RSRUN2340_04492
H16_B2331	RSRUN2340_00135
H16_B2330	RSRUN2340_04491
H16_A1681	RSRUN2340_03225
H16_A0350	RSRUN2340_00403
H16_A1682	RSRUN2340_03225
H16_A0351	RSRUN2340_00404
H16_A0352	RSRUN2340_00405
H16_A2961	RSRUN2340_02512
H16_A0300	RSRUN2340_00361
H16_A2963	RSRUN2340_02514
H16_A1631	RSRUN2340_02128
H16_A2962	RSRUN2340_02513
H16_A0301	RSRUN2340_00360
H16_A1632	RSRUN2340_02127
H16_A0302	RSRUN2340_00359
H16_A2965	RSRUN2340_02516
H16_A1633	RSRUN2340_02126
H16_A2964	RSRUN2340_02515
H16_A0303	RSRUN2340_00358
H16_A1634	RSRUN2340_02124
H16_A0304	RSRUN2340_00078
H16_A2967	RSRUN2340_02518
H16_A2966	RSRUN2340_02517
H16_A0305	RSRUN2340_04842
H16_A2969	RSRUN2340_04129
H16_A0306	RSRUN2340_00366
H16_A2968	RSRUN2340_02519
H16_A1638	RSRUN2340_01657
H16_A0308	RSRUN2340_00368
H16_A1639	RSRUN2340_01656
H16_B0588	RSRUN2340_01110
H16_B0586	RSRUN2340_03749
H16_B0583	RSRUN2340_04563
H16_A2952	RSRUN2340_02963
H16_A2952	RSRUN2340_01272
H16_A2951	RSRUN2340_01766
H16_A1622	RSRUN2340_01954
H16_A2954	RSRUN2340_02505
H16_A2953	RSRUN2340_02962
H16_A2953	RSRUN2340_01271
H16_A2956	RSRUN2340_02507
H16_A2955	RSRUN2340_02506
H16_A1626	RSRUN2340_00982
H16_A2958	RSRUN2340_02509
H16_A2957	RSRUN2340_02508
H16_A2959	RSRUN2340_02510
H16_B0571	RSRUN2340_01188
H16_A0320	RSRUN2340_00375
H16_A0320	RSRUN2340_02461
H16_A2983	RSRUN2340_00672
H16_A0321	RSRUN2340_00376
H16_A2982	RSRUN2340_03855
H16_A1652	RSRUN2340_01267
H16_A1653	RSRUN2340_03846
H16_A2985	RSRUN2340_02527
H16_A0322	RSRUN2340_00377
H16_A0323	RSRUN2340_00378
H16_A2984	RSRUN2340_00673
H16_A0324	RSRUN2340_00379
H16_A2987	RSRUN2340_02529
H16_A0325	RSRUN2340_00380
H16_A2986	RSRUN2340_02528
H16_A0326	RSRUN2340_00381
H16_A2989	RSRUN2340_02531
H16_A0327	RSRUN2340_00382
H16_A1658	RSRUN2340_00664
H16_A0328	RSRUN2340_00383
H16_A2972	RSRUN2340_02522
H16_A1640	RSRUN2340_01655
H16_A1641	RSRUN2340_01654
H16_A1641	RSRUN2340_03012
H16_A2971	RSRUN2340_02521
H16_A0311	RSRUN2340_04848
H16_A0311	RSRUN2340_02958
H16_A1642	RSRUN2340_01653
H16_A1642	RSRUN2340_03013
H16_A2974	RSRUN2340_02524
H16_A1643	RSRUN2340_03014
H16_A1643	RSRUN2340_01652
H16_A2973	RSRUN2340_02523
H16_A0313	RSRUN2340_01922
H16_A1644	RSRUN2340_01651
H16_A2975	RSRUN2340_02525
H16_A0316	RSRUN2340_05086
H16_A1647	RSRUN2340_00254
H16_A2977	RSRUN2340_02526
H16_A0317	RSRUN2340_00371
H16_A1648	RSRUN2340_00657
H16_A0318	RSRUN2340_00373
H16_A1649	RSRUN2340_04108
H16_A0319	RSRUN2340_00374
H16_A0319	RSRUN2340_03489
H16_B0592	RSRUN2340_00640
H16_A2970	RSRUN2340_02520
H16_A2921	RSRUN2340_02474
H16_A2920	RSRUN2340_02473
PHG051	RSRUN2340_04103
PHG051	RSRUN2340_04104
H16_A2923	RSRUN2340_02476
H16_B1879	RSRUN2340_03222
H16_A2922	RSRUN2340_02475
H16_A2925	RSRUN2340_02478
H16_B1876	RSRUN2340_04897
H16_B1877	RSRUN2340_02552
H16_A2924	RSRUN2340_02477
H16_B0544	RSRUN2340_04119
H16_A2929	RSRUN2340_02347
H16_A2929	RSRUN2340_03310
H16_B1873	RSRUN2340_03768
PHG060	RSRUN2340_04103
PHG060	RSRUN2340_04104
H16_A2910	RSRUN2340_00705
H16_B0538	RSRUN2340_03760
PHG063	RSRUN2340_04141
PHG062	RSRUN2340_04082
PHG062	RSRUN2340_01717
PHG062	RSRUN2340_00459
PHG062	RSRUN2340_01647
PHG062	RSRUN2340_03605
PHG062	RSRUN2340_00737
PHG062	RSRUN2340_00730
PHG062	RSRUN2340_02438
PHG062	RSRUN2340_03236
PHG062	RSRUN2340_04106
PHG062	RSRUN2340_00277
PHG062	RSRUN2340_04862
PHG062	RSRUN2340_01575
PHG062	RSRUN2340_03254
PHG062	RSRUN2340_00184
PHG062	RSRUN2340_04175
PHG062	RSRUN2340_04590
H16_A2912	RSRUN2340_00703
PHG061	RSRUN2340_04082
PHG061	RSRUN2340_01717
PHG061	RSRUN2340_00459
PHG061	RSRUN2340_01647
PHG061	RSRUN2340_03605
PHG061	RSRUN2340_00737
PHG061	RSRUN2340_00730
PHG061	RSRUN2340_02438
PHG061	RSRUN2340_03236
PHG061	RSRUN2340_04106
PHG061	RSRUN2340_00277
PHG061	RSRUN2340_04862
PHG061	RSRUN2340_01575
PHG061	RSRUN2340_03254
PHG061	RSRUN2340_00184
PHG061	RSRUN2340_04175
PHG061	RSRUN2340_04590
H16_B1868	RSRUN2340_01960
H16_A2911	RSRUN2340_00704
H16_A2914	RSRUN2340_00701
H16_A2913	RSRUN2340_00702
H16_B0535	RSRUN2340_01667
