XOO1903	RSK60_00231
XOO1900	RSK60_00831
XOO1900	RSK60_00471
XOO1906	RSK60_04967
XOO4180	RSK60_01291
XOO4180	RSK60_02054
XOO4180	RSK60_02463
XOO4180	RSK60_00841
XOO4180	RSK60_01155
XOO4180	RSK60_03338
XOO4180	RSK60_04184
XOO4181	RSK60_04952
XOO4181	RSK60_00751
XOO4188	RSK60_04689
XOO4189	RSK60_04690
XOO4185	RSK60_01248
XOO1910	RSK60_03361
XOO4176	RSK60_01291
XOO4176	RSK60_02054
XOO4176	RSK60_02463
XOO4176	RSK60_00841
XOO4176	RSK60_01155
XOO4176	RSK60_03338
XOO4176	RSK60_04184
XOO4177	RSK60_01291
XOO4177	RSK60_02054
XOO4177	RSK60_02463
XOO4177	RSK60_00841
XOO4177	RSK60_01155
XOO4177	RSK60_03338
XOO4177	RSK60_04184
XOO4174	RSK60_01291
XOO4174	RSK60_02054
XOO4174	RSK60_02463
XOO4174	RSK60_00841
XOO4174	RSK60_01155
XOO4174	RSK60_03338
XOO4174	RSK60_04184
XOO4160	RSK60_02369
XOO4160	RSK60_04193
XOO4165	RSK60_03257
XOO4165	RSK60_03260
XOO4161	RSK60_04194
XOO4161	RSK60_02370
XOO4162	RSK60_01284
XOO4163	RSK60_02372
XOO4169	RSK60_02195
XOO4169	RSK60_04251
XOO4169	RSK60_04250
XOO4154	RSK60_02403
XOO4150	RSK60_01394
XOO4151	RSK60_02441
XOO4152	RSK60_01205
XOO4153	RSK60_01206
XOO0615	RSK60_03257
XOO0615	RSK60_03260
XOO1946	RSK60_02195
XOO1946	RSK60_04251
XOO1946	RSK60_04250
XOO0617	RSK60_03257
XOO0617	RSK60_03260
XOO1950	RSK60_02195
XOO1950	RSK60_04251
XOO1950	RSK60_04250
XOO2801	RSK60_04952
XOO2801	RSK60_00751
XOO1954	RSK60_02521
XOO0622	RSK60_03257
XOO0622	RSK60_03260
XOO1952	RSK60_00710
XOO1936	RSK60_02195
XOO1936	RSK60_04251
XOO1936	RSK60_04250
XOO1934	RSK60_01291
XOO1934	RSK60_02054
XOO1934	RSK60_02463
XOO1934	RSK60_00841
XOO1934	RSK60_01155
XOO1934	RSK60_03338
XOO1934	RSK60_04184
XOO1937	RSK60_02195
XOO1937	RSK60_04251
XOO1937	RSK60_04250
XOO1941	RSK60_02195
XOO1941	RSK60_04251
XOO1941	RSK60_04250
XOO1925	RSK60_02477
XOO1925	RSK60_04182
XOO1924	RSK60_02836
XOO1922	RSK60_00712
XOO1929	RSK60_00104
XOO1929	RSK60_00103
XOO1928	RSK60_01735
XOO1928	RSK60_04056
XOO1928	RSK60_00842
XOO1928	RSK60_03731
XOO1928	RSK60_05087
XOO1919	RSK60_02866
XOO4198	RSK60_01385
XOO4196	RSK60_01388
XOO1506	RSK60_00165
XOO0659	RSK60_03835
XOO1989	RSK60_00280
XOO1504	RSK60_00500
XOO2835	RSK60_04830
XOO2836	RSK60_04829
XOO1508	RSK60_02195
XOO1508	RSK60_04251
XOO1508	RSK60_04250
XOO2838	RSK60_00213
XOO2838	RSK60_03866
XOO1510	RSK60_04562
XOO1510	RSK60_03620
XOO1510	RSK60_02753
XOO1510	RSK60_05140
XOO0661	RSK60_04749
XOO1514	RSK60_00562
XOO0667	RSK60_01705
XOO1513	RSK60_00915
XOO2840	RSK60_00438
XOO1996	RSK60_00738
XOO0665	RSK60_02988
XOO0664	RSK60_03758
XOO2828	RSK60_02684
XOO1979	RSK60_04981
XOO1979	RSK60_02568
XOO1979	RSK60_02569
XOO0647	RSK60_01291
XOO0647	RSK60_02054
XOO0647	RSK60_02463
XOO0647	RSK60_00841
XOO0647	RSK60_01155
XOO0647	RSK60_03338
XOO0647	RSK60_04184
XOO0646	RSK60_03257
XOO0646	RSK60_03260
XOO1977	RSK60_00265
XOO2825	RSK60_04952
XOO2825	RSK60_00751
XOO1983	RSK60_00266
XOO1982	RSK60_04981
XOO1982	RSK60_02568
XOO1982	RSK60_02569
XOO1985	RSK60_00277
XOO2817	RSK60_04249
XOO0638	RSK60_04697
XOO2818	RSK60_04249
XOO1968	RSK60_00257
XOO0636	RSK60_01996
XOO0636	RSK60_04172
XOO1967	RSK60_00255
XOO1966	RSK60_00254
XOO2814	RSK60_04952
XOO2814	RSK60_00751
XOO0639	RSK60_04698
XOO2820	RSK60_05089
XOO2820	RSK60_03271
XOO1972	RSK60_00261
XOO0641	RSK60_05126
XOO0641	RSK60_03606
XOO1970	RSK60_00259
XOO1976	RSK60_00264
XOO1974	RSK60_00263
XOO1973	RSK60_00262
XOO0627	RSK60_04905
XOO0626	RSK60_03678
XOO1955	RSK60_02195
XOO1955	RSK60_04251
XOO1955	RSK60_04250
XOO2809	RSK60_02397
XOO2802	RSK60_04149
XOO2804	RSK60_04321
XOO2804	RSK60_01709
XOO0629	RSK60_04902
XOO2805	RSK60_04320
XOO2805	RSK60_01710
XOO0628	RSK60_04904
XOO1961	RSK60_00511
XOO0630	RSK60_04901
XOO1960	RSK60_02195
XOO1960	RSK60_04251
XOO1960	RSK60_04250
XOO2810	RSK60_02396
XOO2810	RSK60_04575
XOO2811	RSK60_02395
XOO2812	RSK60_02394
XOO1965	RSK60_00253
XOO1964	RSK60_00252
XOO1963	RSK60_00251
XOO1962	RSK60_02991
XOO0218	RSK60_04787
XOO3729	RSK60_00217
XOO2886	RSK60_03293
XOO0223	RSK60_04027
XOO0222	RSK60_01459
XOO0222	RSK60_01885
XOO0222	RSK60_04028
XOO0222	RSK60_00861
XOO0222	RSK60_03438
XOO0222	RSK60_00085
XOO2887	RSK60_03292
XOO2400	RSK60_02613
XOO0221	RSK60_02195
XOO0221	RSK60_04251
XOO0221	RSK60_04250
XOO2888	RSK60_03290
XOO3736	RSK60_01735
XOO3736	RSK60_04056
XOO3736	RSK60_00842
XOO3736	RSK60_03731
XOO3736	RSK60_05087
XOO0227	RSK60_01849
XOO1558	RSK60_02173
XOO2404	RSK60_04082
XOO0226	RSK60_04026
XOO0226	RSK60_03436
XOO2403	RSK60_03257
XOO2403	RSK60_03260
XOO2884	RSK60_00566
XOO0225	RSK60_04027
XOO1555	RSK60_00313
XOO0224	RSK60_04026
XOO0224	RSK60_03436
XOO0209	RSK60_01291
XOO0209	RSK60_02054
XOO0209	RSK60_02463
XOO0209	RSK60_00841
XOO0209	RSK60_01155
XOO0209	RSK60_03338
XOO0209	RSK60_04184
XOO3719	RSK60_01505
XOO3719	RSK60_00241
XOO0208	RSK60_02195
XOO0208	RSK60_04251
XOO0208	RSK60_04250
XOO1539	RSK60_02717
XOO0207	RSK60_02195
XOO0207	RSK60_04251
XOO0207	RSK60_04250
XOO1538	RSK60_02716
XOO2868	RSK60_02400
XOO3716	RSK60_03014
XOO3718	RSK60_01996
XOO3718	RSK60_04172
XOO0692	RSK60_00777
XOO0690	RSK60_00094
XOO0212	RSK60_01405
XOO3723	RSK60_04334
XOO0694	RSK60_00296
XOO0693	RSK60_00778
XOO2871	RSK60_02707
XOO2871	RSK60_01090
XOO2872	RSK60_00692
XOO0214	RSK60_01403
XOO2873	RSK60_00690
XOO0698	RSK60_04675
XOO1545	RSK60_00901
XOO1528	RSK60_00066
XOO1527	RSK60_00805
XOO2857	RSK60_04826
XOO2858	RSK60_04825
XOO3706	RSK60_01291
XOO3706	RSK60_02054
XOO3706	RSK60_02463
XOO3706	RSK60_00841
XOO3706	RSK60_01155
XOO3706	RSK60_03338
XOO3706	RSK60_04184
XOO2859	RSK60_04824
XOO0680	RSK60_02606
XOO2865	RSK60_03174
XOO3712	RSK60_01632
XOO3713	RSK60_00899
XOO2860	RSK60_01181
XOO1536	RSK60_00748
XOO0688	RSK60_04832
XOO0687	RSK60_04831
XOO1517	RSK60_00929
XOO1999	RSK60_00371
XOO0670	RSK60_00298
XOO3700	RSK60_03257
XOO3700	RSK60_03260
XOO0674	RSK60_04893
XOO0674	RSK60_00234
XOO0674	RSK60_03712
XOO0674	RSK60_00848
XOO3701	RSK60_03257
XOO3701	RSK60_03260
XOO3702	RSK60_03257
XOO3702	RSK60_03260
XOO1525	RSK60_00354
XOO1524	RSK60_04917
XOO2850	RSK60_04828
XOO2851	RSK60_01291
XOO2851	RSK60_02054
XOO2851	RSK60_02463
XOO2851	RSK60_00841
XOO2851	RSK60_01155
XOO2851	RSK60_03338
XOO2851	RSK60_04184
XOO0676	RSK60_02286
XOO3649	RSK60_00441
XOO3650	RSK60_01291
XOO3650	RSK60_02054
XOO3650	RSK60_02463
XOO3650	RSK60_00841
XOO3650	RSK60_01155
XOO3650	RSK60_03338
XOO3650	RSK60_04184
XOO2320	RSK60_02195
XOO2320	RSK60_04251
XOO2320	RSK60_04250
XOO0141	RSK60_02195
XOO0141	RSK60_04251
XOO0141	RSK60_04250
XOO1472	RSK60_03503
XOO0140	RSK60_02195
XOO0140	RSK60_04251
XOO0140	RSK60_04250
XOO2324	RSK60_01735
XOO2324	RSK60_04056
XOO2324	RSK60_00842
XOO2324	RSK60_03731
XOO2324	RSK60_05087
XOO0145	RSK60_02195
XOO0145	RSK60_04251
XOO0145	RSK60_04250
XOO3657	RSK60_00921
XOO2323	RSK60_04675
XOO0144	RSK60_02195
XOO0144	RSK60_04251
XOO0144	RSK60_04250
XOO4505	RSK60_02110
XOO3658	RSK60_04842
XOO0149	RSK60_04952
XOO0149	RSK60_00751
XOO0148	RSK60_04952
XOO0148	RSK60_00751
XOO3654	RSK60_01291
XOO3654	RSK60_02054
XOO3654	RSK60_02463
XOO3654	RSK60_00841
XOO3654	RSK60_01155
XOO3654	RSK60_03338
XOO3654	RSK60_04184
XOO1479	RSK60_01735
XOO1479	RSK60_04056
XOO1479	RSK60_00842
XOO1479	RSK60_03731
XOO1479	RSK60_05087
XOO2326	RSK60_03014
XOO0147	RSK60_04952
XOO0147	RSK60_00751
XOO1478	RSK60_01735
XOO1478	RSK60_04056
XOO1478	RSK60_00842
XOO1478	RSK60_03731
XOO1478	RSK60_05087
XOO2325	RSK60_01735
XOO2325	RSK60_04056
XOO2325	RSK60_00842
XOO2325	RSK60_03731
XOO2325	RSK60_05087
XOO2308	RSK60_03184
XOO0129	RSK60_01291
XOO0129	RSK60_02054
XOO0129	RSK60_02463
XOO0129	RSK60_00841
XOO0129	RSK60_01155
XOO0129	RSK60_03338
XOO0129	RSK60_04184
XOO2307	RSK60_03185
XOO2790	RSK60_04556
XOO2791	RSK60_04553
XOO2792	RSK60_04893
XOO2792	RSK60_00234
XOO2792	RSK60_03712
XOO2792	RSK60_00848
XOO2793	RSK60_04565
XOO0131	RSK60_02923
XOO1460	RSK60_01389
XOO2313	RSK60_00400
XOO3645	RSK60_03790
XOO0135	RSK60_00142
XOO0134	RSK60_04952
XOO0134	RSK60_00751
XOO3646	RSK60_03791
XOO1465	RSK60_04824
XOO3647	RSK60_02570
XOO2317	RSK60_05003
XOO2794	RSK60_04467
XOO0138	RSK60_02195
XOO0138	RSK60_04251
XOO0138	RSK60_04250
XOO1469	RSK60_00438
XOO2315	RSK60_05000
XOO0137	RSK60_00142
XOO2314	RSK60_05002
XOO3644	RSK60_02350
XOO0118	RSK60_02690
XOO3629	RSK60_02528
XOO2781	RSK60_01291
XOO2781	RSK60_02054
XOO2781	RSK60_02463
XOO2781	RSK60_00841
XOO2781	RSK60_01155
XOO2781	RSK60_03338
XOO2781	RSK60_04184
XOO0124	RSK60_01291
XOO0124	RSK60_02054
XOO0124	RSK60_02463
XOO0124	RSK60_00841
XOO0124	RSK60_01155
XOO0124	RSK60_03338
XOO0124	RSK60_04184
XOO3634	RSK60_01291
XOO3634	RSK60_02054
XOO3634	RSK60_02463
XOO3634	RSK60_00841
XOO3634	RSK60_01155
XOO3634	RSK60_03338
XOO3634	RSK60_04184
XOO2787	RSK60_04970
XOO2787	RSK60_03960
XOO2787	RSK60_03957
XOO3635	RSK60_04952
XOO3635	RSK60_00751
XOO2788	RSK60_02401
XOO2789	RSK60_04554
XOO0121	RSK60_01291
XOO0121	RSK60_02054
XOO0121	RSK60_02463
XOO0121	RSK60_00841
XOO0121	RSK60_01155
XOO0121	RSK60_03338
XOO0121	RSK60_04184
XOO3630	RSK60_02529
XOO0127	RSK60_01291
XOO0127	RSK60_02054
XOO0127	RSK60_02463
XOO0127	RSK60_00841
XOO0127	RSK60_01155
XOO0127	RSK60_03338
XOO0127	RSK60_04184
XOO2305	RSK60_00564
XOO1458	RSK60_01365
XOO3631	RSK60_03100
XOO2304	RSK60_00563
XOO3633	RSK60_02531
XOO1439	RSK60_01288
XOO1438	RSK60_02435
XOO2769	RSK60_01161
XOO3617	RSK60_03343
XOO2771	RSK60_01163
XOO1440	RSK60_02089
XOO0590	RSK60_02994
XOO0113	RSK60_03785
XOO0597	RSK60_01199
XOO1443	RSK60_01291
XOO1443	RSK60_02054
XOO1443	RSK60_02463
XOO1443	RSK60_00841
XOO1443	RSK60_01155
XOO1443	RSK60_03338
XOO1443	RSK60_04184
XOO2777	RSK60_00070
XOO0112	RSK60_03789
XOO3624	RSK60_04900
XOO0596	RSK60_01588
XOO0595	RSK60_02099
XOO4957	RSK60_01723
XOO0594	RSK60_04726
XOO2779	RSK60_02534
XOO0110	RSK60_04253
XOO4950	RSK60_04082
XOO0117	RSK60_03784
XOO1448	RSK60_01148
XOO2773	RSK60_04175
XOO1447	RSK60_01697
XOO0116	RSK60_03781
XOO3621	RSK60_02607
XOO1446	RSK60_01696
XOO0115	RSK60_03782
XOO0598	RSK60_02979
XOO0114	RSK60_03783
XOO3209	RSK60_01107
XOO2360	RSK60_00056
XOO3210	RSK60_01108
XOO0186	RSK60_01291
XOO0186	RSK60_02054
XOO0186	RSK60_02463
XOO0186	RSK60_00841
XOO0186	RSK60_01155
XOO0186	RSK60_03338
XOO0186	RSK60_04184
XOO2364	RSK60_02629
XOO1033	RSK60_00046
XOO0185	RSK60_01291
XOO0185	RSK60_02054
XOO0185	RSK60_02463
XOO0185	RSK60_00841
XOO0185	RSK60_01155
XOO0185	RSK60_03338
XOO0185	RSK60_04184
XOO2363	RSK60_02830
XOO1031	RSK60_02195
XOO1031	RSK60_04251
XOO1031	RSK60_04250
XOO3690	RSK60_00329
XOO2361	RSK60_02530
XOO3691	RSK60_04393
XOO1030	RSK60_01539
XOO1030	RSK60_04289
XOO1030	RSK60_01544
XOO1030	RSK60_03259
XOO2368	RSK60_02673
XOO3216	RSK60_00376
XOO1036	RSK60_00049
XOO1035	RSK60_00048
XOO3218	RSK60_00378
XOO2366	RSK60_02632
XOO0187	RSK60_02195
XOO0187	RSK60_04251
XOO0187	RSK60_04250
XOO2365	RSK60_02631
XOO1034	RSK60_00047
XOO3219	RSK60_00379
XOO3212	RSK60_02772
XOO4544	RSK60_03223
XOO1039	RSK60_03287
XOO3214	RSK60_03110
XOO2369	RSK60_02195
XOO2369	RSK60_04251
XOO2369	RSK60_04250
XOO3215	RSK60_03109
XOO1020	RSK60_01291
XOO1020	RSK60_02054
XOO1020	RSK60_02463
XOO1020	RSK60_00841
XOO1020	RSK60_01155
XOO1020	RSK60_03338
XOO1020	RSK60_04184
XOO0173	RSK60_00543
XOO3689	RSK60_00319
XOO3205	RSK60_02445
XOO3206	RSK60_04402
XOO0177	RSK60_02277
XOO3207	RSK60_02349
XOO3208	RSK60_02684
XOO3201	RSK60_04782
XOO1029	RSK60_03257
XOO1029	RSK60_03260
XOO3686	RSK60_00317
XOO3202	RSK60_04778
XOO1028	RSK60_03257
XOO1028	RSK60_03260
XOO1027	RSK60_03257
XOO1027	RSK60_03260
XOO3688	RSK60_00318
XOO1009	RSK60_01291
XOO1009	RSK60_02054
XOO1009	RSK60_02463
XOO1009	RSK60_00841
XOO1009	RSK60_01155
XOO1009	RSK60_03338
XOO1009	RSK60_04184
XOO4518	RSK60_00501
XOO1491	RSK60_04952
XOO1491	RSK60_00751
XOO3672	RSK60_00517
XOO1495	RSK60_04952
XOO1495	RSK60_00751
XOO1010	RSK60_04952
XOO1010	RSK60_00751
XOO1493	RSK60_04952
XOO1493	RSK60_00751
XOO0168	RSK60_00399
XOO3679	RSK60_03199
XOO4527	RSK60_00527
XOO1012	RSK60_04952
XOO1012	RSK60_00751
XOO4528	RSK60_00112
XOO3674	RSK60_00547
XOO3675	RSK60_03202
XOO4523	RSK60_03257
XOO4523	RSK60_03260
XOO1017	RSK60_03014
XOO4524	RSK60_03257
XOO4524	RSK60_03260
XOO4508	RSK60_00755
XOO4509	RSK60_00131
XOO3660	RSK60_01291
XOO3660	RSK60_02054
XOO3660	RSK60_02463
XOO3660	RSK60_00841
XOO3660	RSK60_01155
XOO3660	RSK60_03338
XOO3660	RSK60_04184
XOO2331	RSK60_03630
XOO2330	RSK60_04970
XOO2330	RSK60_03960
XOO2330	RSK60_03957
XOO0151	RSK60_01291
XOO0151	RSK60_02054
XOO0151	RSK60_02463
XOO0151	RSK60_00841
