XFCFBP8418_010140	RSCFB2957_00904
XFCFBP8418_015830	RSCFB2957_01453
XFCFBP8418_012560	RSCFB2957_02105
XFCFBP8418_024550	RSCFB2957_02396
XFCFBP8418_023460	RSCFB2957_02818
XFCFBP8418_000340	RSCFB2957_00463
XFCFBP8418_021280	RSCFB2957_01395
XFCFBP8418_000100	RSCFB2957_02991
XFCFBP8418_000100	RSCFB2957_03782
XFCFBP8418_000100	RSCFB2957_03009
XFCFBP8418_000100	RSCFB2957_03866
XFCFBP8418_000100	RSCFB2957_04964
XFCFBP8418_019190	RSCFB2957_04505
XFCFBP8418_003850	RSCFB2957_01894
XFCFBP8418_025400	RSCFB2957_03448
XFCFBP8418_026730	RSCFB2957_02684
XFCFBP8418_026730	RSCFB2957_03950
XFCFBP8418_025640	RSCFB2957_01961
XFCFBP8418_027800	RSCFB2957_00309
XFCFBP8418_004700	RSCFB2957_02422
XFCFBP8418_011240	RSCFB2957_02639
XFCFBP8418_012330	RSCFB2957_00696
XFCFBP8418_015840	RSCFB2957_02562
XFCFBP8418_010150	RSCFB2957_00494
XFCFBP8418_011480	RSCFB2957_00394
XFCFBP8418_014990	RSCFB2957_00532
XFCFBP8418_022360	RSCFB2957_00278
XFCFBP8418_026960	RSCFB2957_03318
XFCFBP8418_004710	RSCFB2957_02421
XFCFBP8418_023450	RSCFB2957_02817
XFCFBP8418_003860	RSCFB2957_01895
XFCFBP8418_023690	RSCFB2957_02012
XFCFBP8418_023690	RSCFB2957_00619
XFCFBP8418_023690	RSCFB2957_04677
XFCFBP8418_026720	RSCFB2957_03949
XFCFBP8418_026720	RSCFB2957_02685
XFCFBP8418_000350	RSCFB2957_00465
XFCFBP8418_022120	RSCFB2957_00267
XFCFBP8418_025630	RSCFB2957_01960
XFCFBP8418_001680	RSCFB2957_04069
XFCFBP8418_001680	RSCFB2957_00015
XFCFBP8418_011250	RSCFB2957_02640
XFCFBP8418_015850	RSCFB2957_00504
XFCFBP8418_010160	RSCFB2957_00493
XFCFBP8418_014760	RSCFB2957_00355
XFCFBP8418_027840	RSCFB2957_01283
XFCFBP8418_026750	RSCFB2957_02681
XFCFBP8418_004720	RSCFB2957_02616
XFCFBP8418_025660	RSCFB2957_01963
XFCFBP8418_024570	RSCFB2957_01085
XFCFBP8418_023480	RSCFB2957_02820
XFCFBP8418_002300	RSCFB2957_00451
XFCFBP8418_001690	RSCFB2957_04068
XFCFBP8418_001690	RSCFB2957_03519
XFCFBP8418_001690	RSCFB2957_00014
XFCFBP8418_023000	RSCFB2957_01909
XFCFBP8418_000360	RSCFB2957_02089
XFCFBP8418_025420	RSCFB2957_00346
XFCFBP8418_006900	RSCFB2957_03029
XFCFBP8418_014530	RSCFB2957_01653
XFCFBP8418_017800	RSCFB2957_00421
XFCFBP8418_013200	RSCFB2957_00330
XFCFBP8418_011260	RSCFB2957_02641
XFCFBP8418_010170	RSCFB2957_00492
XFCFBP8418_012590	RSCFB2957_02393
XFCFBP8418_012350	RSCFB2957_01130
XFCFBP8418_025650	RSCFB2957_01962
XFCFBP8418_003400	RSCFB2957_01622
XFCFBP8418_002310	RSCFB2957_00452
XFCFBP8418_027830	RSCFB2957_02488
XFCFBP8418_022380	RSCFB2957_03753
XFCFBP8418_004730	RSCFB2957_02617
XFCFBP8418_023470	RSCFB2957_02819
XFCFBP8418_025410	RSCFB2957_03478
XFCFBP8418_026740	RSCFB2957_02682
XFCFBP8418_012120	RSCFB2957_01288
XFCFBP8418_013210	RSCFB2957_02687
XFCFBP8418_015630	RSCFB2957_00355
XFCFBP8418_014300	RSCFB2957_01876
XFCFBP8418_011270	RSCFB2957_02642
XFCFBP8418_012360	RSCFB2957_01786
XFCFBP8418_014780	RSCFB2957_02607
XFCFBP8418_014540	RSCFB2957_02583
XFCFBP8418_026530	RSCFB2957_01625
XFCFBP8418_025440	RSCFB2957_00345
XFCFBP8418_002320	RSCFB2957_01902
XFCFBP8418_006920	RSCFB2957_03030
XFCFBP8418_004740	RSCFB2957_02618
XFCFBP8418_025680	RSCFB2957_01965
XFCFBP8418_004980	RSCFB2957_01551
XFCFBP8418_001470	RSCFB2957_02940
XFCFBP8418_000380	RSCFB2957_01211
XFCFBP8418_000140	RSCFB2957_03929
XFCFBP8418_001230	RSCFB2957_00467
XFCFBP8418_011280	RSCFB2957_02644
XFCFBP8418_010190	RSCFB2957_00490
XFCFBP8418_012130	RSCFB2957_01287
XFCFBP8418_017820	RSCFB2957_01838
XFCFBP8418_012370	RSCFB2957_01787
XFCFBP8418_014550	RSCFB2957_02584
XFCFBP8418_000390	RSCFB2957_00357
XFCFBP8418_023490	RSCFB2957_02821
XFCFBP8418_026760	RSCFB2957_02679
XFCFBP8418_022160	RSCFB2957_01742
XFCFBP8418_025670	RSCFB2957_01964
XFCFBP8418_024580	RSCFB2957_01084
XFCFBP8418_003660	RSCFB2957_01111
XFCFBP8418_002570	RSCFB2957_02704
XFCFBP8418_004750	RSCFB2957_00377
XFCFBP8418_002330	RSCFB2957_01156
XFCFBP8418_027850	RSCFB2957_00111
XFCFBP8418_001240	RSCFB2957_04743
XFCFBP8418_004990	RSCFB2957_02244
XFCFBP8418_011290	RSCFB2957_02645
XFCFBP8418_016500	RSCFB2957_01283
XFCFBP8418_015410	RSCFB2957_00241
XFCFBP8418_017830	RSCFB2957_00050
XFCFBP8418_012140	RSCFB2957_01285
XFCFBP8418_011050	RSCFB2957_00538
XFCFBP8418_014560	RSCFB2957_02585
XFCFBP8418_001490	RSCFB2957_04602
XFCFBP8418_023280	RSCFB2957_00294
XFCFBP8418_026790	RSCFB2957_02104
XFCFBP8418_022190	RSCFB2957_01651
XFCFBP8418_025220	RSCFB2957_02551
XFCFBP8418_002100	RSCFB2957_04562
XFCFBP8418_026550	RSCFB2957_02245
XFCFBP8418_023040	RSCFB2957_02298
XFCFBP8418_025460	RSCFB2957_00919
XFCFBP8418_000160	RSCFB2957_04069
XFCFBP8418_000160	RSCFB2957_00015
XFCFBP8418_005850	RSCFB2957_01515
XFCFBP8418_002580	RSCFB2957_03394
XFCFBP8418_003670	RSCFB2957_00379
XFCFBP8418_012390	RSCFB2957_01789
XFCFBP8418_011060	RSCFB2957_00537
XFCFBP8418_016510	RSCFB2957_00111
XFCFBP8418_012150	RSCFB2957_00947
XFCFBP8418_014570	RSCFB2957_02136
XFCFBP8418_015420	RSCFB2957_02297
XFCFBP8418_000170	RSCFB2957_04068
XFCFBP8418_000170	RSCFB2957_03519
XFCFBP8418_000170	RSCFB2957_00014
XFCFBP8418_021090	RSCFB2957_00834
XFCFBP8418_025690	RSCFB2957_01966
XFCFBP8418_007800	RSCFB2957_00306
XFCFBP8418_026540	RSCFB2957_02541
XFCFBP8418_025450	RSCFB2957_00344
XFCFBP8418_003200	RSCFB2957_02195
XFCFBP8418_026780	RSCFB2957_00540
XFCFBP8418_023030	RSCFB2957_02299
XFCFBP8418_006950	RSCFB2957_02239
XFCFBP8418_003680	RSCFB2957_02619
XFCFBP8418_004770	RSCFB2957_01400
XFCFBP8418_001020	RSCFB2957_00314
XFCFBP8418_011070	RSCFB2957_01147
XFCFBP8418_017850	RSCFB2957_01251
XFCFBP8418_014340	RSCFB2957_02091
XFCFBP8418_015670	RSCFB2957_00395
XFCFBP8418_013010	RSCFB2957_02609
XFCFBP8418_015430	RSCFB2957_02314
XFCFBP8418_003690	RSCFB2957_02718
XFCFBP8418_026570	RSCFB2957_02444
XFCFBP8418_025480	RSCFB2957_00286
XFCFBP8418_007810	RSCFB2957_00305
XFCFBP8418_004300	RSCFB2957_03139
XFCFBP8418_001030	RSCFB2957_00466
XFCFBP8418_027660	RSCFB2957_02089
XFCFBP8418_004540	RSCFB2957_01304
XFCFBP8418_006960	RSCFB2957_00933
XFCFBP8418_003210	RSCFB2957_01682
XFCFBP8418_002360	RSCFB2957_02503
XFCFBP8418_004780	RSCFB2957_01398
XFCFBP8418_005870	RSCFB2957_01518
XFCFBP8418_003450	RSCFB2957_02761
XFCFBP8418_002120	RSCFB2957_02530
XFCFBP8418_015680	RSCFB2957_04941
XFCFBP8418_013260	RSCFB2957_01162
XFCFBP8418_015440	RSCFB2957_02342
XFCFBP8418_015440	RSCFB2957_02316
XFCFBP8418_015440	RSCFB2957_02343
XFCFBP8418_017620	RSCFB2957_00379
XFCFBP8418_013020	RSCFB2957_02705
XFCFBP8418_015200	RSCFB2957_00790
XFCFBP8418_017860	RSCFB2957_04402
XFCFBP8418_004790	RSCFB2957_01703
XFCFBP8418_002370	RSCFB2957_03441
XFCFBP8418_025470	RSCFB2957_02566
XFCFBP8418_025470	RSCFB2957_02025
XFCFBP8418_007820	RSCFB2957_02613
XFCFBP8418_023050	RSCFB2957_02868
XFCFBP8418_023290	RSCFB2957_00296
XFCFBP8418_025230	RSCFB2957_02615
XFCFBP8418_026560	RSCFB2957_02446
XFCFBP8418_003220	RSCFB2957_02806
XFCFBP8418_003220	RSCFB2957_02140
XFCFBP8418_002130	RSCFB2957_01115
XFCFBP8418_001040	RSCFB2957_02090
XFCFBP8418_004310	RSCFB2957_03140
XFCFBP8418_003460	RSCFB2957_02762
XFCFBP8418_004550	RSCFB2957_03505
XFCFBP8418_013270	RSCFB2957_01161
XFCFBP8418_013030	RSCFB2957_00542
XFCFBP8418_015450	RSCFB2957_00690
XFCFBP8418_016300	RSCFB2957_00357
XFCFBP8418_005890	RSCFB2957_00979
XFCFBP8418_003470	RSCFB2957_00369
XFCFBP8418_027680	RSCFB2957_00463
XFCFBP8418_002380	RSCFB2957_03440
XFCFBP8418_023080	RSCFB2957_00673
XFCFBP8418_002140	RSCFB2957_01248
XFCFBP8418_003230	RSCFB2957_02344
XFCFBP8418_013040	RSCFB2957_00541
XFCFBP8418_016310	RSCFB2957_01211
XFCFBP8418_003480	RSCFB2957_00368
XFCFBP8418_002150	RSCFB2957_01249
XFCFBP8418_007840	RSCFB2957_00130
XFCFBP8418_027670	RSCFB2957_00465
XFCFBP8418_007600	RSCFB2957_02770
XFCFBP8418_026580	RSCFB2957_02443
XFCFBP8418_003240	RSCFB2957_02345
XFCFBP8418_017890	RSCFB2957_01983
XFCFBP8418_015470	RSCFB2957_00135
XFCFBP8418_014140	RSCFB2957_00005
XFCFBP8418_015230	RSCFB2957_01704
XFCFBP8418_003250	RSCFB2957_02534
XFCFBP8418_007610	RSCFB2957_02769
XFCFBP8418_004100	RSCFB2957_01315
XFCFBP8418_004340	RSCFB2957_01734
XFCFBP8418_003010	RSCFB2957_01795
XFCFBP8418_006760	RSCFB2957_00169
XFCFBP8418_014390	RSCFB2957_00741
XFCFBP8418_014390	RSCFB2957_02475
XFCFBP8418_017660	RSCFB2957_01240
XFCFBP8418_016330	RSCFB2957_02089
XFCFBP8418_007860	RSCFB2957_03679
XFCFBP8418_002170	RSCFB2957_01250
XFCFBP8418_003260	RSCFB2957_02533
XFCFBP8418_027690	RSCFB2957_01677
XFCFBP8418_027690	RSCFB2957_04336
XFCFBP8418_004350	RSCFB2957_02522
XFCFBP8418_007620	RSCFB2957_02768
XFCFBP8418_004590	RSCFB2957_00199
XFCFBP8418_008710	RSCFB2957_03975
XFCFBP8418_009800	RSCFB2957_00728
XFCFBP8418_026360	RSCFB2957_01642
XFCFBP8418_003020	RSCFB2957_01890
XFCFBP8418_018760	RSCFB2957_01060
XFCFBP8418_016340	RSCFB2957_00465
XFCFBP8418_020840	RSCFB2957_03100
XFCFBP8418_020600	RSCFB2957_02122
XFCFBP8418_019610	RSCFB2957_01808
XFCFBP8418_018520	RSCFB2957_02710
XFCFBP8418_004360	RSCFB2957_00068
XFCFBP8418_016350	RSCFB2957_00463
XFCFBP8418_008730	RSCFB2957_02521
XFCFBP8418_006790	RSCFB2957_02458
XFCFBP8418_009820	RSCFB2957_00729
XFCFBP8418_004370	RSCFB2957_00067
XFCFBP8418_007880	RSCFB2957_01277
XFCFBP8418_020740	RSCFB2957_04405
XFCFBP8418_015390	RSCFB2957_00730
XFCFBP8418_018420	RSCFB2957_00687
XFCFBP8418_009950	RSCFB2957_00077
XFCFBP8418_026290	RSCFB2957_00275
XFCFBP8418_009710	RSCFB2957_01294
XFCFBP8418_020730	RSCFB2957_03419
XFCFBP8418_016490	RSCFB2957_02488
XFCFBP8418_008630	RSCFB2957_02784
XFCFBP8418_004030	RSCFB2957_00905
XFCFBP8418_003180	RSCFB2957_02188
XFCFBP8418_010700	RSCFB2957_01342
XFCFBP8418_009960	RSCFB2957_00075
XFCFBP8418_018440	RSCFB2957_02496
XFCFBP8418_020760	RSCFB2957_03945
XFCFBP8418_019770	RSCFB2957_00848
XFCFBP8418_018680	RSCFB2957_00843
XFCFBP8418_021610	RSCFB2957_00821
XFCFBP8418_026070	RSCFB2957_02401
XFCFBP8418_004040	RSCFB2957_02116
XFCFBP8418_003190	RSCFB2957_02189
XFCFBP8418_011800	RSCFB2957_01732
XFCFBP8418_010710	RSCFB2957_00856
XFCFBP8418_020510	RSCFB2957_00980
XFCFBP8418_018450	RSCFB2957_02495
XFCFBP8418_019780	RSCFB2957_03031
XFCFBP8418_021600	RSCFB2957_02012
XFCFBP8418_021600	RSCFB2957_00619
XFCFBP8418_021600	RSCFB2957_04677
XFCFBP8418_018690	RSCFB2957_00778
XFCFBP8418_018690	RSCFB2957_01744
XFCFBP8418_015180	RSCFB2957_01282
XFCFBP8418_010720	RSCFB2957_01549
XFCFBP8418_026060	RSCFB2957_02580
XFCFBP8418_009980	RSCFB2957_00073
XFCFBP8418_009740	RSCFB2957_02567
XFCFBP8418_007320	RSCFB2957_02692
XFCFBP8418_023810	RSCFB2957_00098
XFCFBP8418_020540	RSCFB2957_00985
XFCFBP8418_020300	RSCFB2957_02757
XFCFBP8418_015190	RSCFB2957_00517
XFCFBP8418_024900	RSCFB2957_01385
XFCFBP8418_010980	RSCFB2957_00847
XFCFBP8418_010970	RSCFB2957_02272
XFCFBP8418_005150	RSCFB2957_04136
XFCFBP8418_004060	RSCFB2957_00131
XFCFBP8418_008660	RSCFB2957_00939
XFCFBP8418_007330	RSCFB2957_00668
XFCFBP8418_020550	RSCFB2957_00986
XFCFBP8418_009750	RSCFB2957_00712
XFCFBP8418_020530	RSCFB2957_00983
XFCFBP8418_016290	RSCFB2957_00341
XFCFBP8418_010500	RSCFB2957_00850
XFCFBP8418_004070	RSCFB2957_01322
XFCFBP8418_006490	RSCFB2957_03483
XFCFBP8418_012920	RSCFB2957_02701
XFCFBP8418_009760	RSCFB2957_00713
XFCFBP8418_020780	RSCFB2957_01537
XFCFBP8418_020320	RSCFB2957_02759
XFCFBP8418_024920	RSCFB2957_01387
XFCFBP8418_019330	RSCFB2957_00379
XFCFBP8418_018480	RSCFB2957_02205
XFCFBP8418_011600	RSCFB2957_02406
XFCFBP8418_010510	RSCFB2957_00851
XFCFBP8418_005170	RSCFB2957_00827
XFCFBP8418_012930	RSCFB2957_02702
XFCFBP8418_004080	RSCFB2957_01321
XFCFBP8418_008680	RSCFB2957_02238
XFCFBP8418_020570	RSCFB2957_00988
XFCFBP8418_009770	RSCFB2957_00714
XFCFBP8418_022990	RSCFB2957_01131
XFCFBP8418_022990	RSCFB2957_01132
XFCFBP8418_024910	RSCFB2957_01386
XFCFBP8418_023820	RSCFB2957_02628
XFCFBP8418_019580	RSCFB2957_01837
XFCFBP8418_011610	RSCFB2957_01624
XFCFBP8418_010520	RSCFB2957_00852
XFCFBP8418_010520	RSCFB2957_03157
XFCFBP8418_005180	RSCFB2957_00828
XFCFBP8418_004090	RSCFB2957_01320
