XFCFBP8418_010140	RSBA7_00952
XFCFBP8418_015830	RSBA7_01462
XFCFBP8418_012560	RSBA7_02025
XFCFBP8418_024550	RSBA7_02293
XFCFBP8418_023460	RSBA7_02771
XFCFBP8418_000340	RSBA7_00508
XFCFBP8418_021280	RSBA7_01386
XFCFBP8418_000100	RSBA7_04396
XFCFBP8418_019190	RSBA7_03623
XFCFBP8418_003850	RSBA7_01825
XFCFBP8418_025400	RSBA7_03270
XFCFBP8418_026730	RSBA7_02584
XFCFBP8418_026730	RSBA7_04113
XFCFBP8418_026730	RSBA7_04112
XFCFBP8418_025640	RSBA7_01897
XFCFBP8418_027800	RSBA7_00353
XFCFBP8418_004700	RSBA7_02319
XFCFBP8418_011240	RSBA7_02537
XFCFBP8418_012330	RSBA7_00750
XFCFBP8418_015840	RSBA7_02460
XFCFBP8418_010150	RSBA7_00539
XFCFBP8418_011480	RSBA7_00438
XFCFBP8418_014990	RSBA7_00609
XFCFBP8418_022360	RSBA7_00284
XFCFBP8418_026960	RSBA7_03223
XFCFBP8418_004710	RSBA7_02318
XFCFBP8418_023450	RSBA7_02770
XFCFBP8418_003860	RSBA7_01826
XFCFBP8418_023690	RSBA7_04366
XFCFBP8418_023690	RSBA7_01950
XFCFBP8418_026720	RSBA7_02585
XFCFBP8418_026720	RSBA7_04114
XFCFBP8418_000350	RSBA7_00510
XFCFBP8418_022120	RSBA7_00272
XFCFBP8418_025630	RSBA7_01896
XFCFBP8418_001680	RSBA7_00015
XFCFBP8418_001680	RSBA7_03967
XFCFBP8418_001680	RSBA7_03966
XFCFBP8418_011250	RSBA7_02538
XFCFBP8418_015850	RSBA7_00549
XFCFBP8418_010160	RSBA7_00538
XFCFBP8418_014760	RSBA7_00399
XFCFBP8418_027840	RSBA7_01273
XFCFBP8418_026750	RSBA7_02581
XFCFBP8418_004720	RSBA7_02514
XFCFBP8418_025660	RSBA7_01899
XFCFBP8418_024570	RSBA7_01075
XFCFBP8418_023480	RSBA7_02773
XFCFBP8418_002300	RSBA7_00496
XFCFBP8418_001690	RSBA7_03968
XFCFBP8418_001690	RSBA7_00014
XFCFBP8418_001690	RSBA7_04846
XFCFBP8418_023000	RSBA7_01840
XFCFBP8418_000360	RSBA7_02009
XFCFBP8418_025420	RSBA7_00390
XFCFBP8418_006900	RSBA7_02939
XFCFBP8418_014530	RSBA7_01592
XFCFBP8418_017800	RSBA7_00466
XFCFBP8418_013200	RSBA7_00374
XFCFBP8418_011260	RSBA7_02539
XFCFBP8418_010170	RSBA7_00537
XFCFBP8418_012590	RSBA7_02291
XFCFBP8418_012350	RSBA7_01120
XFCFBP8418_025650	RSBA7_01898
XFCFBP8418_003400	RSBA7_01561
XFCFBP8418_002310	RSBA7_00497
XFCFBP8418_027830	RSBA7_02384
XFCFBP8418_022380	RSBA7_03452
XFCFBP8418_004730	RSBA7_02515
XFCFBP8418_023470	RSBA7_02772
XFCFBP8418_025410	RSBA7_03300
XFCFBP8418_026740	RSBA7_02582
XFCFBP8418_012120	RSBA7_01278
XFCFBP8418_013210	RSBA7_02587
XFCFBP8418_015630	RSBA7_00399
XFCFBP8418_014300	RSBA7_01807
