KPN_04005	RSc2064
KPN_03036	RSc0918
KPN_04249	RSc2363
KPN_04008	RSc1336
KPN_01090	RSc1051
KPN_01091	RSc1052
KPN_02180	RSc1577
KPN_01092	RSc1053
KPN_01093	RSc1054
KPN_02061	RSc2753
KPN_01096	RSc1784
KPN_02055	RSc1632
KPN_02176	RSc1581
KPN_04478	RSc1952
KPN_01089	RSc1050
KPN_03268	RSc1632
KPN_03389	RSc2161
KPN_03388	RSc2160
KPN_04239	RSc0091
KPN_03029	RSc0797
KPN_03380	RSc0345
KPN_03140	RSc3296
KPN_03140	RSp0045
KPN_03140	RSc1100
KPN_04350	RSc2550
KPN_02295	RSp1516
KPN_02054	RSc1571
KPN_02054	RSc2253
KPN_02175	RSc1582
KPN_03009	RSp0067
KPN_01197	RSc2749
KPN_03375	RSc0134
KPN_01198	RSc1747
KPN_02169	RSc2399
KPN_03016	RSp0322
KPN_02160	RSc1421
KPN_03130	RSc1079
KPN_02162	RSc0743
KPN_02162	RSc2660
KPN_03132	RSp0828
KPN_01074	RSc0487
KPN_03131	RSc1079
KPN_04329	RSc0458
KPN_03123	RSc1129
KPN_00096	RSc2842
KPN_03244	RSc1370
KPN_00095	RSc2843
KPN_00094	RSc2844
KPN_03124	RSc1126
KPN_04576	RSc1226
KPN_04337	RSc0708
KPN_00091	RSc2847
KPN_03126	RSc1576
KPN_04339	RSc2252
KPN_00090	RSc2848
KPN_03008	RSp0066
KPN_04217	RSc2526
KPN_02392	RSp0731
KPN_02392	RSp1105
KPN_02393	RSp1104
KPN_04331	RSc0461
KPN_00918	RSp1182
KPN_04289	RSc0684
KPN_04288	RSc0682
KPN_03194	RSp0620
KPN_04282	RSc1188
KPN_03193	RSp0619
KPN_04287	RSp1016
KPN_04286	RSp0510
KPN_04286	RSp1017
KPN_04157	RSc1013
KPN_04399	RSc0294
KPN_03183	RSc2391
KPN_04271	RSc0449
KPN_04395	RSc1363
KPN_04152	RSp1052
KPN_04152	RSc1621
KPN_03184	RSc2390
KPN_04155	RSc1243
KPN_04397	RSc0278
KPN_04154	RSc2757
KPN_04154	RSp1634
KPN_04154	RSc1242
KPN_04396	RSc1358
KPN_04267	RSc2077
KPN_04388	RSc0504
KPN_04387	RSc2191
KPN_04269	RSc0567
KPN_04142	RSc3322
KPN_04141	RSc3321
KPN_04143	RSc3323
KPN_04135	RSc0177
KPN_04256	RSc1956
KPN_03045	RSc0667
KPN_04134	RSc0178
KPN_04376	RSc0113
KPN_04137	RSc3317
KPN_04379	RSc3303
KPN_04136	RSp0810
KPN_04136	RSc3316
KPN_04139	RSc3319
KPN_04138	RSc3318
KPN_02193	RSc2866
KPN_02193	RSc1885
KPN_02194	RSc2867
KPN_02194	RSc1884
KPN_04131	RSc1531
KPN_04130	RSc1532
KPN_04372	RSc0109
KPN_04133	RSc1529
KPN_04375	RSc0108
KPN_04374	RSc0351
KPN_04011	RSc3052
KPN_04132	RSc1530
KPN_00039	RSc2745
KPN_03673	RSp0312
KPN_03673	RSc0010
KPN_03673	RSp0818
KPN_00041	RSc1521
KPN_01132	RSc1734
KPN_03672	RSc0011
KPN_03672	RSp0819
KPN_00040	RSc1519
KPN_00281	RSc2819
KPN_01254	RSc1983
KPN_01255	RSc2885
KPN_01255	RSp0680
KPN_00280	RSc2741
KPN_03795	RSp0242
KPN_03432	RSc1500
KPN_02587	RSc2757
KPN_02587	RSp1634
KPN_02587	RSc1242
KPN_01256	RSp0681
KPN_01256	RSc2884
KPN_03798	RSp0239
KPN_01015	RSp1612
KPN_03797	RSp0238
KPN_02468	RSc0327
KPN_03799	RSc1987
KPN_00049	RSc0517
KPN_00169	RSc0666
KPN_00046	RSc0681
KPN_00045	RSc0946
KPN_00044	RSc3096
KPN_03792	RSc3045
KPN_01492	RSc0480
KPN_01493	RSc2435
KPN_02206	RSc1106
KPN_02206	RSp0065
KPN_02206	RSc1873
KPN_04627	RSc2782
KPN_04626	RSc2126
KPN_03537	RSc3283
KPN_02328	RSc2633
KPN_02330	RSc3296
KPN_02330	RSp0045
KPN_02330	RSc1100
KPN_00393	RSc2916
KPN_00393	RSc1859
KPN_00392	RSc2915
KPN_00392	RSc1860
KPN_03540	RSp0830
KPN_02573	RSc1609
KPN_03785	RSp1189
KPN_03664	RSc2786
KPN_00391	RSc2914
KPN_02211	RSp0977
KPN_02696	RSp0932
KPN_02696	RSc2260
KPN_02696	RSc3408
KPN_02696	RSc0484
KPN_02696	RSc2106
KPN_01365	RSc1010
KPN_02213	RSp0975
KPN_02455	RSc1545
KPN_03665	RSc2787
KPN_02214	RSp0974
KPN_01126	RSc1231
KPN_02215	RSp0973
KPN_03547	RSc2145
KPN_01127	RSc2750
KPN_02458	RSc2856
KPN_00395	RSc0154
KPN_00394	RSc2917
KPN_00394	RSc1858
KPN_00139	RSc2731
KPN_01106	RSc2229
KPN_01469	RSp0604
KPN_04615	RSc0764
KPN_04736	RSp0928
KPN_04739	RSp0817
KPN_03409	RSp0276
KPN_00140	RSc2387
KPN_01472	RSp0607
KPN_01473	RSp0608
KPN_03895	RSc2866
KPN_03895	RSc1885
KPN_01474	RSc2872
KPN_04621	RSc2349
KPN_02322	RSc2857
KPN_02564	RSc2516
KPN_01475	RSc2873
KPN_04623	RSc2757
KPN_04623	RSp1634
KPN_04623	RSc1242
KPN_02202	RSp0006
KPN_02202	RSc2237
KPN_03897	RSc1382
KPN_01476	RSc0244
KPN_03896	RSc2867
KPN_03896	RSc1884
KPN_02566	RSc2516
KPN_02445	RSp0214
KPN_01236	RSp1581
KPN_01478	RSc2252
KPN_01479	RSc2875
KPN_00024	RSc2442
KPN_01590	RSc0730
KPN_00142	RSc2628
