BSU09290	RSUW551_02883
BSU35580	RSUW551_02187
BSU11250	RSUW551_02439
BSU14400	RSUW551_02682
BSU22700	RSUW551_02791
BSU38050	RSUW551_04475
BSU38050	RSUW551_04476
BSU38170	RSUW551_02738
BSU15730	RSUW551_00127
BSU15610	RSUW551_00800
BSU32750	RSUW551_01957
BSU00910	RSUW551_01240
BSU33040	RSUW551_04654
BSU30450	RSUW551_04051
BSU30450	RSUW551_04050
BSU37760	RSUW551_01348
BSU37760	RSUW551_01347
BSU18440	RSUW551_02786
BSU33720	RSUW551_00715
BSU03060	RSUW551_01897
BSU28120	RSUW551_02415
BSU29210	RSUW551_01011
BSU22140	RSUW551_04300
BSU15860	RSUW551_03091
BSU08070	RSUW551_01310
BSU33390	RSUW551_04544
BSU38040	RSUW551_04474
BSU38160	RSUW551_02737
BSU22830	RSUW551_00384
BSU18570	RSUW551_02678
BSU39370	RSUW551_02477
BSU17000	RSUW551_04290
BSU18450	RSUW551_02787
BSU36660	RSUW551_00956
BSU02400	RSUW551_01348
BSU02400	RSUW551_01347
BSU32740	RSUW551_01956
BSU27600	RSUW551_01994
BSU34920	RSUW551_02774
BSU28250	RSUW551_01001
BSU08860	RSUW551_01520
BSU29220	RSUW551_02586
BSU29220	RSUW551_01983
BSU29340	RSUW551_02102
BSU29340	RSUW551_04315
BSU29340	RSUW551_00516
BSU29340	RSUW551_03209
BSU28130	RSUW551_02811
BSU38990	RSUW551_02096
BSU38990	RSUW551_01140
BSU39720	RSUW551_01617
BSU15510	RSUW551_01094
BSU15190	RSUW551_02665
BSU19310	RSUW551_02964
BSU19310	RSUW551_02526
BSU38630	RSUW551_04781
BSU30230	RSUW551_01370
BSU18220	RSUW551_02694
BSU01780	RSUW551_00227
BSU25310	RSUW551_00905
BSU33500	RSUW551_03147
BSU02510	RSUW551_04219
BSU03600	RSUW551_03933
BSU27610	RSUW551_00444
BSU35920	RSUW551_01864
BSU03280	RSUW551_00800
BSU22960	RSUW551_00512
BSU11710	RSUW551_00154
BSU08850	RSUW551_01519
BSU28260	RSUW551_01000
BSU06430	RSUW551_00618
BSU24340	RSUW551_02606
