BSU09290	YPO3312
BSU35580	YPO2174
BSU14400	YPO1300
BSU22700	YPO0152
BSU38170	YPO3164
BSU15730	YPO0241
BSU15610	YPO0158
BSU32750	YPO1073
BSU00910	YPO3360
BSU03981	YPO4068
BSU33720	YPO1199
BSU28800	YPO2253
BSU06450	YPO3059
BSU27270	YPO3384
BSU28120	YPO3389
BSU29210	YPO2768
BSU22140	YPO2539
BSU15860	YPO1771
BSU33390	YPO1146
BSU38160	YPO3165
BSU22830	YPO0068
BSU30560	YPO0138
BSU17000	YPO0059
BSU18450	YPO3557
BSU32740	YPO1072
BSU27600	YPO0038
BSU33830	YPO1198
BSU25300	YPO1512
BSU28250	YPO0530
BSU27040	YPO1756
BSU08860	YPO3625
BSU29220	YPO3034
BSU29340	YPO2514
BSU29340	YPO2612
BSU29340	YPO2777
BSU28130	YPO3771
BSU34150	YPO3715
BSU15510	YPO0481
BSU15190	YPO0552
BSU19310	YPO1166
BSU38630	YPO1207
BSU38750	YPO1118
BSU37660	YPO2567
BSU01780	YPO4118
BSU02990	YPO2646
BSU23490	YPO1171
BSU25310	YPO0313
BSU31200	YPO0330
BSU27610	YPO3123
BSU31322	YPO2675
BSU35920	YPO0008
BSU03280	YPO0158
BSU21870	YPO3897
BSU11710	YPO2859
BSU08850	YPO3626
BSU28260	YPO0531
BSU29470	YPO2566
BSU27050	YPO1757
BSU05340	YPO3347
BSU24340	YPO3658
BSU23250	YPO3182
BSU33290	YPO3392
BSU15520	YPO0482
BSU12010	YPO1300
BSU22730	YPO2883
BSU18470	YPO3222
BSU39270	YPO1608
BSU39270	YPO2628
BSU17380	YPO2649
BSU30220	YPO0059
BSU38860	YPO1139
BSU27860	YPO3424
BSU01770	YPO3500
BSU02980	YPO2647
BSU26650	YPO1129
BSU04000	YPO2496
BSU00680	YPO3408
BSU06420	YPO3076
BSU33730	YPO1198
BSU28270	YPO0532
BSU27060	YPO1758
BSU28150	YPO3849
BSU03150	YPO3953
BSU04360	YPO2982
BSU24350	YPO3659
BSU21810	YPO0486
BSU16100	YPO1116
BSU31180	YPO0329
BSU11330	YPO1597
BSU12300	YPO0579
BSU36510	YPO3142
BSU10120	YPO3734
BSU31980	YPO1916
BSU35660	YPO3864
BSU33800	YPO1199
BSU30530	YPO3854
BSU33920	YPO0085
BSU28560	YPO2074
BSU06490	YPO2772
BSU08790	YPO3739
BSU38240	YPO0251
BSU37150	YPO3377
BSU11340	YPO1601
BSU11220	YPO1962
BSU15700	YPO0048
BSU21820	YPO0783
BSU15020	YPO0053
BSU36860	YPO4126
BSU34560	YPO3696
BSU29300	YPO0474
BSU30760	YPO2440
BSU06360	YPO2870
BSU13890	YPO1608
BSU13890	YPO2628
BSU11230	YPO0481
BSU32170	YPO3845
BSU38150	YPO3166
BSU16920	YPO1867
BSU00930	YPO0070
BSU30550	YPO0931
BSU14180	YPO1041
BSU31760	YPO2160
BSU10020	YPO1389
BSU19630	YPO0440
BSU36890	YPO2827
BSU33940	YPO2157
BSU33700	YPO1199
BSU34910	YPO1548
BSU33820	YPO1199
BSU25070	YPO2879
BSU22480	YPO1441
BSU23570	YPO0348
