b4177	BSU40420
b0809	BSU27430
b0809	BSU23960
b0809	BSU29340
b0809	BSU03590
b0007	BSU02420
b0007	BSU27810
b0007	BSU18120
b0369	BSU28130
b2789	BSU02480
b2306	BSU27430
b2306	BSU23960
b2306	BSU29340
b2306	BSU03590
b3639	BSU15700
b2429	BSU01680
b0243	BSU13130
b0242	BSU13120
b0242	BSU18470
b0484	BSU33500
b2787	BSU02490
b3634	BSU15020
b2425	BSU33370
b2788	BSU02490
b3997	BSU10120
b3750	BSU35950
b2661	BSU03910
b3870	BSU17460
b0125	BSU00680
b1693	BSU23080
b4288	BSU07500
b2662	BSU03900
b3994	BSU08790
b3752	BSU35920
b0366	BSU08830
b1453	BSU30530
b2421	BSU00730
b2421	BSU27260
b2663	BSU06310
b3751	BSU35960
b4042	BSU25310
b4287	BSU33290
b4287	BSU03820
b4287	BSU07490
b2780	BSU37150
b0910	BSU22890
b2779	BSU33900
b2416	BSU13910
b3749	BSU35940
b1207	BSU00510
b3748	BSU35930
b0474	BSU01370
b0595	BSU31970
b0594	BSU31980
b3502	BSU05340
b2414	BSU00730
b2414	BSU27260
b3189	BSU36760
b3189	BSU37100
b0112	BSU30530
b0596	BSU32000
b2096	BSU37120
b2096	BSU39670
b4033	BSU34150
b4033	BSU34600
b0907	BSU10020
b0469	BSU22070
b0469	BSU27610
b2888	BSU22060
b2888	BSU32440
b2888	BSU32430
b3616	BSU16990
b1317	BSU34550
b0109	BSU27860
b3737	BSU36860
b3617	BSU17000
b3617	BSU30220
b2407	BSU23490
b3732	BSU36810
b2763	BSU33430
b3974	BSU23760
b3731	BSU36800
b2764	BSU33440
b3734	BSU36830
b1676	BSU29180
b3612	BSU33910
b3733	BSU36820
b3177	BSU00770
b0588	BSU33290
b0588	BSU03820
b0588	BSU07490
b0103	BSU29060
b3057	BSU31150
b4266	BSU22140
b3730	BSU00500
b4268	BSU03150
b4384	BSU19630
b4383	BSU23500
b4265	BSU40070
b4265	BSU19520
b3176	BSU01770
b4382	BSU39400
b3607	BSU00930
b3729	BSU01780
b3729	BSU30540
b3729	BSU10790
b2518	BSU22730
b3608	BSU22830
b0459	BSU40850
b3725	BSU24950
b3725	BSU24960
b3603	BSU34190
b3603	BSU03060
b2515	BSU25070
b1300	BSU19310
b0331	BSU24120
b4139	BSU23570
b3721	BSU39260
b0451	BSU36510
b3600	BSU03990
b1302	BSU03900
b0335	BSU38500
b0576	BSU30530
b0334	BSU24130
b4013	BSU21910
b0333	BSU24140
b0333	BSU29140
b0333	BSU09440
b2750	BSU15600
b3960	BSU29440
b1261	BSU22640
b0173	BSU16550
b0171	BSU16510
b4090	BSU36920
b0729	BSU16100
b1818	BSU27050
b1819	BSU27040
b1814	BSU15860
b0963	BSU22480
b1817	BSU27060
b0728	BSU16090
b0727	BSU19360
b2901	BSU40110
b2103	BSU38020
b2103	BSU11710
b0166	BSU14180
b2224	BSU24170
b1136	BSU29130
b2104	BSU38300
b3437	BSU03150
b3430	BSU30970
b2463	BSU29220
b2221	BSU38990
b0048	BSU21810
b2222	BSU38980
b3432	BSU30980
b1015	BSU03220
b1015	BSU06660
b2465	BSU17890
b4087	BSU35940
b4086	BSU35950
b3671	BSU28310
b1805	BSU28560
b1805	BSU10270
b1800	BSU04000
b3428	BSU30940
b3665	BSU32410
b3665	BSU14520
b3665	BSU15500
b1245	BSU12940
b1246	BSU12950
b3786	BSU35660
b0033	BSU15520
b0033	BSU11240
b0154	BSU08710
b0154	BSU28120
b0032	BSU11230
b0032	BSU15510
b2458	BSU37660
b0159	BSU27270
b1484	BSU12950
b3541	BSU12950
b3664	BSU06370
b3664	BSU29990
b1244	BSU12930
b4198	BSU28780
b4077	BSU02340
b4077	BSU10220
b0151	BSU33290
b0151	BSU03820
b0151	BSU07490
b1917	BSU27430
b1917	BSU23960
b1917	BSU29340
b1917	BSU03590
b1912	BSU16920
b1236	BSU35670
b0142	BSU00790
b3415	BSU40070
b3415	BSU19520
b3650	BSU27600
b3772	BSU21770
b3771	BSU21870
b1232	BSU13110
b0025	BSU29300
b0025	BSU16670
b4067	BSU38240
b3092	BSU12300
b0260	BSU40330
b0260	BSU02400
b0260	BSU39390
b0260	BSU37760
b0381	BSU04560
b3091	BSU12390
b2316	BSU29210
b3648	BSU15680
b1900	BSU35940
b3528	BSU04470
b0935	BSU08860
b0934	BSU08850
b2312	BSU06490
b0133	BSU22420
b2675	BSU17380
b2797	BSU15860
b1224	BSU37280
b2676	BSU17390
b0131	BSU22410
b1225	BSU37270
b1467	BSU37270
b2677	BSU02980
b3403	BSU30560
b1468	BSU37280
b2678	BSU02990
b2551	BSU36900
b0134	BSU22430
b1101	BSU07700
b1101	BSU13890
b1101	BSU02350
b1101	BSU39270
b3360	BSU00750
b2392	BSU04360
b2393	BSU39410
b3919	BSU33920
b3916	BSU29190
b0888	BSU34790
b2827	BSU21820
b1738	BSU38590
b0402	BSU30530
b3917	BSU33370
b0523	BSU06420
b4208	BSU30530
b0529	BSU24310
b1734	BSU38560
b1736	BSU05820
b1736	BSU38570
b2026	BSU34860
b3115	BSU29470
b3599	BSU03981
b2149	BSU35940
b3359	BSU11220
b1852	BSU23850
b0087	BSU15190
b1732	BSU08820
b1732	BSU39050
b1732	BSU38630
b2942	BSU30550
b1611	BSU33040
b2029	BSU23860
b2022	BSU34900
b0764	BSU33390
b0401	BSU29600
b0401	BSU26690
b2143	BSU25300
b2023	BSU34890
b2025	BSU34870
b2020	BSU34910
b2262	BSU30800
b3909	BSU22090
b3908	BSU25020
b0757	BSU38200
b0514	BSU40040
b3904	BSU31200
b1849	BSU02230
b0759	BSU38860
b3903	BSU31180
b2935	BSU17890
b3588	BSU19310
b0199	BSU32750
b2499	BSU06500
b0077	BSU28310
b0198	BSU32740
b2379	BSU13580
b0197	BSU32730
b0752	BSU26650
b2497	BSU15480
b2498	BSU36890
b1288	BSU11720
b1281	BSU15550
b2130	BSU33800
b2130	BSU33720
b2130	BSU33700
b2130	BSU33820
b3583	BSU28780
b0074	BSU28280
b0073	BSU28270
b0072	BSU28260
b0071	BSU28250
b2926	BSU33930
b2129	BSU33830
b2129	BSU33730
b2128	BSU33800
b2128	BSU33720
b2128	BSU33700
b2128	BSU33820
b1710	BSU21900
b0185	BSU29200
b3452	BSU30290
b1395	BSU24160
b1276	BSU18000
b3212	BSU18450
b2366	BSU23770
b0180	BSU36370
b3691	BSU02480
b1393	BSU18220
b2240	BSU02140
b0062	BSU28800
b0061	BSU28780
b0734	BSU38750
b0733	BSU38760
b0979	BSU38750
b0978	BSU38760
b3567	BSU35940
b2478	BSU16770
b3447	BSU18410
b0174	BSU16530
b1263	BSU22670
b1385	BSU19310
b3565	BSU17600
b2476	BSU06450
b2507	BSU06360
b2508	BSU00090
b0325	BSU27010
b1656	BSU25020
b3714	BSU06370
b3714	BSU29990
b2746	BSU00910
b1778	BSU21680
b1779	BSU33940
b1779	BSU29020
b2868	BSU32470
b3958	BSU11190
b4006	BSU06520
b3833	BSU22750
b2066	BSU27330
b4005	BSU06530
b1095	BSU11340
b4240	BSU07800
b4485	BSU35940
b2180	BSU12950
b1091	BSU11330
b1092	BSU15900
b1093	BSU15910
b0679	BSU07700
b0679	BSU13890
b0679	BSU02350
b0679	BSU39270
b0678	BSU02360
b0678	BSU35020
b3829	BSU13180
b0314	BSU30070
b1524	BSU02430
b1524	BSU14830
b1768	BSU31760
b0430	BSU38150
b1521	BSU12380
b4119	BSU30300
b2975	BSU34190
b2975	BSU03060
b4239	BSU07810
b4239	BSU34560
b3386	BSU15790
b2297	BSU37660
b0312	BSU19310
b0432	BSU38170
b0431	BSU38160
b0431	BSU14900
b3389	BSU22700
b4471	BSU15860
b2296	BSU29470
b3816	BSU08000
b3939	BSU11880
b3939	BSU11870
b3939	BSU27250
b0428	BSU12080
b3137	BSU37120
b3137	BSU39670
b2842	BSU22140
b2843	BSU22130
b3012	BSU33400
b3012	BSU29050
b3255	BSU24350
b3256	BSU24340
b0421	BSU24280
b2167	BSU12010
b2167	BSU14400
b0420	BSU24270
b2164	BSU32180
b3809	BSU32170
b1748	BSU11220
b0415	BSU23250
b3805	BSU28150
b3926	BSU09290
b0414	BSU23280
b4219	BSU21690
b3368	BSU15610
b3368	BSU03280
b1740	BSU03130
b3128	BSU02510
b0652	BSU27430
b0652	BSU23960
