BSU09290	RSBA7_02819
BSU35580	RSBA7_00892
BSU11250	RSBA7_02316
BSU14400	RSBA7_02558
BSU22700	RSBA7_02730
BSU38050	RSBA7_03669
BSU38170	RSBA7_02616
BSU15730	RSBA7_00077
BSU15610	RSBA7_02198
BSU32750	RSBA7_00899
BSU00910	RSBA7_01590
BSU33040	RSBA7_03564
BSU37760	RSBA7_01531
BSU37760	RSBA7_01532
BSU18440	RSBA7_02725
BSU33720	RSBA7_02279
BSU03060	RSBA7_00956
BSU28120	RSBA7_00714
BSU29210	RSBA7_01821
BSU22140	RSBA7_03851
BSU15860	RSBA7_02976
BSU08070	RSBA7_01485
BSU33390	RSBA7_04503
BSU38040	RSBA7_03670
BSU38160	RSBA7_02615
BSU22830	RSBA7_00357
BSU18570	RSBA7_02554
BSU39370	RSBA7_02355
BSU17000	RSBA7_03889
BSU18450	RSBA7_02726
BSU36660	RSBA7_01879
BSU02400	RSBA7_01531
BSU02400	RSBA7_01532
BSU32740	RSBA7_00900
BSU27600	RSBA7_01974
BSU34920	RSBA7_02713
BSU28250	RSBA7_01831
BSU29220	RSBA7_02464
BSU29220	RSBA7_01963
BSU29340	RSBA7_03836
BSU29340	RSBA7_02076
BSU29340	RSBA7_00489
BSU29340	RSBA7_03106
BSU28130	RSBA7_02750
BSU38990	RSBA7_01673
BSU38990	RSBA7_02070
BSU39720	RSBA7_01215
BSU15510	RSBA7_01749
BSU15190	RSBA7_02542
BSU19310	RSBA7_02402
BSU19310	RSBA7_02897
BSU38630	RSBA7_04902
BSU30230	RSBA7_01462
BSU18220	RSBA7_02572
BSU01780	RSBA7_00171
BSU25310	RSBA7_01929
BSU33500	RSBA7_03045
BSU02510	RSBA7_03953
BSU03600	RSBA7_04606
BSU27610	RSBA7_00417
BSU35920	RSBA7_00986
BSU03280	RSBA7_02198
BSU22960	RSBA7_00485
BSU11710	RSBA7_00106
BSU28260	RSBA7_01832
BSU06430	RSBA7_00619
BSU24340	RSBA7_02483
BSU23250	RSBA7_00766
BSU15520	RSBA7_01747
BSU12010	RSBA7_02558
BSU22730	RSBA7_01176
BSU39390	RSBA7_01531
BSU39390	RSBA7_01532
BSU18470	RSBA7_02513
BSU38500	RSBA7_01750
BSU30220	RSBA7_03889
BSU38860	RSBA7_04470
BSU38980	RSBA7_01672
BSU38980	RSBA7_02069
BSU18230	RSBA7_00219
BSU27860	RSBA7_02227
BSU23260	RSBA7_00767
BSU01770	RSBA7_01740
BSU04000	RSBA7_04925
BSU04000	RSBA7_03728
BSU06420	RSBA7_00618
BSU28270	RSBA7_01830
BSU11720	RSBA7_01130
BSU13900	RSBA7_00347
BSU28150	RSBA7_02137
BSU29360	RSBA7_04606
BSU03150	RSBA7_00445
BSU04360	RSBA7_04324
BSU24350	RSBA7_02482
BSU40330	RSBA7_01531
BSU40330	RSBA7_01532
BSU21810	RSBA7_00935
BSU16100	RSBA7_00578
BSU11330	RSBA7_01022
BSU37280	RSBA7_03407
BSU15490	RSBA7_00726
BSU36510	RSBA7_00343
BSU10120	RSBA7_02995
BSU31980	RSBA7_03736
BSU35660	RSBA7_04335
BSU35660	RSBA7_03758
BSU31060	RSBA7_01430
BSU33800	RSBA7_02279
BSU30410	RSBA7_03467
BSU30530	RSBA7_03784
BSU33920	RSBA7_01909
BSU32830	RSBA7_00480
BSU03300	RSBA7_04565
BSU28560	RSBA7_02552
BSU28560	RSBA7_00544
BSU06490	RSBA7_01817
BSU06370	RSBA7_04995
BSU08790	RSBA7_00113
BSU18410	RSBA7_03300
BSU37150	RSBA7_01083
BSU11340	RSBA7_01026
BSU11220	RSBA7_02214
BSU37270	RSBA7_03408
BSU15700	RSBA7_02240
BSU21820	RSBA7_00936
BSU14610	RSBA7_01240
BSU15020	RSBA7_00389
BSU36860	RSBA7_03018
BSU29300	RSBA7_02236
BSU24090	RSBA7_03794
BSU06360	RSBA7_01391
BSU11230	RSBA7_01749
BSU32170	RSBA7_00135
BSU38150	RSBA7_02614
BSU16920	RSBA7_01044
BSU00930	RSBA7_01119
BSU30550	RSBA7_00132
BSU14180	RSBA7_01352
BSU31760	RSBA7_01529
BSU39360	RSBA7_02358
BSU10020	RSBA7_00882
BSU36650	RSBA7_01877
BSU36890	RSBA7_02007
BSU02430	RSBA7_04502
BSU33940	RSBA7_02457
BSU32730	RSBA7_00901
BSU32730	RSBA7_03080
BSU33700	RSBA7_02279
BSU34910	RSBA7_02712
BSU33820	RSBA7_02279
BSU22480	RSBA7_02004
BSU27010	RSBA7_04366
BSU27010	RSBA7_01950
BSU11240	RSBA7_01747
BSU38020	RSBA7_00106
BSU15600	RSBA7_04777
BSU37170	RSBA7_00232
BSU37170	RSBA7_04136
BSU15720	RSBA7_00075
BSU19520	RSBA7_04536
BSU36760	RSBA7_02714
BSU39350	RSBA7_02357
BSU35550	RSBA7_00440
BSU33370	RSBA7_01304
BSU36640	RSBA7_01876
BSU17460	RSBA7_03891
BSU17460	RSBA7_01227
BSU35670	RSBA7_02058
BSU35670	RSBA7_03135
BSU10270	RSBA7_02552
BSU10270	RSBA7_00544
BSU34900	RSBA7_02710
BSU30420	RSBA7_01565
BSU30540	RSBA7_00171
BSU33930	RSBA7_00614
BSU27260	RSBA7_00896
BSU28470	RSBA7_01128
BSU24310	RSBA7_01645
BSU29440	RSBA7_02144
BSU40340	RSBA7_00154
BSU29200	RSBA7_01126
BSU16540	RSBA7_01369
BSU29060	RSBA7_02523
BSU36830	RSBA7_03015
BSU03900	RSBA7_00034
BSU00510	RSBA7_00394
BSU30290	RSBA7_01234
BSU35740	RSBA7_00267
BSU32470	RSBA7_01443
BSU27430	RSBA7_03836
BSU27430	RSBA7_02076
BSU27430	RSBA7_00489
BSU27430	RSBA7_03106
BSU24040	RSBA7_01485
BSU24160	RSBA7_00194
BSU24280	RSBA7_02043
BSU00750	RSBA7_02582
BSU22420	RSBA7_02169
BSU24960	RSBA7_01736
BSU21690	RSBA7_00815
BSU09440	RSBA7_03217
BSU09440	RSBA7_01843
BSU02490	RSBA7_01055
BSU21900	RSBA7_02384
BSU00500	RSBA7_00170
BSU36820	RSBA7_03014
BSU16670	RSBA7_02236
BSU16550	RSBA7_01370
BSU34880	RSBA7_02707
BSU32460	RSBA7_01957
BSU24170	RSBA7_01604
BSU15900	RSBA7_01023
BSU22430	RSBA7_02342
BSU02480	RSBA7_03955
BSU00180	RSBA7_01426
BSU22670	RSBA7_02584
BSU22670	RSBA7_04113
BSU22670	RSBA7_04112
BSU25020	RSBA7_02291
BSU00730	RSBA7_00896
BSU34790	RSBA7_02121
BSU13170	RSBA7_01426
BSU17890	RSBA7_02458
BSU33900	RSBA7_01086
BSU03320	RSBA7_04565
BSU15910	RSBA7_01024
BSU28540	RSBA7_01530
BSU29990	RSBA7_04995
BSU40420	RSBA7_01191
BSU14830	RSBA7_04502
BSU13180	RSBA7_04118
BSU31150	RSBA7_00753
BSU28310	RSBA7_01921
BSU30980	RSBA7_03257
BSU01370	RSBA7_02298
BSU36470	RSBA7_01199
BSU40850	RSBA7_03763
BSU13110	RSBA7_01768
BSU28290	RSBA7_01919
BSU22620	RSBA7_00884
BSU35940	RSBA7_04940
BSU35940	RSBA7_01211
BSU18000	RSBA7_01846
BSU23270	RSBA7_00768
BSU00790	RSBA7_02340
BSU06530	RSBA7_02010
BSU08830	RSBA7_00379
BSU08710	RSBA7_00714
BSU28280	RSBA7_01916
BSU29130	RSBA7_02250
BSU21770	RSBA7_00454
BSU24120	RSBA7_01842
BSU24120	RSBA7_03218
BSU04470	RSBA7_00292
BSU13120	RSBA7_02513
BSU16510	RSBA7_01366
BSU37790	RSBA7_00485
BSU39730	RSBA7_01214
BSU12950	RSBA7_01779
BSU12950	RSBA7_02562
BSU39050	RSBA7_04902
BSU18250	RSBA7_00446
BSU23280	RSBA7_00769
BSU22070	RSBA7_00417
BSU36900	RSBA7_00782
BSU06520	RSBA7_00511
BSU33510	RSBA7_03046
BSU08820	RSBA7_04902
BSU22750	RSBA7_00463
BSU23960	RSBA7_03836
BSU23960	RSBA7_02076
BSU23960	RSBA7_00489
BSU23960	RSBA7_03106
BSU29020	RSBA7_02457
BSU29140	RSBA7_03217
BSU29140	RSBA7_01843
BSU24130	RSBA7_01845
BSU38550	RSBA7_03436
BSU13130	RSBA7_02449
BSU36370	RSBA7_01375
BSU34190	RSBA7_00956
BSU12840	RSBA7_01281
BSU32450	RSBA7_01961
BSU34870	RSBA7_02706
BSU18260	RSBA7_00232
BSU18260	RSBA7_04136
BSU15790	RSBA7_02579
BSU37100	RSBA7_02714
BSU39760	RSBA7_03683
BSU24140	RSBA7_03217
BSU24140	RSBA7_01843
BSU16090	RSBA7_00577
BSU00770	RSBA7_01741
BSU07840	RSBA7_03060
BSU36810	RSBA7_03013
BSU22640	RSBA7_01824
BSU23850	RSBA7_04881
BSU00090	RSBA7_01389
BSU23970	RSBA7_04606
BSU14900	RSBA7_02615
BSU40070	RSBA7_04536
BSU02390	RSBA7_03436
BSU39750	RSBA7_01216
BSU18830	RSBA7_00348
BSU16530	RSBA7_01368
BSU34860	RSBA7_02705
BSU35950	RSBA7_01212
BSU03910	RSBA7_03729
BSU03910	RSBA7_00033
BSU03910	RSBA7_00761
BSU03910	RSBA7_04924
BSU19360	RSBA7_01239
BSU10790	RSBA7_00171
BSU14590	RSBA7_01485
BSU15680	RSBA7_01976
BSU16770	RSBA7_01102
BSU24150	RSBA7_00232
