KPN_04005	RSUW551_00925
KPN_03036	RSUW551_02182
KPN_04249	RSUW551_00851
KPN_04008	RSUW551_01524
KPN_01090	RSUW551_01826
KPN_01091	RSUW551_01825
KPN_02180	RSUW551_01147
KPN_01092	RSUW551_01824
KPN_01093	RSUW551_01823
KPN_01096	RSUW551_01325
KPN_02055	RSUW551_01227
KPN_02176	RSUW551_01151
KPN_04478	RSUW551_01036
KPN_01089	RSUW551_01827
KPN_03268	RSUW551_01227
KPN_03389	RSUW551_02002
KPN_03388	RSUW551_02001
KPN_04239	RSUW551_00148
KPN_03029	RSUW551_02285
KPN_03380	RSUW551_00372
KPN_03140	RSUW551_03091
KPN_04350	RSUW551_00680
KPN_02295	RSUW551_03860
KPN_02054	RSUW551_02095
KPN_02054	RSUW551_01141
KPN_02175	RSUW551_01152
KPN_01197	RSUW551_02579
KPN_03375	RSUW551_00185
KPN_01198	RSUW551_01289
KPN_02169	RSUW551_00816
KPN_03016	RSUW551_03584
KPN_02160	RSUW551_01436
KPN_03130	RSUW551_01794
KPN_02162	RSUW551_02493
KPN_02162	RSUW551_02339
KPN_03132	RSUW551_04217
KPN_01074	RSUW551_00520
KPN_03131	RSUW551_01794
KPN_04329	RSUW551_00490
KPN_03123	RSUW551_01749
KPN_00096	RSUW551_02659
KPN_03244	RSUW551_01492
KPN_00095	RSUW551_02660
KPN_00094	RSUW551_02661
KPN_03124	RSUW551_01752
KPN_04576	RSUW551_01643
KPN_04337	RSUW551_02371
KPN_00091	RSUW551_02665
KPN_03126	RSUW551_01145
KPN_04339	RSUW551_02094
KPN_00090	RSUW551_02666
KPN_04217	RSUW551_00702
KPN_02392	RSUW551_04133
KPN_02392	RSUW551_04526
KPN_02393	RSUW551_04525
KPN_04331	RSUW551_00493
KPN_00918	RSUW551_04572
KPN_04289	RSUW551_02397
KPN_04288	RSUW551_02399
KPN_03194	RSUW551_04034
KPN_04282	RSUW551_01682
KPN_03193	RSUW551_04033
KPN_04287	RSUW551_04380
KPN_04286	RSUW551_03961
KPN_04286	RSUW551_04381
KPN_04157	RSUW551_01864
KPN_04399	RSUW551_00314
KPN_03183	RSUW551_00824
KPN_04271	RSUW551_00481
KPN_04395	RSUW551_01498
KPN_04152	RSUW551_01215
KPN_04152	RSUW551_04457
KPN_03184	RSUW551_00825
KPN_04155	RSUW551_01620
KPN_04397	RSUW551_00297
KPN_04154	RSUW551_01621
KPN_04154	RSUW551_03339
KPN_04396	RSUW551_01502
KPN_04267	RSUW551_00913
KPN_04388	RSUW551_00538
KPN_04387	RSUW551_02030
KPN_04269	RSUW551_00609
KPN_04142	RSUW551_03121
KPN_04141	RSUW551_03120
KPN_04143	RSUW551_03122
KPN_04135	RSUW551_00226
KPN_04256	RSUW551_01032
KPN_03045	RSUW551_02414
KPN_04134	RSUW551_00227
KPN_04376	RSUW551_00161
KPN_04137	RSUW551_03116
KPN_04379	RSUW551_03101
KPN_04136	RSUW551_04198
KPN_04136	RSUW551_03115
KPN_04139	RSUW551_03118
KPN_04138	RSUW551_03117
KPN_02193	RSUW551_02685
KPN_02193	RSUW551_01054
KPN_02194	RSUW551_01055
KPN_02194	RSUW551_02686
KPN_04131	RSUW551_01106
KPN_04130	RSUW551_01107
KPN_04372	RSUW551_00158
KPN_04133	RSUW551_01104
KPN_04375	RSUW551_00157
KPN_04374	RSUW551_00378
KPN_04011	RSUW551_02883
KPN_04132	RSUW551_01105
KPN_00039	RSUW551_02575
KPN_03428	RSUW551_04027
KPN_03673	RSUW551_03572
KPN_03673	RSUW551_00074
KPN_03673	RSUW551_04207
KPN_00041	RSUW551_01096
KPN_01132	RSUW551_01279
KPN_01132	RSUW551_04193
KPN_03672	RSUW551_00073
