BSU09290	RSRUN2340_03150
BSU35580	RSRUN2340_02304
BSU11250	RSRUN2340_02685
BSU14400	RSRUN2340_02960
BSU22700	RSRUN2340_03066
BSU38050	RSRUN2340_04851
BSU39700	RSRUN2340_01910
BSU39700	RSRUN2340_02659
BSU38170	RSRUN2340_03014
BSU38170	RSRUN2340_01652
BSU15730	RSRUN2340_00099
BSU15610	RSRUN2340_02537
BSU32750	RSRUN2340_02297
BSU00910	RSRUN2340_01436
BSU33040	RSRUN2340_04845
BSU37760	RSRUN2340_01552
BSU37760	RSRUN2340_01553
BSU18440	RSRUN2340_03061
BSU33720	RSRUN2340_02635
BSU03060	RSRUN2340_02247
BSU28120	RSRUN2340_00691
BSU29210	RSRUN2340_01230
BSU22140	RSRUN2340_04466
BSU15860	RSRUN2340_03403
BSU15860	RSRUN2340_02118
BSU08070	RSRUN2340_01601
BSU33390	RSRUN2340_04719
BSU38040	RSRUN2340_04850
BSU38160	RSRUN2340_01653
BSU38160	RSRUN2340_03013
BSU22830	RSRUN2340_00390
BSU18570	RSRUN2340_02956
BSU39370	RSRUN2340_02724
BSU17000	RSRUN2340_04482
BSU18450	RSRUN2340_03062
BSU36660	RSRUN2340_01177
BSU02400	RSRUN2340_01552
BSU02400	RSRUN2340_01553
BSU32740	RSRUN2340_02296
BSU27600	RSRUN2340_01079
BSU34920	RSRUN2340_03049
BSU28250	RSRUN2340_01220
BSU08860	RSRUN2340_01810
BSU29220	RSRUN2340_01091
BSU29220	RSRUN2340_02863
BSU29340	RSRUN2340_00524
BSU29340	RSRUN2340_01106
BSU29340	RSRUN2340_03525
BSU29340	RSRUN2340_00937
BSU29340	RSRUN2340_04451
BSU28130	RSRUN2340_03086
BSU38990	RSRUN2340_01358
BSU38990	RSRUN2340_00943
BSU39720	RSRUN2340_01918
BSU15510	RSRUN2340_01302
BSU15190	RSRUN2340_02944
BSU19310	RSRUN2340_03222
BSU38630	RSRUN2340_05106
BSU30230	RSRUN2340_01665
BSU18220	RSRUN2340_02970
BSU01780	RSRUN2340_00210
BSU25310	RSRUN2340_01127
BSU33500	RSRUN2340_02404
BSU33500	RSRUN2340_03456
BSU02510	RSRUN2340_04276
BSU03600	RSRUN2340_03985
BSU27610	RSRUN2340_00452
BSU35920	RSRUN2340_02210
BSU03280	RSRUN2340_02537
BSU22960	RSRUN2340_00520
BSU11710	RSRUN2340_00125
BSU08850	RSRUN2340_01809
BSU28260	RSRUN2340_01219
BSU06430	RSRUN2340_00628
BSU24340	RSRUN2340_02882
BSU23250	RSRUN2340_00750
BSU15520	RSRUN2340_01304
BSU12010	RSRUN2340_02960
BSU22730	RSRUN2340_01948
BSU39390	RSRUN2340_01552
BSU39390	RSRUN2340_01553
BSU18470	RSRUN2340_02913
BSU38500	RSRUN2340_01301
BSU30220	RSRUN2340_04482
BSU38860	RSRUN2340_04634
BSU38980	RSRUN2340_01359
BSU38980	RSRUN2340_00944
BSU18230	RSRUN2340_00292
BSU27860	RSRUN2340_02566
BSU23260	RSRUN2340_00751
BSU01770	RSRUN2340_01311
BSU04000	RSRUN2340_05127
BSU06420	RSRUN2340_00627
BSU28270	RSRUN2340_01221
BSU11720	RSRUN2340_01992
BSU13900	RSRUN2340_00380
BSU28150	RSRUN2340_02473
BSU29360	RSRUN2340_03985
BSU03150	RSRUN2340_00483
BSU04360	RSRUN2340_04017
BSU24350	RSRUN2340_02881
BSU40330	RSRUN2340_01552
BSU40330	RSRUN2340_01553
BSU21810	RSRUN2340_02268
BSU16100	RSRUN2340_00605
BSU11330	RSRUN2340_02173
BSU37280	RSRUN2340_04495
BSU15490	RSRUN2340_00702
BSU36510	RSRUN2340_00376
BSU10120	RSRUN2340_03411
BSU35660	RSRUN2340_04537
BSU35660	RSRUN2340_04011
BSU31060	RSRUN2340_01687
BSU33800	RSRUN2340_02635
BSU30410	RSRUN2340_04997
BSU30530	RSRUN2340_04951
BSU33920	RSRUN2340_01147
BSU32830	RSRUN2340_00515
BSU03300	RSRUN2340_04781
BSU28560	RSRUN2340_02954
BSU28560	RSRUN2340_00580
BSU06490	RSRUN2340_01234
BSU06370	RSRUN2340_05189
BSU08790	RSRUN2340_00134
BSU18410	RSRUN2340_03804
BSU37150	RSRUN2340_02040
BSU11340	RSRUN2340_02169
BSU11220	RSRUN2340_02553
BSU37270	RSRUN2340_04496
BSU15700	RSRUN2340_02579
BSU21820	RSRUN2340_02267
BSU14610	RSRUN2340_01885
BSU15020	RSRUN2340_00424
BSU36860	RSRUN2340_03431
BSU29300	RSRUN2340_02575
BSU06360	RSRUN2340_01714
BSU11230	RSRUN2340_01302
BSU32170	RSRUN2340_00159
BSU38150	RSRUN2340_01654
BSU38150	RSRUN2340_03012
BSU16920	RSRUN2340_02149
BSU00930	RSRUN2340_02003
BSU30550	RSRUN2340_00155
BSU14180	RSRUN2340_01755
BSU31760	RSRUN2340_01555
BSU39360	RSRUN2340_02727
BSU10020	RSRUN2340_02314
BSU36650	RSRUN2340_01179
BSU36890	RSRUN2340_01041
BSU02430	RSRUN2340_04718
BSU33940	RSRUN2340_02850
BSU32730	RSRUN2340_03496
BSU32730	RSRUN2340_02295
BSU33700	RSRUN2340_02635
BSU34910	RSRUN2340_03048
BSU33820	RSRUN2340_02635
BSU22480	RSRUN2340_01044
BSU27010	RSRUN2340_03714
BSU27010	RSRUN2340_04675
BSU11240	RSRUN2340_01304
BSU38020	RSRUN2340_00125
BSU15600	RSRUN2340_03264
BSU15600	RSRUN2340_03693
BSU37170	RSRUN2340_04157
BSU37170	RSRUN2340_00306
BSU15720	RSRUN2340_00097
BSU19520	RSRUN2340_04754
BSU36760	RSRUN2340_03050
BSU39350	RSRUN2340_02726
BSU35550	RSRUN2340_00478
BSU33370	RSRUN2340_01813
BSU36640	RSRUN2340_01180
BSU17460	RSRUN2340_01898
BSU17460	RSRUN2340_04333
BSU35670	RSRUN2340_03553
BSU35670	RSRUN2340_00960
BSU10270	RSRUN2340_02954
BSU10270	RSRUN2340_00580
BSU34900	RSRUN2340_03046
BSU30420	RSRUN2340_01514
BSU30540	RSRUN2340_00210
BSU33930	RSRUN2340_00623
BSU27260	RSRUN2340_02300
BSU28470	RSRUN2340_01994
BSU24310	RSRUN2340_01386
BSU29440	RSRUN2340_02478
BSU40340	RSRUN2340_00179
BSU29200	RSRUN2340_01996
BSU16540	RSRUN2340_01738
BSU29060	RSRUN2340_02923
BSU36830	RSRUN2340_03428
BSU03900	RSRUN2340_00053
BSU00510	RSRUN2340_00429
BSU30290	RSRUN2340_01891
BSU35740	RSRUN2340_00342
BSU32470	RSRUN2340_01674
BSU27430	RSRUN2340_00524
BSU27430	RSRUN2340_01106
BSU27430	RSRUN2340_03525
BSU27430	RSRUN2340_00937
BSU27430	RSRUN2340_04451
BSU24040	RSRUN2340_01601
BSU24160	RSRUN2340_00269
BSU24280	RSRUN2340_00975
BSU00750	RSRUN2340_02980
