YPO1601	BSU11340
YPO1962	BSU11220
YPO1049	BSU16530
YPO1168	BSU30070
YPO3347	BSU05340
YPO1048	BSU16550
YPO2499	BSU35950
YPO2256	BSU35940
YPO1166	BSU19310
YPO1046	BSU16510
YPO2013	BSU00510
YPO0078	BSU29190
YPO2496	BSU04000
YPO3222	BSU13120
YPO3222	BSU18470
YPO3221	BSU13130
YPO2253	BSU28800
YPO1041	BSU14180
YPO0070	BSU00930
YPO0068	BSU22830
YPO3697	BSU07800
YPO3696	BSU07810
YPO3696	BSU34560
YPO1391	BSU22890
YPO0060	BSU16990
YPO3569	BSU36760
YPO3569	BSU37100
YPO0059	BSU17000
YPO0059	BSU30220
YPO3326	BSU28780
YPO1146	BSU33390
YPO1389	BSU10020
YPO3202	BSU29600
YPO3202	BSU26690
YPO0053	BSU15020
YPO2907	BSU36900
YPO0844	BSU37120
YPO0844	BSU39670
YPO1139	BSU38860
YPO0169	BSU00750
YPO0048	BSU15700
YPO2227	BSU15550
YPO1137	BSU38200
YPO3557	BSU18450
YPO3312	BSU09290
YPO3795	BSU30290
YPO2221	BSU18000
YPO3430	BSU29060
YPO1374	BSU34790
YPO0040	BSU15680
YPO0958	BSU35940
YPO1129	BSU26650
YPO0158	BSU15610
YPO0158	BSU03280
YPO0038	BSU27600
YPO3788	BSU13180
YPO3424	BSU27860
YPO0155	BSU15790
YPO0152	BSU22700
YPO3781	BSU22750
YPO1916	BSU31980
YPO3659	BSU24350
YPO1117	BSU38760
YPO2206	BSU22670
YPO3658	BSU24340
YPO1118	BSU38750
YPO1599	BSU15910
YPO1115	BSU16090
YPO1116	BSU16100
YPO2204	BSU22640
YPO2567	BSU37660
YPO0024	BSU17460
YPO1597	BSU11330
YPO3897	BSU21870
YPO2566	BSU29470
YPO1598	BSU15900
YPO1114	BSU19360
YPO3530	BSU07840
YPO3771	BSU28130
YPO4068	BSU03981
YPO2440	BSU30760
YPO4067	BSU03990
YPO4061	BSU25020
YPO3408	BSU00680
YPO0138	BSU30560
YPO0931	BSU30550
YPO3525	BSU21690
YPO0378	BSU40420
YPO3403	BSU22410
YPO3402	BSU22420
YPO3401	BSU22430
YPO2675	BSU31322
YPO3400	BSU00790
YPO0254	BSU02340
YPO0254	BSU10220
YPO0251	BSU38240
YPO0926	BSU17890
YPO0921	BSU33930
YPO0008	BSU35920
YPO3758	BSU23760
YPO0007	BSU35930
YPO0486	BSU21810
YPO3992	BSU04470
YPO0482	BSU15520
YPO0482	BSU11240
YPO0241	BSU15730
YPO0481	BSU11230
YPO0481	BSU15510
YPO3076	BSU06420
YPO1207	BSU08820
YPO1207	BSU39050
YPO1207	BSU38630
YPO2539	BSU22140
YPO3626	BSU08850
YPO3625	BSU08860
YPO2777	BSU27430
YPO2777	BSU23960
YPO2777	BSU29340
YPO2777	BSU03590
YPO3864	BSU35660
YPO3501	BSU00770
YPO3500	BSU01770
YPO1441	BSU22480
YPO4038	BSU17600
YPO0474	BSU29300
YPO0474	BSU16670
YPO2772	BSU06490
YPO4036	BSU35940
YPO3980	BSU40040
YPO3183	BSU23280
YPO3062	BSU16770
YPO3182	BSU23250
YPO3739	BSU08790
YPO2649	BSU17380
YPO2648	BSU17390
YPO2768	BSU29210
YPO2647	BSU02980
YPO2646	BSU02990
YPO2525	BSU30800
YPO0348	BSU23570
YPO3734	BSU10120
YPO3854	BSU30530
YPO2883	BSU22730
YPO3059	BSU06450
YPO0581	BSU12390
YPO3177	BSU24270
YPO3176	BSU24280
YPO3729	BSU06530
YPO3728	BSU06520
YPO3849	BSU28150
YPO1548	BSU34910
YPO3727	BSU21910
YPO2879	BSU25070
YPO1546	BSU34900
YPO2514	BSU27430
YPO2514	BSU23960
YPO2514	BSU29340
YPO2514	BSU03590
YPO3845	BSU32170
YPO0579	BSU12300
YPO3964	BSU35940
YPO1545	BSU34890
YPO1542	BSU34860
YPO1300	BSU12010
YPO1300	BSU14400
YPO1543	BSU34870
YPO1540	BSU35670
YPO0330	BSU31200
YPO2871	BSU00090
YPO3168	BSU12080
YPO1541	BSU23860
YPO2870	BSU06360
YPO3166	BSU38150
YPO3165	BSU38160
YPO3165	BSU14900
YPO3164	BSU38170
YPO2074	BSU28560
YPO2074	BSU10270
YPO1539	BSU35670
YPO0329	BSU31180
YPO2628	BSU07700
YPO2628	BSU13890
YPO2628	BSU02350
YPO2628	BSU39270
YPO3837	BSU08000
YPO2627	BSU02360
YPO2627	BSU35020
YPO3715	BSU34150
YPO3715	BSU34600
YPO3954	BSU40070
YPO3954	BSU19520
YPO1775	BSU02230
YPO3953	BSU03150
YPO2983	BSU39410
YPO1771	BSU15860
YPO4126	BSU36860
YPO2982	BSU04360
YPO0440	BSU19630
YPO3034	BSU29220
YPO2066	BSU23850
YPO4123	BSU36830
YPO4122	BSU36820
YPO4000	BSU12950
YPO4121	BSU36810
YPO4120	BSU36800
YPO3392	BSU33290
YPO3392	BSU03820
YPO3392	BSU07490
YPO0439	BSU23500
YPO2859	BSU38020
YPO2859	BSU11710
YPO1524	BSU27330
YPO2612	BSU27430
YPO2612	BSU23960
YPO2612	BSU29340
YPO2612	BSU03590
YPO4119	BSU00500
YPO4118	BSU01780
YPO4118	BSU30540
YPO4118	BSU10790
YPO0313	BSU25310
YPO3942	BSU30980
YPO0676	BSU33400
YPO0676	BSU29050
YPO0552	BSU15190
YPO1641	BSU29130
YPO3940	BSU30970
YPO3389	BSU08710
YPO3389	BSU28120
YPO4114	BSU24950
YPO4114	BSU24960
YPO3142	BSU36510
YPO2174	BSU35580
YPO3384	BSU27270
YPO2293	BSU28310
YPO3938	BSU30940
YPO1757	BSU27050
YPO1758	BSU27060
YPO2844	BSU03900
YPO1756	BSU27040
YPO1512	BSU25300
YPO0783	BSU21820
YPO1199	BSU33800
YPO1199	BSU33720
YPO1199	BSU33700
YPO1199	BSU33820
YPO3015	BSU33370
YPO3377	BSU37150
YPO3376	BSU33900
YPO1198	BSU33830
YPO1198	BSU33730
YPO3011	BSU00730
YPO3011	BSU27260
YPO1072	BSU32740
YPO3372	BSU33440
YPO1073	BSU32750
YPO3371	BSU33430
YPO2160	BSU31760
YPO1508	BSU35940
YPO3927	BSU11190
YPO1867	BSU16920
YPO3924	BSU29440
YPO0532	BSU28270
YPO0533	BSU28280
YPO0530	BSU28250
YPO0531	BSU28260
YPO2158	BSU21680
YPO2157	BSU33940
YPO2157	BSU29020
YPO3123	BSU22070
YPO3123	BSU27610
YPO3364	BSU15600
YPO2393	BSU29180
YPO3360	BSU00910
YPO1060	BSU29200
YPO2828	BSU06500
YPO2827	BSU36890
YPO2824	BSU24310
YPO3118	BSU01370
YPO1055	BSU36370
YPO3353	BSU36920
YPO0085	BSU33920
YPO1171	BSU23490
YPO1290	BSU03910
YPO3907	BSU35940
YPO1608	BSU07700
YPO1608	BSU13890
YPO1608	BSU02350
YPO1608	BSU39270
