XOO1903	RSR24_01782
XOO1900	RSR24_02046
XOO1906	RSR24_04781
XOO4180	RSR24_03885
XOO4181	RSR24_03551
XOO4181	RSR24_03878
XOO4188	RSR24_04475
XOO4189	RSR24_04476
XOO4185	RSR24_00505
XOO1910	RSR24_01441
XOO4170	RSR24_02953
XOO4176	RSR24_03885
XOO4177	RSR24_03885
XOO4178	RSR24_00321
XOO4174	RSR24_03885
XOO4160	RSR24_02914
XOO4160	RSR24_03989
XOO4165	RSR24_00809
XOO4165	RSR24_01683
XOO4165	RSR24_03233
XOO4165	RSR24_02965
XOO4165	RSR24_00437
XOO4161	RSR24_03990
XOO4161	RSR24_02913
XOO4163	RSR24_02911
XOO4169	RSR24_04208
XOO4169	RSR24_04209
XOO4154	RSR24_02880
XOO4150	RSR24_00358
XOO4151	RSR24_02822
XOO4152	RSR24_00549
XOO4153	RSR24_00548
XOO0615	RSR24_00809
XOO0615	RSR24_01683
XOO0615	RSR24_03233
XOO0615	RSR24_02965
XOO0615	RSR24_00437
XOO1946	RSR24_04208
XOO1946	RSR24_04209
XOO0617	RSR24_00809
XOO0617	RSR24_01683
XOO0617	RSR24_03233
XOO0617	RSR24_02965
XOO0617	RSR24_00437
XOO1950	RSR24_04208
XOO1950	RSR24_04209
XOO2801	RSR24_03551
XOO2801	RSR24_03878
XOO1954	RSR24_02740
XOO0622	RSR24_00809
XOO0622	RSR24_01683
XOO0622	RSR24_03233
XOO0622	RSR24_02965
XOO0622	RSR24_00437
XOO0621	RSR24_03256
XOO1952	RSR24_01041
XOO1936	RSR24_04208
XOO1936	RSR24_04209
XOO1934	RSR24_03885
XOO0602	RSR24_00321
XOO1937	RSR24_04208
XOO1937	RSR24_04209
XOO1941	RSR24_04208
XOO1941	RSR24_04209
XOO1925	RSR24_02797
XOO1924	RSR24_02438
XOO1922	RSR24_01039
XOO1929	RSR24_01609
XOO1929	RSR24_01610
XOO1917	RSR24_04923
XOO1919	RSR24_02411
XOO4198	RSR24_00368
XOO4196	RSR24_00365
XOO0659	RSR24_03731
XOO1989	RSR24_01831
XOO1504	RSR24_01260
XOO2835	RSR24_04633
XOO2836	RSR24_04632
XOO1508	RSR24_04208
XOO1508	RSR24_04209
XOO2838	RSR24_01765
XOO2838	RSR24_03744
XOO1510	RSR24_02523
XOO1510	RSR24_03515
XOO0661	RSR24_04533
XOO1514	RSR24_01145
XOO0667	RSR24_00017
XOO1513	RSR24_00838
XOO1997	RSR24_02363
XOO2840	RSR24_00462
XOO2840	RSR24_01546
XOO2840	RSR24_02008
XOO2840	RSR24_01545
XOO1996	RSR24_00977
XOO0665	RSR24_02290
XOO2828	RSR24_02579
XOO1979	RSR24_04248
XOO0647	RSR24_03885
XOO0646	RSR24_00809
XOO0646	RSR24_01683
XOO0646	RSR24_03233
XOO0646	RSR24_02965
XOO0646	RSR24_00437
XOO1977	RSR24_01816
XOO2825	RSR24_03551
XOO2825	RSR24_03878
