STM0704	RSPSI07_00053
STM0705	RSPSI07_00054
STM0706	RSPSI07_00055
STM0828	RSPSI07_03844
STM0828	RSPSI07_01103
STM0828	RSPSI07_01257
STM0828	RSPSI07_00029
STM0828	RSPSI07_02785
STM0829	RSPSI07_00028
STM0829	RSPSI07_01258
STM3090	RSPSI07_03122
STM4063	RSPSI07_01938
STM3095	RSPSI07_02949
STM4184	RSPSI07_01916
STM4183	RSPSI07_01911
STM4066	RSPSI07_00609
STM0830	RSPSI07_01259
STM0832	RSPSI07_00670
STM1800	RSPSI07_01826
STM1802	RSPSI07_01904
STM1803	RSPSI07_02370
STM0958	RSPSI07_01073
STM1928	RSPSI07_03823
STM1928	RSPSI07_04300
STM1929	RSPSI07_04299
STM4160	RSPSI07_03146
STM4162	RSPSI07_02943
STM4164	RSPSI07_03143
STM3195	RSPSI07_04368
STM4163	RSPSI07_03147
STM3076	RSPSI07_00719
STM4167	RSPSI07_00130
STM1900	RSPSI07_02801
STM1901	RSPSI07_02803
STM4175	RSPSI07_01174
STM4055	RSPSI07_00884
STM4176	RSPSI07_02761
STM0863	RSPSI07_02968
STM0984	RSPSI07_02329
STM0984	RSPSI07_01165
STM0985	RSPSI07_00880
STM1712	RSPSI07_01362
STM0988	RSPSI07_00878
STM2927	RSPSI07_02080
STM1718	RSPSI07_03709
STM2929	RSPSI07_01656
STM0506	RSPSI07_01679
STM0980	RSPSI07_02388
STM2930	RSPSI07_01655
STM3901	RSPSI07_01287
STM2933	RSPSI07_04480
STM2933	RSPSI07_03358
STM1724	RSPSI07_00584
STM1724	RSPSI07_03784
STM0998	RSPSI07_02297
STM2934	RSPSI07_00994
STM0756	RSPSI07_00965
STM3903	RSPSI07_02690
STM0878	RSPSI07_01523
STM0878	RSPSI07_01694
STM1725	RSPSI07_00583
STM1725	RSPSI07_03783
STM2935	RSPSI07_00993
STM1726	RSPSI07_01383
STM3905	RSPSI07_02819
STM0519	RSPSI07_00152
STM0518	RSPSI07_03230
STM0518	RSPSI07_00153
STM0517	RSPSI07_00154
STM0637	RSPSI07_02968
STM0515	RSPSI07_00162
STM0963	RSPSI07_01078
STM0847	RSPSI07_01898
STM0848	RSPSI07_01897
STM0848	RSPSI07_03920
STM0848	RSPSI07_02114
STM0849	RSPSI07_01896
STM1818	RSPSI07_00614
STM1818	RSPSI07_02727
STM4081	RSPSI07_01301
STM0609	RSPSI07_03450
STM0608	RSPSI07_03449
STM4086	RSPSI07_00405
STM0851	RSPSI07_01894
STM0730	RSPSI07_01375
STM1700	RSPSI07_02118
STM0734	RSPSI07_01372
STM1945	RSPSI07_02236
STM0977	RSPSI07_02393
STM0735	RSPSI07_01373
STM1824	RSPSI07_00830
STM0736	RSPSI07_02004
STM0978	RSPSI07_02389
STM1826	RSPSI07_00138
STM0737	RSPSI07_02003
STM0738	RSPSI07_02704
STM0739	RSPSI07_02703
STM0850	RSPSI07_01895
STM0542	RSPSI07_01605
STM0663	RSPSI07_02786
STM1511	RSPSI07_02520
STM0662	RSPSI07_03844
STM0662	RSPSI07_01103
STM0662	RSPSI07_01257
STM0662	RSPSI07_00029
STM0662	RSPSI07_02785
STM0420	RSPSI07_00700
STM0787	RSPSI07_00821
STM0661	RSPSI07_00865
STM1756	RSPSI07_01450
STM0788	RSPSI07_00820
STM3938	RSPSI07_01056
STM1517	RSPSI07_00175
STM0309	RSPSI07_02723
STM0428	RSPSI07_01523
STM0428	RSPSI07_01694
STM2960	RSPSI07_02226
STM0782	RSPSI07_04329
STM0665	RSPSI07_02788
STM0665	RSPSI07_01102
STM2840	RSPSI07_02592
STM0423	RSPSI07_01141
STM2961	RSPSI07_02226
STM1752	RSPSI07_01126
STM1752	RSPSI07_03260
STM0422	RSPSI07_01142
STM2962	RSPSI07_03963
STM0664	RSPSI07_02787
STM1885	RSPSI07_04750
STM1764	RSPSI07_04624
STM1886	RSPSI07_04749
STM3700	RSPSI07_02937
STM0797	RSPSI07_01789
STM1765	RSPSI07_04625
STM3702	RSPSI07_02939
STM1888	RSPSI07_02685
STM1525	RSPSI07_04327
STM3947	RSPSI07_03119
STM1647	RSPSI07_00320
STM3828	RSPSI07_00718
STM3827	RSPSI07_03963
STM0791	RSPSI07_00819
STM2971	RSPSI07_00138
STM1761	RSPSI07_04621
STM0794	RSPSI07_03031
STM0795	RSPSI07_01790
STM1763	RSPSI07_04623
STM1884	RSPSI07_04367
STM0640	RSPSI07_03187
STM3915	RSPSI07_02096
STM2827	RSPSI07_02457
STM0648	RSPSI07_00725
STM0760	RSPSI07_00805
STM0760	RSPSI07_02509
STM0402	RSPSI07_01658
STM0761	RSPSI07_01411
STM0762	RSPSI07_01411
STM1742	RSPSI07_01437
STM1742	RSPSI07_00605
STM2952	RSPSI07_02160
STM2831	RSPSI07_02378
STM3921	RSPSI07_04169
STM1743	RSPSI07_00604
STM1743	RSPSI07_01438
STM1743	RSPSI07_03919
STM3920	RSPSI07_03657
STM3920	RSPSI07_04170
STM2953	RSPSI07_02163
STM0776	RSPSI07_04296
STM3922	RSPSI07_02578
STM2956	RSPSI07_01581
STM3925	RSPSI07_04159
STM1627	RSPSI07_02648
STM0419	RSPSI07_00701
STM0417	RSPSI07_02537
STM0659	RSPSI07_03669
STM0416	RSPSI07_02534
STM0537	RSPSI07_02124
STM0535	RSPSI07_02128
STM0534	RSPSI07_02682
STM0772	RSPSI07_02941
STM3855	RSPSI07_01501
STM3854	RSPSI07_01502
STM3733	RSPSI07_03117
STM2403	RSPSI07_04747
STM1435	RSPSI07_02745
STM0221	RSPSI07_01865
STM0463	RSPSI07_02951
STM3857	RSPSI07_01499
STM3978	RSPSI07_02541
STM3614	RSPSI07_02965
STM2526	RSPSI07_02073
STM0220	RSPSI07_01863
STM3856	RSPSI07_01500
STM1318	RSPSI07_00773
STM1318	RSPSI07_04771
STM2408	RSPSI07_03668
STM3970	RSPSI07_02811
STM0229	RSPSI07_01856
STM0228	RSPSI07_01857
STM0227	RSPSI07_01858
STM3730	RSPSI07_00953
STM3972	RSPSI07_02808
STM0106	RSPSI07_04330
STM1431	RSPSI07_00884
STM0226	RSPSI07_01859
STM2641	RSPSI07_00967
STM0588	RSPSI07_03625
STM3731	RSPSI07_00951
STM1433	RSPSI07_00561
STM1796	RSPSI07_03488
STM2522	RSPSI07_02068
STM3866	RSPSI07_00116
STM0113	RSPSI07_01294
STM1566	RSPSI07_01235
STM0112	RSPSI07_01378
STM3865	RSPSI07_00117
STM1446	RSPSI07_02773
STM1567	RSPSI07_00321
STM3626	RSPSI07_01437
STM3626	RSPSI07_00605
STM0353	RSPSI07_00086
STM0111	RSPSI07_01376
STM0232	RSPSI07_02122
STM2415	RSPSI07_02111
STM0110	RSPSI07_01377
STM3867	RSPSI07_00115
STM1448	RSPSI07_02484
STM3628	RSPSI07_01894
STM0472	RSPSI07_04165
STM3627	RSPSI07_00604
STM3627	RSPSI07_01438
STM3627	RSPSI07_03919
STM3869	RSPSI07_00113
STM1209	RSPSI07_02240
STM3862	RSPSI07_03083
STM3982	RSPSI07_01111
STM3861	RSPSI07_03082
STM3740	RSPSI07_01210
STM1200	RSPSI07_01737
STM3864	RSPSI07_03937
STM3864	RSPSI07_00118
STM2774	RSPSI07_02791
STM2654	RSPSI07_03261
STM2654	RSPSI07_03308
STM3742	RSPSI07_01212
STM0443	RSPSI07_00548
STM0322	RSPSI07_00728
STM3712	RSPSI07_02567
STM0442	RSPSI07_00549
STM0321	RSPSI07_00653
STM2502	RSPSI07_01507
STM3711	RSPSI07_02692
STM0441	RSPSI07_00550
STM1777	RSPSI07_00566
STM0440	RSPSI07_00551
STM1779	RSPSI07_02897
STM0689	RSPSI07_00399
STM0689	RSPSI07_00398
STM1772	RSPSI07_02162
STM3952	RSPSI07_00696
STM3710	RSPSI07_02381
STM0202	RSPSI07_02593
STM2500	RSPSI07_00960
STM0444	RSPSI07_03099
STM0686	RSPSI07_02462
STM3965	RSPSI07_03779
STM1303	RSPSI07_00979
STM3725	RSPSI07_02904
STM3724	RSPSI07_02566
STM3603	RSPSI07_03488
STM1427	RSPSI07_04553
STM0218	RSPSI07_01867
STM1780	RSPSI07_02899
STM2991	RSPSI07_00873
STM2992	RSPSI07_02023
STM3960	RSPSI07_02959
STM2510	RSPSI07_01842
STM2511	RSPSI07_01844
STM0213	RSPSI07_01881
STM1301	RSPSI07_00640
STM2204	RSPSI07_00608
STM0146	RSPSI07_00666
STM1479	RSPSI07_03827
STM1479	RSPSI07_00739
STM0145	RSPSI07_00966
STM3656	RSPSI07_02739
STM3535	RSPSI07_03443
STM3538	RSPSI07_03440
STM2327	RSPSI07_01305
STM1238	RSPSI07_00921
STM3537	RSPSI07_03439
STM3539	RSPSI07_01379
STM0140	RSPSI07_00643
STM0261	RSPSI07_01485
STM2440	RSPSI07_02379
STM2441	RSPSI07_01927
STM2200	RSPSI07_01714
STM2200	RSPSI07_01715
STM2321	RSPSI07_01312
STM2442	RSPSI07_01928
STM1232	RSPSI07_00749
STM2322	RSPSI07_01311
STM2443	RSPSI07_01929
STM2444	RSPSI07_01938
STM2565	RSPSI07_01684
STM3655	RSPSI07_02741
STM2324	RSPSI07_01309
STM1235	RSPSI07_00745
STM1489	RSPSI07_01789
STM3305	RSPSI07_00649
STM2578	RSPSI07_02242
STM2458	RSPSI07_00326
STM3307	RSPSI07_00510
STM0154	RSPSI07_01611
STM0153	RSPSI07_01609
STM0152	RSPSI07_01608
STM1480	RSPSI07_00736
STM1480	RSPSI07_03825
STM2450	RSPSI07_00873
STM2451	RSPSI07_01173
STM3542	RSPSI07_02828
STM1124	RSPSI07_00132
STM1004	RSPSI07_02277
STM0245	RSPSI07_02374
STM0245	RSPSI07_00051
STM1577	RSPSI07_04624
STM0124	RSPSI07_00623
STM2546	RSPSI07_02131
STM2788	RSPSI07_02461
STM0123	RSPSI07_00622
STM1578	RSPSI07_04623
STM0122	RSPSI07_00621
STM1337	RSPSI07_01587
STM1338	RSPSI07_01588
STM0242	RSPSI07_00656
STM2427	RSPSI07_01875
STM0483	RSPSI07_02876
STM3871	RSPSI07_00111
STM3870	RSPSI07_00112
STM0129	RSPSI07_00628
STM0007	RSPSI07_02052
STM0128	RSPSI07_00627
STM2662	RSPSI07_01639
STM2783	RSPSI07_03721
STM0369	RSPSI07_01365
STM0369	RSPSI07_03334
STM1211	RSPSI07_01134
STM0368	RSPSI07_03335
STM0368	RSPSI07_01366
STM3512	RSPSI07_04366
STM0247	RSPSI07_02376
STM2543	RSPSI07_02288
STM1333	RSPSI07_01583
STM0489	RSPSI07_00822
STM0246	RSPSI07_02375
STM0488	RSPSI07_00877
STM0125	RSPSI07_00624
STM1576	RSPSI07_04625
STM3646	RSPSI07_03831
STM3646	RSPSI07_02274
STM0498	RSPSI07_00086
STM1104	RSPSI07_00996
STM1347	RSPSI07_00805
STM1347	RSPSI07_02509
STM1226	RSPSI07_01523
STM1226	RSPSI07_01694
STM0134	RSPSI07_00634
STM1106	RSPSI07_01600
STM1106	RSPSI07_04803
STM1469	RSPSI07_04455
STM1349	RSPSI07_01852
STM1107	RSPSI07_04761
STM3526	RSPSI07_00412
STM2318	RSPSI07_01315
STM0372	RSPSI07_00474
STM3407	RSPSI07_03177
STM0130	RSPSI07_00629
STM0371	RSPSI07_01487
STM0370	RSPSI07_01363
STM3880	RSPSI07_01631
STM3880	RSPSI07_04242
STM1580	RSPSI07_04621
STM2791	RSPSI07_04190
STM2791	RSPSI07_04801
STM2791	RSPSI07_03221
STM2791	RSPSI07_02542
STM2670	RSPSI07_00805
STM2670	RSPSI07_02509
STM3882	RSPSI07_04821
STM3882	RSPSI07_00712
STM3882	RSPSI07_02031
STM2792	RSPSI07_03220
STM1340	RSPSI07_01011
STM2430	RSPSI07_02379
STM1341	RSPSI07_00790
STM2431	RSPSI07_00610
STM2431	RSPSI07_04255
STM1221	RSPSI07_02053
STM3883	RSPSI07_02030
STM2433	RSPSI07_00610
STM2433	RSPSI07_04255
STM0137	RSPSI07_00655
STM2555	RSPSI07_02521
STM3401	RSPSI07_00693
STM3885	RSPSI07_02294
STM0067	RSPSI07_01490
STM0066	RSPSI07_01488
STM2009	RSPSI07_03400
STM0064	RSPSI07_00724
STM0183	RSPSI07_00835
STM0182	RSPSI07_00833
STM0181	RSPSI07_01022
STM0180	RSPSI07_00738
