BSU09290	b3926
BSU14400	b2167
BSU22700	b3389
BSU14520	b3665
BSU38170	b0432
BSU15610	b3368
BSU39260	b3721
BSU32750	b0199
BSU00910	b2746
BSU33040	b1611
BSU37760	b0260
BSU37760	b2156
BSU03981	b3599
BSU01680	b2429
BSU33720	b2130
BSU33720	b2128
BSU28800	b0062
BSU03060	b3603
BSU03060	b2975
BSU06450	b2476
BSU27270	b0159
BSU28120	b0154
BSU29210	b2316
BSU22140	b2842
BSU22140	b4266
BSU15860	b1814
BSU15860	b4471
BSU15860	b2797
BSU32180	b2164
BSU33390	b0764
BSU38160	b0431
BSU22830	b3608
BSU15500	b3665
BSU30560	b3403
BSU17000	b3617
BSU18450	b3212
BSU02400	b0260
BSU02400	b2156
BSU32740	b0198
BSU27600	b3650
BSU33830	b2129
BSU25300	b2143
BSU28250	b0071
BSU27040	b1819
BSU08860	b0935
BSU29220	b2463
BSU29340	b2306
BSU29340	b0809
BSU29340	b1917
BSU29340	b0652
BSU28130	b0369
BSU38990	b2221
BSU34150	b4033
BSU15510	b0032
BSU15190	b0087
BSU19310	b1300
BSU19310	b3588
BSU19310	b0312
BSU19310	b1385
BSU38630	b1732
BSU18220	b1393
BSU38750	b0734
BSU38750	b0979
BSU37660	b2458
BSU37660	b2297
BSU01780	b3729
BSU02990	b2678
BSU23490	b2407
BSU25310	b4042
BSU33500	b0484
BSU02510	b3128
BSU06310	b2663
BSU32410	b3665
BSU31200	b3904
BSU27610	b0469
BSU35920	b3752
BSU03280	b3368
BSU21870	b3771
BSU11710	b2103
BSU08850	b0934
BSU28260	b0072
BSU29470	b2296
BSU29470	b3115
BSU27050	b1818
BSU05340	b3502
BSU24340	b3256
BSU23250	b0415
BSU33290	b4287
BSU33290	b0151
BSU33290	b0588
BSU15520	b0033
BSU12010	b2167
BSU22730	b2518
BSU39390	b0260
BSU39390	b2156
BSU18470	b0242
BSU39270	b0679
BSU39270	b1101
BSU38500	b0335
BSU17380	b2675
BSU30220	b3617
BSU38860	b0759
BSU13580	b2379
BSU38980	b2222
BSU27860	b0109
BSU01770	b3176
BSU02980	b2677
BSU26650	b0752
BSU04000	b1800
BSU00680	b0125
BSU06420	b0523
BSU33730	b2129
BSU28270	b0073
BSU27060	b1817
BSU11720	b1288
BSU12930	b1244
BSU06660	b1015
BSU28150	b3805
BSU03150	b3437
BSU03150	b4268
BSU04360	b2392
BSU24350	b3255
BSU40330	b0260
BSU40330	b2156
BSU21810	b0048
BSU16100	b0729
BSU31180	b3903
BSU11330	b1091
BSU37280	b1224
BSU37280	b1468
BSU12300	b3092
BSU36510	b0451
BSU10120	b3997
BSU31980	b0594
BSU35660	b3786
BSU33800	b2130
BSU33800	b2128
BSU30530	b0402
BSU30530	b4208
BSU30530	b0576
BSU30530	b0112
BSU30530	b1453
BSU33920	b3919
BSU28560	b1805
BSU06490	b2312
BSU06370	b3714
BSU06370	b3664
BSU08790	b3994
BSU38240	b4067
BSU18410	b3447
BSU37150	b2780
BSU11340	b1095
BSU11220	b1748
BSU11220	b3359
BSU37270	b1225
BSU37270	b1467
BSU15700	b3639
BSU21820	b2827
BSU15020	b3634
BSU36860	b3737
BSU34560	b4239
BSU29300	b0025
BSU33910	b3612
BSU31970	b0595
BSU06360	b2507
BSU13890	b0679
BSU13890	b1101
BSU40110	b2901
BSU11230	b0032
BSU32170	b3809
BSU38150	b0430
BSU16920	b1912
BSU00930	b3607
BSU30550	b2942
BSU14180	b0166
BSU31760	b1768
BSU10020	b0907
BSU19630	b4384
BSU36890	b2498
BSU02430	b1524
BSU05820	b1736
BSU33940	b1779
BSU32730	b0197
BSU33700	b2130
BSU33700	b2128
BSU34910	b2020
BSU33820	b2130
BSU33820	b2128
BSU27810	b0007
BSU25070	b2515
BSU27250	b3939
BSU22480	b0963
BSU23570	b4139
BSU27010	b0325
