XFCFBP8418_010140	XOO2763
XFCFBP8418_011470	XOO4319
XFCFBP8418_015830	XOO1787
XFCFBP8418_014980	XOO4231
XFCFBP8418_012560	XOO3078
XFCFBP8418_011230	XOO4907
XFCFBP8418_020190	XOO2143
XFCFBP8418_024550	XOO2299
XFCFBP8418_023460	XOO3574
XFCFBP8418_001430	XOO0679
XFCFBP8418_004940	XOO2171
XFCFBP8418_000340	XOO1661
XFCFBP8418_021280	XOO2025
XFCFBP8418_003610	XOO1276
XFCFBP8418_002760	XOO3363
XFCFBP8418_022130	XOO0804
XFCFBP8418_027820	XOO4074
XFCFBP8418_024790	XOO4583
XFCFBP8418_003850	XOO3254
XFCFBP8418_002520	XOO0681
XFCFBP8418_002520	XOO0842
XFCFBP8418_026730	XOO4161
XFCFBP8418_025640	XOO3226
XFCFBP8418_027800	XOO1460
XFCFBP8418_004700	XOO1624
XFCFBP8418_011240	XOO3824
XFCFBP8418_012330	XOO0928
XFCFBP8418_015840	XOO1786
XFCFBP8418_010150	XOO2766
XFCFBP8418_011480	XOO4320
XFCFBP8418_014510	XOO1474
XFCFBP8418_016930	XOO1882
XFCFBP8418_012570	XOO2322
XFCFBP8418_012570	XOO0643
XFCFBP8418_014990	XOO0922
XFCFBP8418_013660	XOO3457
XFCFBP8418_022360	XOO3952
XFCFBP8418_021270	XOO2026
XFCFBP8418_004710	XOO1623
XFCFBP8418_023450	XOO3573
XFCFBP8418_001440	XOO0675
XFCFBP8418_020180	XOO2144
XFCFBP8418_024780	XOO4584
XFCFBP8418_003860	XOO3255
XFCFBP8418_023690	XOO0280
XFCFBP8418_027810	XOO1459
XFCFBP8418_001200	XOO0589
XFCFBP8418_004950	XOO2170
XFCFBP8418_026720	XOO4160
XFCFBP8418_000350	XOO1660
XFCFBP8418_022120	XOO0805
XFCFBP8418_025630	XOO3225
XFCFBP8418_001680	XOO2804
XFCFBP8418_023210	XOO1032
XFCFBP8418_024540	XOO2298
XFCFBP8418_011250	XOO3825
XFCFBP8418_015850	XOO0770
XFCFBP8418_014520	XOO1473
XFCFBP8418_010160	XOO2767
XFCFBP8418_011490	XOO4322
XFCFBP8418_012100	XOO2412
XFCFBP8418_014760	XOO0299
XFCFBP8418_012340	XOO0927
XFCFBP8418_027840	XOO2338
XFCFBP8418_026750	XOO4049
XFCFBP8418_004720	XOO1622
XFCFBP8418_000120	XOO2434
XFCFBP8418_001210	XOO0550
XFCFBP8418_025660	XOO3228
XFCFBP8418_024570	XOO0157
XFCFBP8418_024570	XOO2304
XFCFBP8418_023480	XOO3576
XFCFBP8418_004960	XOO2169
XFCFBP8418_002300	XOO4153
XFCFBP8418_003630	XOO0754
XFCFBP8418_022150	XOO0802
XFCFBP8418_001690	XOO2805
XFCFBP8418_001690	XOO3018
XFCFBP8418_001690	XOO3016
XFCFBP8418_003870	XOO3258
XFCFBP8418_023000	XOO0971
XFCFBP8418_000360	XOO1659
XFCFBP8418_025420	XOO2506
XFCFBP8418_002780	XOO4072
XFCFBP8418_006900	XOO3839
XFCFBP8418_014530	XOO1472
XFCFBP8418_017800	XOO0350
XFCFBP8418_013200	XOO4296
XFCFBP8418_011260	XOO3826
XFCFBP8418_010170	XOO2769
XFCFBP8418_012590	XOO2828
XFCFBP8418_012590	XOO2712
XFCFBP8418_012590	XOO3208
XFCFBP8418_012350	XOO3672
XFCFBP8418_015860	XOO0769
XFCFBP8418_014770	XOO1319
XFCFBP8418_012110	XOO2413
XFCFBP8418_021290	XOO2024
XFCFBP8418_025650	XOO3227
XFCFBP8418_003400	XOO0841
XFCFBP8418_002310	XOO4152
XFCFBP8418_006910	XOO3838
XFCFBP8418_022140	XOO0803
XFCFBP8418_027830	XOO4575
XFCFBP8418_027830	XOO2339
XFCFBP8418_001220	XOO0549
XFCFBP8418_023230	XOO1457
XFCFBP8418_024560	XOO2300
XFCFBP8418_022380	XOO4035
XFCFBP8418_022380	XOO4019
XFCFBP8418_004730	XOO1621
XFCFBP8418_023470	XOO3575
XFCFBP8418_003880	XOO3259
XFCFBP8418_002790	XOO4073
XFCFBP8418_025410	XOO2505
XFCFBP8418_026740	XOO4163
XFCFBP8418_000130	XOO2435
XFCFBP8418_010180	XOO2770
XFCFBP8418_012120	XOO2414
XFCFBP8418_013210	XOO4297
