RSc0338	RSR24_00347
RSc0339	RSR24_00348
RSc1669	RSR24_01191
RSc2999	RSR24_03060
RSc0336	RSR24_00345
RSc1668	RSR24_01190
RSc2998	RSR24_04686
RSc2998	RSR24_02323
RSc2998	RSR24_03059
RSc0337	RSR24_00346
RSc1667	RSR24_01189
RSc0330	RSR24_00338
RSc2993	RSR24_03054
RSc1662	RSR24_01184
RSc2992	RSR24_03053
RSc0331	RSR24_00339
RSc1661	RSR24_01183
RSc2991	RSR24_03052
RSc1660	RSR24_01182
RSc2990	RSR24_03051
RSc0334	RSR24_00342
RSc2997	RSR24_03058
RSc1666	RSR24_01188
RSc2996	RSR24_03057
RSc0335	RSR24_00343
RSc1665	RSR24_01187
RSc0332	RSR24_00340
RSc0332	RSR24_03522
RSc2995	RSR24_03056
RSc1664	RSR24_01186
RSc2994	RSR24_03055
RSc0333	RSR24_00341
RSc1663	RSR24_01185
RSp0758	RSR24_04059
RSc0327	RSR24_00335
RSc1659	RSR24_01181
RSc2989	RSR24_03050
RSc0328	RSR24_00336
RSc1658	RSR24_01180
RSc2988	RSR24_03049
RSc0325	RSR24_00333
RSc1657	RSR24_01179
RSc0326	RSR24_00334
RSc2987	RSR24_03048
RSc1656	RSR24_01178
RSc0329	RSR24_00337
RSc2982	RSR24_03043
RSc1651	RSR24_01523
RSc2981	RSR24_03042
RSc1650	RSR24_01522
RSc2980	RSR24_03041
RSc0323	RSR24_00331
RSc2986	RSR24_03047
RSc0324	RSR24_00332
RSc1654	RSR24_01526
RSc2985	RSR24_03046
RSc1653	RSR24_01525
RSc2984	RSR24_03045
RSc0321	RSR24_00305
RSc0322	RSR24_00330
RSc2983	RSR24_03044
RSc1652	RSR24_01524
RSc1648	RSR24_01520
RSc2979	RSR24_03040
RSc0316	RSR24_00301
RSc0317	RSR24_00302
RSc1647	RSR24_01519
RSc2978	RSR24_03039
RSc0314	RSR24_00299
RSc1646	RSR24_01518
RSc2977	RSR24_03038
RSc2976	RSR24_03037
RSc0315	RSR24_00300
RSc1645	RSR24_01517
RSc0318	RSR24_00303
RSc0319	RSR24_00304
RSc1649	RSR24_01521
RSc1640	RSR24_01511
RSc2971	RSR24_03032
RSc2970	RSR24_03031
RSc1644	RSR24_01515
RSc0312	RSR24_00297
RSc2975	RSR24_03036
RSc1643	RSR24_01514
RSc0313	RSR24_00298
RSc2974	RSR24_03035
RSc1642	RSR24_01513
RSc0310	RSR24_00295
RSc2973	RSR24_03034
RSc1641	RSR24_02891
RSc1641	RSR24_01512
RSc0311	RSR24_00296
RSc2972	RSR24_03033
RSp0779	RSR24_04061
RSc0305	RSR24_00290
RSc1637	RSR24_01508
RSc2968	RSR24_03029
RSc1636	RSR24_01507
RSc2967	RSR24_03028
RSc0306	RSR24_00291
RSc1635	RSR24_01506
RSc2966	RSR24_03027
RSc0303	RSR24_00287
RSc2965	RSR24_03026
