XOO1903	RSCFB2957_01409
XOO1900	RSCFB2957_01177
XOO1906	RSCFB2957_04800
XOO4180	RSCFB2957_03861
XOO4181	RSCFB2957_03831
XOO4181	RSCFB2957_03830
XOO4188	RSCFB2957_04471
XOO4189	RSCFB2957_04472
XOO4185	RSCFB2957_00409
XOO1910	RSCFB2957_01735
XOO4176	RSCFB2957_03861
XOO4177	RSCFB2957_03861
XOO4174	RSCFB2957_03861
XOO4160	RSCFB2957_03949
XOO4160	RSCFB2957_02685
XOO4165	RSCFB2957_02177
XOO4165	RSCFB2957_03220
XOO4165	RSCFB2957_00867
XOO4165	RSCFB2957_01405
XOO4165	RSCFB2957_00203
XOO4165	RSCFB2957_03219
XOO4165	RSCFB2957_02894
XOO4165	RSCFB2957_04895
XOO4161	RSCFB2957_02684
XOO4161	RSCFB2957_03950
XOO4163	RSCFB2957_02682
XOO4154	RSCFB2957_02651
XOO4150	RSCFB2957_00305
XOO4151	RSCFB2957_02613
XOO4152	RSCFB2957_00452
XOO4153	RSCFB2957_00451
XOO0615	RSCFB2957_02177
XOO0615	RSCFB2957_03220
XOO0615	RSCFB2957_00867
XOO0615	RSCFB2957_01405
XOO0615	RSCFB2957_00203
XOO0615	RSCFB2957_03219
XOO0615	RSCFB2957_02894
XOO0615	RSCFB2957_04895
XOO0617	RSCFB2957_02177
XOO0617	RSCFB2957_03220
XOO0617	RSCFB2957_00867
XOO0617	RSCFB2957_01405
XOO0617	RSCFB2957_00203
XOO0617	RSCFB2957_03219
XOO0617	RSCFB2957_02894
XOO0617	RSCFB2957_04895
XOO2801	RSCFB2957_03831
XOO2801	RSCFB2957_03830
XOO1954	RSCFB2957_02550
XOO0622	RSCFB2957_02177
XOO0622	RSCFB2957_03220
XOO0622	RSCFB2957_00867
XOO0622	RSCFB2957_01405
XOO0622	RSCFB2957_00203
XOO0622	RSCFB2957_03219
XOO0622	RSCFB2957_02894
XOO0622	RSCFB2957_04895
XOO1952	RSCFB2957_00935
XOO1934	RSCFB2957_03861
XOO1938	RSCFB2957_04900
XOO1925	RSCFB2957_02594
XOO1924	RSCFB2957_02239
XOO1922	RSCFB2957_00933
XOO1929	RSCFB2957_01539
XOO1929	RSCFB2957_01540
XOO1919	RSCFB2957_02210
XOO4198	RSCFB2957_00313
XOO4196	RSCFB2957_00310
XOO1506	RSCFB2957_01472
XOO0659	RSCFB2957_03494
XOO1989	RSCFB2957_01358
XOO1504	RSCFB2957_01147
XOO2835	RSCFB2957_04623
XOO2836	RSCFB2957_04622
XOO2838	RSCFB2957_01425
XOO2838	RSCFB2957_03510
XOO1510	RSCFB2957_03227
XOO1510	RSCFB2957_02346
XOO0661	RSCFB2957_04537
XOO1514	RSCFB2957_01086
XOO0667	RSCFB2957_00019
XOO1513	RSCFB2957_00769
XOO2840	RSCFB2957_01864
XOO2840	RSCFB2957_01210
XOO1996	RSCFB2957_00905
XOO0665	RSCFB2957_02107
XOO0664	RSCFB2957_03388
XOO2828	RSCFB2957_02393
XOO1979	RSCFB2957_04819
XOO0647	RSCFB2957_03861
XOO0646	RSCFB2957_02177
XOO0646	RSCFB2957_03220
XOO0646	RSCFB2957_00867
XOO0646	RSCFB2957_01405
XOO0646	RSCFB2957_00203
XOO0646	RSCFB2957_03219
XOO0646	RSCFB2957_02894
XOO0646	RSCFB2957_04895
XOO1977	RSCFB2957_01373
XOO2825	RSCFB2957_03831
XOO2825	RSCFB2957_03830
XOO1983	RSCFB2957_01372
XOO1982	RSCFB2957_04819
XOO1985	RSCFB2957_01361
XOO2817	RSCFB2957_04014
XOO2817	RSCFB2957_04019
XOO0638	RSCFB2957_04480
XOO2818	RSCFB2957_04014
XOO2818	RSCFB2957_04019
XOO1968	RSCFB2957_01381
XOO1967	RSCFB2957_01383
XOO1966	RSCFB2957_01384
XOO2814	RSCFB2957_03831
XOO2814	RSCFB2957_03830
XOO0639	RSCFB2957_04481
XOO2820	RSCFB2957_03354
XOO1972	RSCFB2957_01377
XOO0641	RSCFB2957_04947
XOO2821	RSCFB2957_04900
XOO1970	RSCFB2957_01379
XOO1976	RSCFB2957_01374
XOO1974	RSCFB2957_01375
XOO1973	RSCFB2957_01376
XOO0627	RSCFB2957_04747
XOO0626	RSCFB2957_03287
XOO2809	RSCFB2957_02657
XOO2802	RSCFB2957_03929
XOO2804	RSCFB2957_04069
XOO2804	RSCFB2957_00015
XOO0629	RSCFB2957_04745
XOO2805	RSCFB2957_04068
XOO2805	RSCFB2957_03519
XOO2805	RSCFB2957_00014
XOO0628	RSCFB2957_04746
XOO1961	RSCFB2957_01136
XOO0630	RSCFB2957_04744
XOO2810	RSCFB2957_04350
XOO2810	RSCFB2957_02658
XOO2811	RSCFB2957_02659
XOO2812	RSCFB2957_02660
XOO1965	RSCFB2957_01385
XOO1964	RSCFB2957_01386
XOO1963	RSCFB2957_01387
XOO1962	RSCFB2957_02104
XOO0218	RSCFB2957_04572
XOO3728	RSCFB2957_03413
XOO3729	RSCFB2957_01421
XOO1550	RSCFB2957_00275
XOO2886	RSCFB2957_01802
XOO0223	RSCFB2957_03702
XOO0222	RSCFB2957_03067
XOO0222	RSCFB2957_03703
XOO2887	RSCFB2957_01803
XOO2400	RSCFB2957_02462
XOO2888	RSCFB2957_01805
XOO3735	RSCFB2957_03384
XOO3735	RSCFB2957_00611
XOO0227	RSCFB2957_03103
XOO1558	RSCFB2957_02875
