KPN_04005	RSPSI07_01301
KPN_03036	RSPSI07_02378
KPN_04249	RSPSI07_01051
KPN_04008	RSPSI07_01938
KPN_01090	RSPSI07_02257
KPN_01091	RSPSI07_02256
KPN_02180	RSPSI07_01583
KPN_01092	RSPSI07_02255
KPN_01093	RSPSI07_02254
KPN_02061	RSPSI07_00716
KPN_01096	RSPSI07_01737
KPN_02055	RSPSI07_01643
KPN_02176	RSPSI07_01587
KPN_04478	RSPSI07_01414
KPN_01089	RSPSI07_02258
KPN_03268	RSPSI07_01643
KPN_03389	RSPSI07_01204
KPN_03388	RSPSI07_01205
KPN_04239	RSPSI07_03158
KPN_03029	RSPSI07_02457
KPN_03380	RSPSI07_02949
KPN_03140	RSPSI07_00138
KPN_04350	RSPSI07_00863
KPN_02295	RSPSI07_04648
KPN_02054	RSPSI07_01577
KPN_02054	RSPSI07_01110
KPN_02175	RSPSI07_01588
KPN_01197	RSPSI07_00720
KPN_03375	RSPSI07_03122
KPN_01198	RSPSI07_01704
KPN_02169	RSPSI07_01011
KPN_03016	RSPSI07_03530
KPN_02160	RSPSI07_01852
KPN_03130	RSPSI07_02226
KPN_02162	RSPSI07_00805
KPN_02162	RSPSI07_02509
KPN_03132	RSPSI07_03963
KPN_01074	RSPSI07_02781
KPN_01195	RSPSI07_01528
KPN_03131	RSPSI07_02226
KPN_04329	RSPSI07_02811
KPN_03123	RSPSI07_02160
KPN_00096	RSPSI07_00629
KPN_03244	RSPSI07_01905
KPN_00095	RSPSI07_00628
KPN_00094	RSPSI07_00627
KPN_03124	RSPSI07_02163
KPN_04576	RSPSI07_02058
KPN_04337	RSPSI07_02541
KPN_00091	RSPSI07_00624
KPN_03126	RSPSI07_01581
KPN_04339	RSPSI07_01111
KPN_00090	RSPSI07_00623
KPN_04217	RSPSI07_00884
KPN_02392	RSPSI07_03823
KPN_02392	RSPSI07_04300
KPN_02393	RSPSI07_04299
KPN_04331	RSPSI07_02808
KPN_04289	RSPSI07_02576
KPN_04288	RSPSI07_02578
KPN_03194	RSPSI07_03713
KPN_04282	RSPSI07_02096
KPN_03193	RSPSI07_03712
KPN_04287	RSPSI07_04169
KPN_04286	RSPSI07_03657
KPN_04286	RSPSI07_04170
KPN_04157	RSPSI07_02294
KPN_04399	RSPSI07_03003
KPN_03183	RSPSI07_01019
KPN_04271	RSPSI07_02819
KPN_04395	RSPSI07_01911
KPN_04152	RSPSI07_01631
KPN_04152	RSPSI07_04242
KPN_03184	RSPSI07_01020
KPN_04155	RSPSI07_02030
KPN_04397	RSPSI07_03019
KPN_04154	RSPSI07_04821
KPN_04154	RSPSI07_00712
KPN_04154	RSPSI07_02031
KPN_04396	RSPSI07_01916
KPN_04267	RSPSI07_01287
KPN_04388	RSPSI07_02761
KPN_04387	RSPSI07_01174
KPN_04269	RSPSI07_02690
KPN_04142	RSPSI07_00112
KPN_04141	RSPSI07_00113
KPN_04143	RSPSI07_00111
KPN_04135	RSPSI07_03083
KPN_04256	RSPSI07_01410
KPN_03045	RSPSI07_02592
KPN_04134	RSPSI07_03082
KPN_04376	RSPSI07_03143
KPN_04137	RSPSI07_00117
KPN_04379	RSPSI07_00130
KPN_04136	RSPSI07_03937
KPN_04136	RSPSI07_00118
KPN_04139	RSPSI07_00115
KPN_04138	RSPSI07_00116
KPN_02193	RSPSI07_01437
KPN_02193	RSPSI07_00605
KPN_02194	RSPSI07_00604
KPN_02194	RSPSI07_01438
KPN_02194	RSPSI07_03919
KPN_04131	RSPSI07_01501
KPN_04130	RSPSI07_01502
KPN_04372	RSPSI07_03146
KPN_04133	RSPSI07_01499
KPN_04375	RSPSI07_03147
KPN_04374	RSPSI07_02943
KPN_04011	RSPSI07_00405
KPN_04132	RSPSI07_01500
KPN_00039	RSPSI07_00724
KPN_03428	RSPSI07_03706
KPN_03673	RSPSI07_03946
KPN_03673	RSPSI07_03240
KPN_00041	RSPSI07_01490
KPN_01132	RSPSI07_01523
KPN_01132	RSPSI07_01694
KPN_03672	RSPSI07_03239
KPN_03672	RSPSI07_03947
KPN_00040	RSPSI07_01488
KPN_00281	RSPSI07_00653
KPN_01254	RSPSI07_01383
KPN_01255	RSPSI07_00583
KPN_01255	RSPSI07_03783
KPN_00280	RSPSI07_00728
KPN_03795	RSPSI07_03443
KPN_03432	RSPSI07_04608
KPN_02587	RSPSI07_04821
KPN_02587	RSPSI07_00712
KPN_02587	RSPSI07_02031
KPN_01256	RSPSI07_00584
KPN_01256	RSPSI07_03784
KPN_03798	RSPSI07_03440
KPN_01015	RSPSI07_04191
KPN_01015	RSPSI07_04802
KPN_03797	RSPSI07_03439
KPN_02468	RSPSI07_02968
KPN_03799	RSPSI07_01379
KPN_00049	RSPSI07_02748
KPN_00169	RSPSI07_02593
KPN_00046	RSPSI07_02579
KPN_00045	RSPSI07_02350
KPN_00044	RSPSI07_00355
KPN_03792	RSPSI07_00412
KPN_01492	RSPSI07_02789
KPN_01493	RSPSI07_00979
KPN_02206	RSPSI07_01450
KPN_04627	RSPSI07_00688
KPN_04626	RSPSI07_01243
KPN_03537	RSPSI07_00152
KPN_02328	RSPSI07_00830
KPN_02330	RSPSI07_00138
KPN_00393	RSPSI07_00549
KPN_00392	RSPSI07_00550
KPN_03540	RSPSI07_03965
KPN_02573	RSPSI07_01618
KPN_03785	RSPSI07_04366
KPN_03664	RSPSI07_00684
KPN_00391	RSPSI07_00551
KPN_02211	RSPSI07_04621
KPN_02696	RSPSI07_03844
KPN_02696	RSPSI07_01103
KPN_02696	RSPSI07_01257
KPN_02696	RSPSI07_00029
KPN_02696	RSPSI07_02785
KPN_01365	RSPSI07_02297
KPN_02213	RSPSI07_04623
KPN_02455	RSPSI07_01515
KPN_03665	RSPSI07_00683
KPN_02214	RSPSI07_04624
KPN_01126	RSPSI07_02052
KPN_02215	RSPSI07_04625
KPN_01127	RSPSI07_00719
KPN_02458	RSPSI07_00615
KPN_00395	RSPSI07_03099
KPN_00394	RSPSI07_00548
KPN_00139	RSPSI07_00738
KPN_01106	RSPSI07_01134
KPN_01469	RSPSI07_03695
KPN_04615	RSPSI07_02487
KPN_04736	RSPSI07_04041
KPN_04739	RSPSI07_03945
KPN_03409	RSPSI07_03487
KPN_00140	RSPSI07_01022
KPN_01472	RSPSI07_03698
KPN_01473	RSPSI07_03699
KPN_03895	RSPSI07_01437
KPN_03895	RSPSI07_00605
KPN_01474	RSPSI07_00596
KPN_04621	RSPSI07_01064
KPN_02322	RSPSI07_00614
KPN_02322	RSPSI07_02727
KPN_02564	RSPSI07_00895
KPN_01475	RSPSI07_00595
KPN_04623	RSPSI07_04821
KPN_04623	RSPSI07_00712
KPN_04623	RSPSI07_02031
KPN_02202	RSPSI07_01126
KPN_02202	RSPSI07_03260
KPN_03897	RSPSI07_01894
KPN_01476	RSPSI07_03049
KPN_03896	RSPSI07_00604
KPN_03896	RSPSI07_01438
KPN_03896	RSPSI07_03919
KPN_02566	RSPSI07_00895
KPN_02445	RSPSI07_03400
KPN_01236	RSPSI07_00773
KPN_01236	RSPSI07_04771
KPN_01478	RSPSI07_01111
KPN_01479	RSPSI07_00593
KPN_00024	RSPSI07_00972
KPN_01590	RSPSI07_02520
KPN_00142	RSPSI07_00835
KPN_00021	RSPSI07_00956
KPN_01470	RSPSI07_03696
KPN_00020	RSPSI07_00957
KPN_00141	RSPSI07_00833
KPN_02560	RSPSI07_01028
KPN_01471	RSPSI07_03697
KPN_00008	RSPSI07_02052
KPN_00369	RSPSI07_00701
KPN_02305	RSPSI07_01767
KPN_02305	RSPSI07_02334
KPN_02668	RSPSI07_01315
KPN_03757	RSPSI07_00589
KPN_03878	RSPSI07_02965
KPN_02306	RSPSI07_01826
KPN_04607	RSPSI07_00071
KPN_02308	RSPSI07_01904
KPN_02309	RSPSI07_02370
KPN_02550	RSPSI07_03150
KPN_02671	RSPSI07_01312
KPN_03761	RSPSI07_00493
KPN_03760	RSPSI07_00494
KPN_02672	RSPSI07_01311
KPN_00370	RSPSI07_00700
KPN_01221	RSPSI07_00979
KPN_03521	RSPSI07_02225
KPN_03521	RSPSI07_03969
KPN_01464	RSPSI07_01653
KPN_01464	RSPSI07_00606
KPN_02674	RSPSI07_01309
KPN_02797	RSPSI07_01246
KPN_02797	RSPSI07_00702
KPN_02797	RSPSI07_01459
KPN_02798	RSPSI07_02052
KPN_03767	RSPSI07_00487
KPN_02677	RSPSI07_01305
KPN_01104	RSPSI07_02240
KPN_02799	RSPSI07_00719
KPN_00256	RSPSI07_04190
KPN_00256	RSPSI07_04801
KPN_00256	RSPSI07_03221
KPN_00256	RSPSI07_02542
KPN_00255	RSPSI07_03220
KPN_00134	RSPSI07_03020
KPN_00373	RSPSI07_01141
KPN_00372	RSPSI07_01142
KPN_03109	RSPSI07_01655
KPN_03108	RSPSI07_01656
KPN_03112	RSPSI07_04480
KPN_03112	RSPSI07_03358
