XFCFBP8418_005900	PP_1915
XFCFBP8418_010140	PP_2130
XFCFBP8418_011590	PP_4897
XFCFBP8418_015830	PP_4984
XFCFBP8418_014980	PP_5128
XFCFBP8418_020190	PP_5155
XFCFBP8418_025760	PP_4715
XFCFBP8418_024670	PP_1018
XFCFBP8418_027940	PP_2080
XFCFBP8418_003610	PP_4471
XFCFBP8418_023580	PP_5419
XFCFBP8418_003850	PP_1995
XFCFBP8418_026730	PP_0421
XFCFBP8418_004700	PP_0601
XFCFBP8418_005910	PP_1914
XFCFBP8418_011240	PP_1339
XFCFBP8418_012210	PP_2095
XFCFBP8418_005920	PP_1913
XFCFBP8418_022360	PP_4800
XFCFBP8418_022240	PP_1610
XFCFBP8418_002650	PP_5296
XFCFBP8418_001440	PP_1587
XFCFBP8418_027930	PP_2080
XFCFBP8418_023690	PP_2426
XFCFBP8418_021150	PP_5132
XFCFBP8418_003740	PP_5192
XFCFBP8418_003740	PP_0988
XFCFBP8418_026720	PP_0422
XFCFBP8418_003980	PP_0110
XFCFBP8418_001680	PP_1386
XFCFBP8418_012220	PP_1904
XFCFBP8418_011250	PP_1338
XFCFBP8418_014880	PP_1628
XFCFBP8418_017900	PP_4680
XFCFBP8418_021180	PP_2973
XFCFBP8418_021180	PP_1636
XFCFBP8418_003510	PP_0953
XFCFBP8418_027840	PP_1638
XFCFBP8418_026750	PP_0417
XFCFBP8418_025660	PP_4125
XFCFBP8418_024570	PP_4210
XFCFBP8418_024690	PP_1011
XFCFBP8418_003630	PP_3766
XFCFBP8418_001690	PP_1385
XFCFBP8418_027960	PP_2080
XFCFBP8418_026630	PP_0833
XFCFBP8418_017800	PP_5013
XFCFBP8418_011260	PP_1337
XFCFBP8418_011380	PP_5104
XFCFBP8418_014890	PP_1378
XFCFBP8418_014890	PP_1400
XFCFBP8418_012590	PP_0915
XFCFBP8418_012590	PP_0946
XFCFBP8418_012470	PP_1625
XFCFBP8418_012350	PP_2902
XFCFBP8418_015860	PP_2341
XFCFBP8418_014650	PP_0362
XFCFBP8418_025650	PP_4126
XFCFBP8418_003400	PP_1037
XFCFBP8418_027950	PP_2080
XFCFBP8418_001100	PP_2512
XFCFBP8418_001100	PP_1823
XFCFBP8418_027830	PP_0777
XFCFBP8418_027830	PP_1874
XFCFBP8418_024680	PP_5351
XFCFBP8418_024680	PP_1022
XFCFBP8418_005940	PP_0339
XFCFBP8418_023590	PP_5418
XFCFBP8418_025410	PP_4659
XFCFBP8418_026740	PP_0420
XFCFBP8418_011390	PP_5105
XFCFBP8418_011270	PP_1336
XFCFBP8418_012360	PP_5216
XFCFBP8418_014540	PP_0560
XFCFBP8418_021080	PP_1770
XFCFBP8418_026530	PP_1808
XFCFBP8418_026530	PP_4701
XFCFBP8418_025320	PP_2905
XFCFBP8418_025440	PP_5123
XFCFBP8418_002320	PP_4194
XFCFBP8418_025680	PP_4123
XFCFBP8418_002680	PP_1304
XFCFBP8418_000140	PP_2080
XFCFBP8418_011280	PP_1334
XFCFBP8418_017820	PP_0327
XFCFBP8418_017820	PP_1367
XFCFBP8418_017820	PP_1943
XFCFBP8418_012370	PP_5217
XFCFBP8418_014550	PP_0559
XFCFBP8418_015760	PP_5193
XFCFBP8418_015760	PP_0989
XFCFBP8418_026760	PP_0415
XFCFBP8418_022160	PP_4203
XFCFBP8418_004870	PP_1771
XFCFBP8418_002690	PP_1303
XFCFBP8418_027850	PP_4922
XFCFBP8418_001240	PP_3511
XFCFBP8418_011290	PP_1333
XFCFBP8418_016500	PP_1638
XFCFBP8418_017710	PP_5046
XFCFBP8418_011050	PP_1362
XFCFBP8418_014680	PP_5318
XFCFBP8418_015770	PP_5194
XFCFBP8418_014560	PP_0558
XFCFBP8418_013350	PP_5075
XFCFBP8418_022190	PP_1618
XFCFBP8418_025220	PP_4811
XFCFBP8418_002100	PP_1755
XFCFBP8418_002100	PP_0944
XFCFBP8418_026550	PP_4700
XFCFBP8418_000160	PP_1386
XFCFBP8418_027880	PP_3324
XFCFBP8418_011060	PP_4963
XFCFBP8418_016510	PP_4922
XFCFBP8418_012150	PP_0844
XFCFBP8418_013360	PP_5076
XFCFBP8418_016870	PP_1226
XFCFBP8418_000170	PP_1385
XFCFBP8418_021090	PP_1769
XFCFBP8418_007800	PP_1082
XFCFBP8418_025570	PP_0147
XFCFBP8418_025570	PP_2057
XFCFBP8418_006950	PP_1097
XFCFBP8418_005980	PP_0528
XFCFBP8418_003680	PP_0687
XFCFBP8418_004770	PP_1032
XFCFBP8418_013370	PP_5095
XFCFBP8418_011190	PP_1343
XFCFBP8418_014340	PP_0073
XFCFBP8418_016880	PP_1213
XFCFBP8418_015310	PP_0980
XFCFBP8418_015430	PP_5285
XFCFBP8418_003690	PP_0812
XFCFBP8418_026570	PP_4698
XFCFBP8418_025480	PP_2056
XFCFBP8418_025480	PP_1188
XFCFBP8418_026210	PP_1277
XFCFBP8418_026210	PP_1776
XFCFBP8418_024030	PP_4868
XFCFBP8418_001030	PP_4822
XFCFBP8418_004540	PP_1872
XFCFBP8418_004780	PP_1031
XFCFBP8418_003450	PP_0964
XFCFBP8418_004660	PP_0606
XFCFBP8418_002120	PP_4016
XFCFBP8418_016890	PP_0897
XFCFBP8418_014590	PP_0808
XFCFBP8418_013260	PP_5215
