BSU09290	RSBDBR229_02959
BSU35580	RSBDBR229_04261
BSU11250	RSBDBR229_01147
BSU14400	RSBDBR229_02747
BSU22700	RSBDBR229_02870
BSU38050	RSBDBR229_04625
BSU38170	RSBDBR229_02805
BSU15730	RSBDBR229_00075
BSU15610	RSBDBR229_03765
BSU32750	RSBDBR229_04254
BSU00910	RSBDBR229_00884
BSU37760	RSBDBR229_04084
BSU37760	RSBDBR229_04085
BSU18440	RSBDBR229_02865
BSU33720	RSBDBR229_01185
BSU03060	RSBDBR229_04207
BSU28120	RSBDBR229_03165
BSU29210	RSBDBR229_04461
BSU15860	RSBDBR229_00532
BSU08070	RSBDBR229_04047
BSU33390	RSBDBR229_02356
BSU38040	RSBDBR229_04624
BSU38160	RSBDBR229_02804
BSU22830	RSBDBR229_00351
BSU18570	RSBDBR229_02743
BSU39370	RSBDBR229_01108
BSU18450	RSBDBR229_02866
BSU36660	RSBDBR229_02216
BSU02400	RSBDBR229_04084
BSU02400	RSBDBR229_04085
BSU32740	RSBDBR229_04253
BSU27600	RSBDBR229_01391
BSU34920	RSBDBR229_02852
BSU28250	RSBDBR229_04471
BSU08860	RSBDBR229_01830
BSU29220	RSBDBR229_02652
BSU29220	RSBDBR229_02292
BSU29340	RSBDBR229_00220
BSU29340	RSBDBR229_02281
BSU29340	RSBDBR229_03034
BSU29340	RSBDBR229_01277
BSU28130	RSBDBR229_02890
BSU38990	RSBDBR229_01283
BSU38990	RSBDBR229_01028
BSU39720	RSBDBR229_01683
BSU15510	RSBDBR229_04317
BSU15190	RSBDBR229_02731
BSU19310	RSBDBR229_00279
BSU38630	RSBDBR229_03995
BSU38630	RSBDBR229_01060
BSU30230	RSBDBR229_02040
BSU18220	RSBDBR229_02759
BSU01780	RSBDBR229_00504
BSU25310	RSBDBR229_02268
BSU33500	RSBDBR229_00160
BSU02510	RSBDBR229_03473
BSU03600	RSBDBR229_02489
BSU27610	RSBDBR229_00291
BSU35920	RSBDBR229_04175
BSU03280	RSBDBR229_03765
BSU22960	RSBDBR229_03038
BSU11710	RSBDBR229_00102
BSU08850	RSBDBR229_01831
