KPN_04245	b3956
KPN_03397	b2965
KPN_03397	b0693
KPN_04002	b3924
KPN_04005	b3919
KPN_04247	b3958
KPN_04246	b3957
KPN_04249	b3960
KPN_04007	b3918
KPN_04248	b3959
KPN_04008	b3917
KPN_04008	b2425
KPN_03150	b3589
KPN_03150	b2799
KPN_04480	b4077
KPN_04241	b3945
KPN_03152	b2801
KPN_04482	b4079
KPN_03151	b2800
KPN_04001	b3925
KPN_04001	b2930
KPN_03396	b2964
KPN_03154	b2803
KPN_03395	b1193
KPN_03395	b2963
KPN_04242	b0825
KPN_04242	b3946
KPN_03153	b2802
KPN_02055	b2224
KPN_04476	b4067
KPN_04234	b3940
KPN_04233	b3939
KPN_04478	b4069
KPN_03388	b2954
KPN_04239	b3941
KPN_03380	b2947
KPN_02293	b2296
KPN_02293	b3115
KPN_03140	b1814
KPN_03140	b4471
KPN_03140	b2797
KPN_02294	b3116
KPN_02295	b3117
KPN_02054	b2222
KPN_01197	b1779
KPN_03376	b2943
KPN_03376	b2841
KPN_04223	b3916
KPN_03375	b2942
KPN_01198	b1778
KPN_04222	b3915
KPN_04225	b3930
KPN_03139	b2796
KPN_03130	b2787
KPN_03130	b2788
KPN_03132	b3691
KPN_03132	b2789
KPN_03374	b2938
KPN_01195	b1781
KPN_03131	b2787
KPN_03131	b2788
KPN_03373	b2937
KPN_03119	b2764
KPN_03123	b2779
KPN_00096	b0092
KPN_04212	b3903
KPN_00095	b0091
KPN_04211	b3902
KPN_00094	b0090
KPN_03125	b2781
KPN_03124	b2780
KPN_04213	b3904
KPN_00092	b0088
KPN_04216	b3907
KPN_00091	b0087
KPN_03126	b2784
KPN_00090	b0086
KPN_04217	b1656
KPN_04217	b3908
KPN_00918	b0886
KPN_00919	b0887
KPN_04289	b2039
KPN_04289	b3789
KPN_04288	b2041
KPN_04288	b3788
KPN_04280	b3779
KPN_04282	b3781
KPN_04285	b3785
KPN_04284	b3784
KPN_04287	b3787
KPN_04286	b3786
KPN_04044	b2429
KPN_00909	b0875
KPN_00903	b0870
KPN_00904	b0871
KPN_04270	b3771
KPN_03183	b1993
KPN_04271	b3772
KPN_03182	b1991
KPN_04273	b3774
KPN_04267	b3671
KPN_04267	b0077
KPN_04269	b3770
KPN_02080	b2200
KPN_02081	b2201
KPN_04256	b3967
KPN_04013	b3654
KPN_04013	b2882
KPN_04255	b3966
KPN_02079	b2199
KPN_03161	b1680
KPN_03161	b2810
KPN_04492	b4094
KPN_04010	b3927
KPN_04251	b3962
KPN_04012	b3653
KPN_04011	b3926
KPN_03164	b2813
KPN_00039	b0031
KPN_03549	b2093
KPN_03548	b2094
KPN_01129	b1123
KPN_00041	b0033
KPN_03794	b3428
KPN_01131	b1125
KPN_02462	b4358
KPN_01132	b0855
KPN_01132	b1126
KPN_01132	b1441
KPN_00040	b0032
KPN_02463	b1991
KPN_00282	b0241
KPN_03551	b2091
KPN_00281	b0242
KPN_03796	b3430
KPN_02464	b1992
KPN_00280	b0243
