YPO1049	RSBA7_01368
YPO2016	RSBA7_02599
YPO1048	RSBA7_01370
YPO2499	RSBA7_01212
YPO2256	RSBA7_04940
YPO2256	RSBA7_01211
YPO1166	RSBA7_02402
YPO1166	RSBA7_02897
YPO2014	RSBA7_00396
YPO1046	RSBA7_01366
YPO2013	RSBA7_00394
YPO2496	RSBA7_04925
YPO2496	RSBA7_03728
YPO3222	RSBA7_02513
YPO3221	RSBA7_02449
YPO1041	RSBA7_01352
YPO2372	RSBA7_00501
YPO2370	RSBA7_00818
YPO0070	RSBA7_01119
YPO0068	RSBA7_00357
YPO3215	RSBA7_02731
YPO3578	RSBA7_00412
YPO3577	RSBA7_00413
YPO0066	RSBA7_00355
YPO1395	RSBA7_02019
YPO1396	RSBA7_02295
YPO1151	RSBA7_00224
YPO1152	RSBA7_01463
YPO1391	RSBA7_00887
YPO1390	RSBA7_00886
YPO3569	RSBA7_02714
YPO0059	RSBA7_03889
YPO1146	RSBA7_04503
YPO0057	RSBA7_00608
YPO1389	RSBA7_00882
YPO0058	RSBA7_00894
YPO1147	RSBA7_04814
YPO1023	RSBA7_02302
YPO0055	RSBA7_00746
YPO3443	RSBA7_02057
YPO0056	RSBA7_00745
YPO0053	RSBA7_00389
YPO3441	RSBA7_02193
YPO1022	RSBA7_01219
YPO3319	RSBA7_00825
YPO1139	RSBA7_04470
YPO0169	RSBA7_02582
YPO0048	RSBA7_02240
YPO1379	RSBA7_02104
YPO3558	RSBA7_05015
YPO3557	RSBA7_02726
YPO0047	RSBA7_02242
YPO3312	RSBA7_02819
YPO1133	RSBA7_00353
YPO3796	RSBA7_01233
YPO0045	RSBA7_00137
YPO3795	RSBA7_01234
YPO2222	RSBA7_03616
YPO2221	RSBA7_01846
YPO3794	RSBA7_01235
YPO3793	RSBA7_01236
YPO3430	RSBA7_02523
YPO1374	RSBA7_02121
YPO0040	RSBA7_01976
YPO0161	RSBA7_04567
YPO0162	RSBA7_01647
YPO0160	RSBA7_04566
YPO0158	RSBA7_02198
YPO3305	RSBA7_00845
YPO0038	RSBA7_01974
YPO3788	RSBA7_04118
YPO1127	RSBA7_02228
YPO3424	RSBA7_02227
YPO2214	RSBA7_04167
YPO3423	RSBA7_02500
YPO0155	RSBA7_02579
YPO0152	RSBA7_02730
YPO3781	RSBA7_00463
YPO2692	RSBA7_03076
YPO3660	RSBA7_02481
YPO2691	RSBA7_03077
YPO2690	RSBA7_03078
YPO3419	RSBA7_01642
YPO3418	RSBA7_01641
YPO2329	RSBA7_02900
YPO1238	RSBA7_02956
YPO1238	RSBA7_00024
YPO3659	RSBA7_02482
YPO3417	RSBA7_01639
YPO2206	RSBA7_02584
YPO2206	RSBA7_04113
YPO2206	RSBA7_04112
YPO3658	RSBA7_02483
YPO3779	RSBA7_00466
YPO2205	RSBA7_02585
YPO2205	RSBA7_04114
YPO1599	RSBA7_01024
YPO1115	RSBA7_00577
YPO3899	RSBA7_00610
YPO1116	RSBA7_00578
YPO2204	RSBA7_01824
YPO0024	RSBA7_03891
YPO0024	RSBA7_01227
YPO0145	RSBA7_02737
YPO1597	RSBA7_01022
YPO1113	RSBA7_01238
YPO1598	RSBA7_01023
YPO1114	RSBA7_01239
YPO1111	RSBA7_01836
YPO1112	RSBA7_01835
YPO3530	RSBA7_03060
YPO3771	RSBA7_02750
YPO1108	RSBA7_01833
YPO3407	RSBA7_00235
YPO3769	RSBA7_00762
YPO3767	RSBA7_02068
YPO3525	RSBA7_00815
YPO0378	RSBA7_01191
YPO3403	RSBA7_02439
YPO3402	RSBA7_02169
YPO3401	RSBA7_02342
YPO2554	RSBA7_01905
YPO2433	RSBA7_01666
YPO1587	RSBA7_00493
YPO0253	RSBA7_01797
YPO3400	RSBA7_02340
YPO3521	RSBA7_02129
YPO3520	RSBA7_01966
YPO0493	RSBA7_00524
YPO2551	RSBA7_01901
YPO3760	RSBA7_02312
YPO0490	RSBA7_00729
YPO3519	RSBA7_02478
YPO0008	RSBA7_00986
YPO2429	RSBA7_01662
YPO2549	RSBA7_01899
YPO2428	RSBA7_01661
YPO0006	RSBA7_01616
YPO0006	RSBA7_03688
YPO2548	RSBA7_01898
YPO3999	RSBA7_01780
YPO3999	RSBA7_02561
YPO0246	RSBA7_02473
YPO2425	RSBA7_02180
YPO2303	RSBA7_03854
YPO2303	RSBA7_02438
YPO1215	RSBA7_00877
YPO2545	RSBA7_01895
YPO3513	RSBA7_02517
YPO2302	RSBA7_02441
YPO2302	RSBA7_03856
YPO0486	RSBA7_00935
YPO2422	RSBA7_01290
YPO2421	RSBA7_01289
YPO1332	RSBA7_01551
YPO2420	RSBA7_01287
YPO0364	RSBA7_03288
YPO3992	RSBA7_00292
YPO0482	RSBA7_01747
YPO0241	RSBA7_00077
YPO0480	RSBA7_02453
YPO0481	RSBA7_01749
YPO1570	RSBA7_02315
YPO1207	RSBA7_04902
YPO2539	RSBA7_03851
YPO4037	RSBA7_04939
YPO4036	RSBA7_04940
YPO4036	RSBA7_01211
YPO4035	RSBA7_04941
YPO3183	RSBA7_00769
YPO3062	RSBA7_01102
YPO3182	RSBA7_00766
YPO3180	RSBA7_02465
YPO0907	RSBA7_02973
YPO0905	RSBA7_02975
YPO0906	RSBA7_02974
YPO3179	RSBA7_02466
YPO3177	RSBA7_02042
YPO3176	RSBA7_02043
YPO3053	RSBA7_01349
YPO3167	RSBA7_02613
YPO3166	RSBA7_02614
YPO3286	RSBA7_02371
YPO3286	RSBA7_00794
YPO3165	RSBA7_02615
YPO3164	RSBA7_02616
YPO2074	RSBA7_02552
YPO2074	RSBA7_00544
YPO3162	RSBA7_00149
YPO4127	RSBA7_03019
YPO4126	RSBA7_03018
YPO4125	RSBA7_03017
YPO2067	RSBA7_04537
YPO3034	RSBA7_02464
YPO3034	RSBA7_01963
YPO2066	RSBA7_04881
YPO4123	RSBA7_03015
YPO4001	RSBA7_01343
YPO4122	RSBA7_03014
YPO4000	RSBA7_01779
YPO4000	RSBA7_02562
YPO4121	RSBA7_03013
YPO3032	RSBA7_02011
YPO4120	RSBA7_03012
YPO4120	RSBA7_03982
YPO4119	RSBA7_00170
YPO4118	RSBA7_00171
YPO4117	RSBA7_01739
YPO4116	RSBA7_01738
YPO3389	RSBA7_00714
YPO4115	RSBA7_01737
YPO4114	RSBA7_01736
YPO2054	RSBA7_00473
YPO3142	RSBA7_00343
YPO2053	RSBA7_00471
YPO2174	RSBA7_00892
YPO2293	RSBA7_01921
YPO3380	RSBA7_01668
YPO1199	RSBA7_02279
YPO3015	RSBA7_01304
YPO3377	RSBA7_01083
YPO3014	RSBA7_01309
YPO2167	RSBA7_02526
YPO2288	RSBA7_04820
YPO3376	RSBA7_01086
YPO3013	RSBA7_01310
YPO3012	RSBA7_01311
YPO3132	RSBA7_00015
YPO3132	RSBA7_03967
YPO3132	RSBA7_03966
YPO3011	RSBA7_00896
YPO1075	RSBA7_01111
YPO1072	RSBA7_00900
YPO1073	RSBA7_00899
YPO2160	RSBA7_01529
YPO2158	RSBA7_01541
YPO2157	RSBA7_02457
YPO3366	RSBA7_02200
