H16_B0626	RSc2421
H16_B0627	RSc2422
H16_B1956	RSc1106
H16_B1956	RSp0065
H16_B1956	RSc1873
H16_B0622	RSp0979
H16_B1951	RSc1734
H16_B0618	RSp0886
H16_B0618	RSc1258
H16_B1949	RSp0331
H16_B1949	RSp0185
H16_B1944	RSc0242
H16_B0614	RSp1230
H16_B1942	RSc0239
H16_B1979	RSp1321
H16_B1979	RSp1352
H16_B1977	RSc3119
H16_B0646	RSp1059
H16_B1978	RSp0689
H16_B1971	RSc3387
H16_B0641	RSp0048
H16_B0641	RSc1103
H16_B1972	RSp1328
H16_B1972	RSp1359
H16_B0633	RSp0232
H16_B1965	RSc2976
H16_B1960	RSc3128
H16_B1960	RSc2110
H16_B1910	RSc3209
H16_B1907	RSc2019
H16_B1904	RSc1052
H16_B1900	RSp1126
H16_A2192	RSc0188
H16_A2192	RSc1511
H16_B1939	RSc3128
H16_B1939	RSc2110
H16_B1938	RSc0241
H16_B1935	RSp1158
H16_B1936	RSc0243
H16_B1933	RSp0981
H16_B0603	RSp0816
H16_B1930	RSc2704
H16_B1928	RSc2700
H16_B1928	RSc2698
H16_B1929	RSc3156
H16_B1927	RSc2700
H16_B1927	RSc2698
H16_B1924	RSc2239
H16_B1924	RSc2998
H16_B1925	RSc2703
H16_B1922	RSp0662
H16_A3499	RSc3036
H16_A3490	RSc3020
H16_A3492	RSc3022
H16_A3492	RSp0804
H16_A3491	RSc3041
H16_A3491	RSc3021
H16_A3494	RSc3024
H16_A3493	RSc3023
H16_A2165	RSp1198
H16_A3496	RSc3033
H16_A2164	RSp1197
H16_A3495	RSc3025
H16_A2167	RSp0489
H16_A2167	RSp0655
H16_A3498	RSc3035
H16_A3497	RSc3034
H16_A3489	RSc1832
H16_A3481	RSc3016
H16_A3480	RSc3015
H16_A3483	RSc3018
H16_A3482	RSc3017
H16_A2154	RSc2255
H16_A3485	RSc1836
H16_A3484	RSc3019
H16_A3487	RSc1838
H16_A3486	RSc1837
H16_A2181	RSc0099
H16_A2180	RSp1129
H16_A2183	RSc0097
H16_A2182	RSc0098
H16_A2185	RSp0926
H16_A2184	RSp0925
H16_A2187	RSp0928
H16_A2186	RSp0927
H16_A2189	RSp0447
H16_A2188	RSp0929
H16_A2172	RSc1605
H16_A2174	RSp0637
H16_A2173	RSc3348
H16_A2178	RSp1128
H16_A2177	RSp1128
H16_A2125	RSc0922
H16_A2125	RSc3386
H16_A3456	RSc2991
H16_A3455	RSc2990
H16_A3458	RSc2993
H16_A3457	RSc2992
H16_A3459	RSc2994
H16_B1076	RSc0743
H16_B1076	RSc2660
H16_B1077	RSp0660
H16_B1071	RSp1268
H16_A3450	RSc2986
H16_A3452	RSc2988
H16_A2121	RSc1364
H16_A3451	RSc2987
H16_A2120	RSc1365
H16_A3453	RSc2989
H16_A2122	RSp1245
H16_A2114	RSc1370
H16_A3445	RSc2981
H16_A2113	RSc1371
H16_A3444	RSc2980
H16_A2116	RSc1369
H16_A3447	RSc2983
H16_A3446	RSc2982
H16_A2118	RSc1367
H16_A3449	RSc2985
H16_A2117	RSc1368
H16_A3448	RSc2984
H16_A2119	RSc1366
H16_B1067	RSc0319
H16_B2399	RSc3277
H16_B2394	RSc3250
H16_B1061	RSp0799
H16_B1062	RSp0800
H16_B1060	RSp0798
RALH10402	RSc0744
H16_A3441	RSc2976
H16_A2110	RSc1373
H16_A3440	RSc2975
H16_A2112	RSc1372
H16_A3443	RSc2979
H16_A3442	RSc2977
H16_A3478	RSc3013
H16_A3477	RSc3012
H16_A3479	RSc3014
H16_B1096	RSc1302
H16_B1094	RSc2567
H16_B1093	RSc2570
H16_B1093	RSc2566
H16_A3470	RSc3005
H16_B1090	RSc0221
