KPN_04005	RSK60_03114
KPN_03036	RSK60_00786
KPN_04249	RSK60_02864
KPN_04008	RSK60_00329
KPN_01090	RSK60_00669
KPN_01091	RSK60_00668
KPN_02180	RSK60_03364
KPN_01092	RSK60_00667
KPN_01093	RSK60_00666
KPN_02061	RSK60_00172
KPN_01096	RSK60_00126
KPN_02055	RSK60_03492
KPN_02176	RSK60_03368
KPN_04478	RSK60_03223
KPN_01089	RSK60_00670
KPN_03268	RSK60_03492
KPN_03389	RSK60_03042
KPN_03388	RSK60_03043
KPN_04239	RSK60_01626
KPN_03029	RSK60_00894
KPN_03380	RSK60_01398
KPN_03140	RSK60_01889
KPN_04350	RSK60_02662
KPN_02295	RSK60_04958
KPN_02054	RSK60_03356
KPN_02054	RSK60_02946
KPN_02175	RSK60_03369
KPN_01197	RSK60_02512
KPN_03375	RSK60_01589
KPN_01198	RSK60_00094
KPN_02169	RSK60_02819
KPN_03016	RSK60_03884
KPN_02160	RSK60_00248
KPN_03130	RSK60_00638
KPN_02162	RSK60_00943
KPN_02162	RSK60_02600
KPN_03132	RSK60_04330
KPN_01074	RSK60_01209
KPN_03131	RSK60_00638
KPN_04329	RSK60_01239
KPN_03123	RSK60_00552
KPN_00096	RSK60_02415
KPN_03244	RSK60_00297
KPN_00095	RSK60_02414
KPN_00094	RSK60_02413
KPN_03124	RSK60_00555
KPN_04576	RSK60_00447
KPN_04337	RSK60_00976
KPN_00091	RSK60_02410
KPN_03126	RSK60_03362
KPN_04339	RSK60_02947
KPN_00090	RSK60_02409
KPN_04217	RSK60_02684
KPN_02392	RSK60_04628
KPN_02393	RSK60_04627
KPN_04331	RSK60_01236
KPN_04289	RSK60_01009
KPN_04288	RSK60_01011
KPN_03194	RSK60_04112
KPN_04282	RSK60_00485
KPN_03193	RSK60_04111
KPN_04287	RSK60_04488
KPN_04286	RSK60_04489
KPN_04286	RSK60_04020
KPN_04157	RSK60_00706
KPN_04399	RSK60_01446
KPN_03183	RSK60_02827
KPN_04271	RSK60_01247
KPN_04395	RSK60_00303
KPN_04152	RSK60_04561
KPN_04152	RSK60_03480
KPN_03184	RSK60_02828
KPN_04155	RSK60_00424
KPN_04397	RSK60_01468
KPN_04154	RSK60_00425
KPN_04154	RSK60_05093
KPN_04396	RSK60_00307
KPN_04267	RSK60_03101
KPN_04388	RSK60_01191
KPN_04387	RSK60_03005
KPN_04269	RSK60_01116
KPN_04142	RSK60_01856
KPN_04141	RSK60_01857
KPN_04143	RSK60_01855
KPN_04135	RSK60_01550
KPN_04256	RSK60_03220
KPN_03045	RSK60_01026
KPN_04134	RSK60_01549
KPN_04376	RSK60_01610
KPN_04137	RSK60_01861
KPN_04379	RSK60_01875
KPN_04136	RSK60_01862
KPN_04136	RSK60_04313
KPN_04139	RSK60_01859
KPN_04138	RSK60_01860
KPN_02193	RSK60_03237
KPN_02193	RSK60_02391
KPN_02194	RSK60_03238
KPN_02194	RSK60_02390
KPN_04131	RSK60_03302
KPN_04130	RSK60_03303
KPN_04372	RSK60_01613
KPN_04133	RSK60_03300
KPN_04375	RSK60_01614
KPN_04374	RSK60_01391
