KPN_00316	BSU28130
KPN_00678	BSU27430
KPN_00678	BSU23960
KPN_00678	BSU29340
KPN_00678	BSU03590
KPN_03947	BSU34190
KPN_03947	BSU03060
KPN_03825	BSU03900
KPN_01099	BSU07700
KPN_01099	BSU13890
KPN_01099	BSU02350
KPN_01099	BSU39270
KPN_04005	BSU33920
KPN_04247	BSU11190
KPN_03952	BSU22830
KPN_04249	BSU29440
KPN_03951	BSU00930
KPN_02743	BSU04360
KPN_04008	BSU33370
KPN_02744	BSU39410
KPN_01090	BSU15900
KPN_01091	BSU15910
KPN_00323	BSU04560
KPN_01093	BSU11340
KPN_04480	BSU02340
KPN_04480	BSU10220
KPN_00440	BSU40850
KPN_00309	BSU40330
KPN_00309	BSU02400
KPN_00309	BSU39390
KPN_00309	BSU37760
KPN_03812	BSU30290
KPN_02845	BSU25070
KPN_01636	BSU02430
KPN_01636	BSU14830
KPN_02848	BSU22730
KPN_01517	BSU33040
KPN_02055	BSU24170
KPN_04476	BSU38240
KPN_01880	BSU37280
KPN_04233	BSU11880
KPN_04233	BSU11870
KPN_04233	BSU27250
KPN_01089	BSU11330
KPN_01881	BSU37270
KPN_03268	BSU24170
KPN_00792	BSU39370
KPN_01640	BSU12380
KPN_02059	BSU36000
KPN_00795	BSU39360
KPN_00796	BSU39350
KPN_03943	BSU03990
KPN_03942	BSU03981
KPN_00312	BSU08830
KPN_04591	BSU28780
KPN_02293	BSU29470
KPN_03140	BSU15860
KPN_02054	BSU38980
KPN_04352	BSU23760
KPN_00414	BSU36510
KPN_02833	BSU06360
KPN_03801	BSU03150
KPN_02834	BSU00090
KPN_03009	BSU02990
KPN_00778	BSU33390
KPN_00537	BSU30530
KPN_03929	BSU17600
KPN_03807	BSU18410
KPN_01197	BSU33940
KPN_01197	BSU29020
KPN_04223	BSU29190
KPN_03375	BSU30550
KPN_01198	BSU21680
KPN_01994	BSU25020
KPN_03931	BSU35940
KPN_03130	BSU02490
KPN_03132	BSU02480
KPN_03131	BSU02490
KPN_02702	BSU06490
KPN_04329	BSU22750
KPN_03119	BSU33440
KPN_02824	BSU06500
KPN_02706	BSU29210
KPN_03123	BSU33900
KPN_04212	BSU31180
KPN_03124	BSU37150
KPN_04576	BSU40420
KPN_00771	BSU38200
KPN_04213	BSU31200
KPN_03006	BSU17380
KPN_00091	BSU15190
KPN_00773	BSU38860
KPN_03008	BSU02980
KPN_04217	BSU25020
KPN_03007	BSU17390
KPN_00116	BSU30530
KPN_03746	BSU00750
KPN_04838	BSU39400
KPN_04839	BSU23500
KPN_02660	BSU30800
KPN_04840	BSU19630
KPN_04601	BSU30530
KPN_03754	BSU15610
KPN_03754	BSU03280
KPN_03996	BSU15680
KPN_01455	BSU19310
KPN_03998	BSU27600
KPN_00367	BSU23250
KPN_00366	BSU23280
KPN_00484	BSU24310
KPN_04286	BSU35660
KPN_04044	BSU01680
KPN_00106	BSU29060
KPN_02646	BSU02140
KPN_02769	BSU00730
KPN_02769	BSU27260
KPN_03979	BSU15700
KPN_04157	BSU35920
KPN_04156	BSU35960
KPN_02773	BSU33370
KPN_02410	BSU16920
KPN_01202	BSU31760
KPN_03745	BSU11220
KPN_03624	BSU18450
KPN_00478	BSU06420
KPN_04270	BSU21870
KPN_04271	BSU21770
KPN_00111	BSU27860
KPN_04153	BSU35930
KPN_04394	BSU21910
KPN_04155	BSU35950
KPN_04154	BSU35940
KPN_00699	BSU02360
KPN_00699	BSU35020
KPN_02519	BSU27330
KPN_04267	BSU28310
KPN_04388	BSU06520
KPN_04387	BSU06530
KPN_02761	BSU00730
KPN_02761	BSU27260
KPN_00585	BSU19310
KPN_03974	BSU15020
KPN_02763	BSU13910
KPN_00587	BSU30070
KPN_00464	BSU33500
KPN_04142	BSU36860
KPN_00342	BSU29600
KPN_00342	BSU26690
KPN_03956	BSU33910
KPN_01538	BSU38990
KPN_01539	BSU38980
KPN_04135	BSU00500
KPN_02991	BSU19310
KPN_04134	BSU01780
KPN_04134	BSU30540
KPN_04134	BSU10790
KPN_04376	BSU08790
KPN_04137	BSU36810
KPN_04379	BSU10120
KPN_03961	BSU16990
KPN_04136	BSU36800
KPN_04139	BSU36830
KPN_04138	BSU36820
KPN_03962	BSU17000
KPN_03962	BSU30220
KPN_02876	BSU36900
KPN_00456	BSU01370
KPN_00213	BSU32750
KPN_00212	BSU32740
KPN_00211	BSU32730
KPN_02194	BSU12950
KPN_04130	BSU24950
KPN_04130	BSU24960
KPN_00451	BSU22070
KPN_00451	BSU27610
KPN_02195	BSU12940
KPN_02196	BSU12930
KPN_04011	BSU09290
KPN_04081	BSU23770
KPN_00838	BSU27430
KPN_00838	BSU23960
KPN_00838	BSU29340
KPN_00838	BSU03590
KPN_00041	BSU15520
KPN_00041	BSU11240
KPN_03794	BSU30940
KPN_00040	BSU11230
KPN_00040	BSU15510
KPN_02584	BSU25300
KPN_00281	BSU13120
KPN_00281	BSU18470
KPN_01254	BSU22640
KPN_03796	BSU30970
KPN_00280	BSU13130
KPN_03432	BSU33400
KPN_03432	BSU29050
KPN_02587	BSU35940
KPN_01256	BSU22670
KPN_03798	BSU30980
KPN_01015	BSU04000
KPN_00169	BSU08710
KPN_00169	BSU28120
KPN_04085	BSU08180
KPN_00045	BSU21810
KPN_00166	BSU33290
KPN_00166	BSU03820
KPN_00166	BSU07490
KPN_04086	BSU08200
KPN_01492	BSU37790
KPN_01492	BSU22960
KPN_01493	BSU11220
KPN_02206	BSU13110
KPN_00700	BSU07700
KPN_00700	BSU13890
KPN_00700	BSU02350
KPN_00700	BSU39270
KPN_04505	BSU30300
KPN_02330	BSU15860
KPN_00393	BSU38160
KPN_00393	BSU14900
KPN_00392	BSU38150
KPN_03540	BSU02510
KPN_03785	BSU40070
KPN_03785	BSU19520
KPN_03664	BSU24350
KPN_03543	BSU37120
KPN_03543	BSU39670
KPN_02696	BSU27430
KPN_02696	BSU23960
KPN_02696	BSU29340
KPN_02696	BSU03590
KPN_00390	BSU12080
KPN_01123	BSU22090
KPN_02333	BSU27060
KPN_02213	BSU37270
KPN_02334	BSU27050
KPN_03665	BSU24340
KPN_02214	BSU37280
KPN_02335	BSU27040
KPN_01125	BSU36920
KPN_01127	BSU17890
KPN_03304	BSU05340
KPN_04074	BSU28310
KPN_00394	BSU38170
KPN_01906	BSU30530
KPN_00139	BSU22410
KPN_04615	BSU21690
KPN_01228	BSU03130
KPN_00935	BSU10020
KPN_00937	BSU22890
KPN_00140	BSU22420
KPN_01474	BSU18220
KPN_02322	BSU28560
KPN_02322	BSU10270
KPN_02564	BSU33800
KPN_02564	BSU33720
KPN_02564	BSU33700
KPN_02564	BSU33820
KPN_03410	BSU11880
KPN_03410	BSU11870
KPN_03410	BSU27250
KPN_03773	BSU30560
KPN_04623	BSU35940
KPN_02202	BSU35670
KPN_01476	BSU24160
KPN_02565	BSU33830
KPN_02565	BSU33730
KPN_03896	BSU12950
KPN_02566	BSU33800
KPN_02566	BSU33720
KPN_02566	BSU33700
KPN_02566	BSU33820
KPN_02687	BSU29470
KPN_01236	BSU08820
KPN_01236	BSU39050
KPN_01236	BSU38630
KPN_03536	BSU40040
KPN_02688	BSU37660
KPN_00142	BSU00790
KPN_00020	BSU29300
KPN_00020	BSU16670
KPN_00141	BSU22430
KPN_00007	BSU02420
KPN_00007	BSU27810
KPN_00007	BSU18120
KPN_03757	BSU15790
KPN_03878	BSU04470
KPN_00920	BSU34790
KPN_04607	BSU07840
KPN_03519	BSU12390
KPN_02550	BSU38020
KPN_02550	BSU11710
KPN_02792	BSU37660
KPN_04178	BSU17460
KPN_03760	BSU22700
KPN_02551	BSU38300
KPN_01221	BSU11220
KPN_03520	BSU12300
KPN_02797	BSU29220
KPN_02799	BSU17890
KPN_00256	BSU03910
KPN_00255	BSU03900
KPN_00254	BSU06310
KPN_00133	BSU00680
KPN_00373	BSU24280
KPN_00372	BSU24270
KPN_02812	BSU16770
KPN_03108	BSU00910
KPN_00513	BSU38040
KPN_00514	BSU38050
KPN_00756	BSU26650
KPN_03112	BSU15600
KPN_00082	BSU28310
KPN_03355	BSU33930
KPN_03357	BSU17890
KPN_03599	BSU36760
KPN_03599	BSU37100
KPN_00080	BSU28280
KPN_03236	BSU21820
KPN_04325	BSU13180
KPN_03118	BSU33430
KPN_02820	BSU15480
KPN_02821	BSU36890
KPN_04308	BSU32170
KPN_00626	BSU13560
KPN_00627	BSU13550
KPN_04674	BSU39730
KPN_02133	BSU29180
KPN_00073	BSU23080
KPN_00193	BSU36370
KPN_03587	BSU00770
KPN_04313	BSU08000
KPN_03466	BSU36650
KPN_03586	BSU01770
KPN_03465	BSU36660
KPN_04675	BSU39700
KPN_00992	BSU22480
KPN_02499	BSU23860
KPN_03467	BSU36640
KPN_04677	BSU39720
KPN_02810	BSU06450
KPN_00079	BSU28270
KPN_04670	BSU39760
KPN_00078	BSU28260
KPN_00077	BSU28250
KPN_00198	BSU29200
KPN_04430	BSU25310
KPN_01284	BSU11720
KPN_03461	BSU31150
KPN_04671	BSU39750
KPN_01042	BSU03220
KPN_01042	BSU06660
KPN_00733	BSU19360
KPN_00612	BSU31980
KPN_00734	BSU16090
KPN_00613	BSU31970
KPN_00735	BSU16100
KPN_00614	BSU32000
KPN_00736	BSU38760
KPN_00737	BSU38750
KPN_00184	BSU16510
KPN_02364	BSU02230
KPN_00061	BSU28800
KPN_00060	BSU28780
KPN_01277	BSU15550
KPN_04422	BSU34150
KPN_04422	BSU34600
KPN_02367	BSU23850
KPN_04304	BSU28150
KPN_02481	BSU34870
KPN_00187	BSU16530
KPN_02482	BSU34860
KPN_01272	BSU18000
KPN_00186	BSU16550
KPN_03330	BSU40110
KPN_01018	BSU19310
KPN_04529	BSU23570
KPN_00606	BSU33290
KPN_00606	BSU03820
KPN_00606	BSU07490
KPN_02594	BSU40330
KPN_02594	BSU02400
KPN_02594	BSU39390
KPN_02594	BSU37760
KPN_04652	BSU07800
KPN_04651	BSU07810
KPN_04651	BSU34560
