KPN_04005	RSCFB2957_01973
KPN_03036	RSCFB2957_00848
KPN_04249	RSCFB2957_02212
KPN_04008	RSCFB2957_01315
KPN_01090	RSCFB2957_00976
KPN_01091	RSCFB2957_00977
KPN_02180	RSCFB2957_01732
KPN_01092	RSCFB2957_00978
KPN_01093	RSCFB2957_00979
KPN_02061	RSCFB2957_02182
KPN_01096	RSCFB2957_01517
KPN_02055	RSCFB2957_01665
KPN_02176	RSCFB2957_01728
KPN_04478	RSCFB2957_01866
KPN_01089	RSCFB2957_00975
KPN_03268	RSCFB2957_01665
KPN_03389	RSCFB2957_02044
KPN_03388	RSCFB2957_02043
KPN_04239	RSCFB2957_00098
KPN_03029	RSCFB2957_00790
KPN_03380	RSCFB2957_00301
KPN_03140	RSCFB2957_03063
KPN_04350	RSCFB2957_02415
KPN_02295	RSCFB2957_04795
KPN_02054	RSCFB2957_01738
KPN_02054	RSCFB2957_02149
KPN_02175	RSCFB2957_01727
KPN_01197	RSCFB2957_02559
KPN_03375	RSCFB2957_00130
KPN_01198	RSCFB2957_01549
KPN_02169	RSCFB2957_02256
KPN_03016	RSCFB2957_03532
KPN_02160	RSCFB2957_01390
KPN_03130	RSCFB2957_01008
KPN_02162	RSCFB2957_00741
KPN_02162	RSCFB2957_02475
KPN_03132	RSCFB2957_04081
KPN_01074	RSCFB2957_00448
KPN_03131	RSCFB2957_01008
KPN_04329	RSCFB2957_00418
KPN_03123	RSCFB2957_01096
KPN_00096	RSCFB2957_02639
KPN_03244	RSCFB2957_01341
KPN_00095	RSCFB2957_02640
KPN_00094	RSCFB2957_02641
KPN_03124	RSCFB2957_01093
KPN_04576	RSCFB2957_01201
KPN_04337	RSCFB2957_00709
KPN_00091	RSCFB2957_02644
KPN_03126	RSCFB2957_01734
KPN_04339	RSCFB2957_02148
KPN_00090	RSCFB2957_02645
KPN_04217	RSCFB2957_02393
KPN_02392	RSCFB2957_03994
KPN_02392	RSCFB2957_04400
KPN_02393	RSCFB2957_04399
KPN_04331	RSCFB2957_00421
KPN_00918	RSCFB2957_04456
KPN_04289	RSCFB2957_00683
KPN_04288	RSCFB2957_00681
KPN_03194	RSCFB2957_03900
KPN_04282	RSCFB2957_01162
KPN_03193	RSCFB2957_03899
KPN_04287	RSCFB2957_04262
KPN_04286	RSCFB2957_03695
KPN_04286	RSCFB2957_04263
KPN_04157	RSCFB2957_00939
KPN_04399	RSCFB2957_00248
KPN_03183	RSCFB2957_02248
KPN_04271	RSCFB2957_00410
KPN_04395	RSCFB2957_01335
KPN_04152	RSCFB2957_01677
KPN_04152	RSCFB2957_04336
KPN_03184	RSCFB2957_02247
KPN_04155	RSCFB2957_01222
KPN_04397	RSCFB2957_00232
KPN_04154	RSCFB2957_04905
KPN_04154	RSCFB2957_01221
KPN_04396	RSCFB2957_01331
KPN_04267	RSCFB2957_01985
KPN_04388	RSCFB2957_00466
KPN_04387	RSCFB2957_02090
KPN_04269	RSCFB2957_00533
KPN_04142	RSCFB2957_03096
KPN_04141	RSCFB2957_03095
KPN_04143	RSCFB2957_03097
KPN_04135	RSCFB2957_00171
KPN_04256	RSCFB2957_01869
KPN_03045	RSCFB2957_00666
KPN_04134	RSCFB2957_00172
KPN_04376	RSCFB2957_00111
KPN_04137	RSCFB2957_03091
KPN_04379	RSCFB2957_03077
KPN_04136	RSCFB2957_04060
KPN_04136	RSCFB2957_03090
KPN_04139	RSCFB2957_03093
KPN_04138	RSCFB2957_03092
KPN_02193	RSCFB2957_01850
KPN_02193	RSCFB2957_02663
KPN_02194	RSCFB2957_01849
KPN_02194	RSCFB2957_02664
KPN_04131	RSCFB2957_01792
KPN_04130	RSCFB2957_01791
KPN_04372	RSCFB2957_00108
KPN_04133	RSCFB2957_01794
KPN_04375	RSCFB2957_00107
KPN_04374	RSCFB2957_00307
KPN_04011	RSCFB2957_02866
KPN_04132	RSCFB2957_01793
KPN_00039	RSCFB2957_02555
KPN_03428	RSCFB2957_03893
