XOO1903	RSBA7_01419
XOO0812	RSBA7_01330
XOO1900	RSBA7_01167
XOO0811	RSBA7_01917
XOO0817	RSBA7_04629
XOO0817	RSBA7_00559
XOO0817	RSBA7_04815
XOO0817	RSBA7_04903
XOO0817	RSBA7_01938
XOO0817	RSBA7_05040
XOO0817	RSBA7_02161
XOO0817	RSBA7_04494
XOO0817	RSBA7_05074
XOO0817	RSBA7_03162
XOO0817	RSBA7_05031
XOO0817	RSBA7_05048
XOO0817	RSBA7_04421
XOO0817	RSBA7_04420
XOO0817	RSBA7_04961
XOO0817	RSBA7_00201
XOO0817	RSBA7_03228
XOO0817	RSBA7_03315
XOO0817	RSBA7_04813
XOO1906	RSBA7_03379
XOO3090	RSBA7_04629
XOO3090	RSBA7_00559
XOO3090	RSBA7_04815
XOO3090	RSBA7_04903
XOO3090	RSBA7_01938
XOO3090	RSBA7_05040
XOO3090	RSBA7_02161
XOO3090	RSBA7_04494
XOO3090	RSBA7_05074
XOO3090	RSBA7_03162
XOO3090	RSBA7_05031
XOO3090	RSBA7_05048
XOO3090	RSBA7_04421
XOO3090	RSBA7_04420
XOO3090	RSBA7_04961
XOO3090	RSBA7_00201
XOO3090	RSBA7_03228
XOO3090	RSBA7_03315
XOO3090	RSBA7_04813
XOO4181	RSBA7_04629
XOO4181	RSBA7_00559
XOO4181	RSBA7_04815
XOO4181	RSBA7_04903
XOO4181	RSBA7_01938
XOO4181	RSBA7_05040
XOO4181	RSBA7_02161
XOO4181	RSBA7_04494
XOO4181	RSBA7_05074
XOO4181	RSBA7_03162
XOO4181	RSBA7_05031
XOO4181	RSBA7_05048
XOO4181	RSBA7_04421
XOO4181	RSBA7_04420
XOO4181	RSBA7_04961
XOO4181	RSBA7_00201
XOO4181	RSBA7_03228
XOO4181	RSBA7_03315
XOO4181	RSBA7_04813
XOO3098	RSBA7_00381
XOO4188	RSBA7_04544
XOO4189	RSBA7_04545
XOO4185	RSBA7_00453
XOO1910	RSBA7_01669
XOO0801	RSBA7_01676
XOO0805	RSBA7_00272
XOO3080	RSBA7_00833
XOO3080	RSBA7_01678
XOO0809	RSBA7_02510
XOO0808	RSBA7_03161
XOO0808	RSBA7_04473
XOO0808	RSBA7_04731
XOO0808	RSBA7_04424
XOO0808	RSBA7_04427
XOO3089	RSBA7_04629
XOO3089	RSBA7_00559
XOO3089	RSBA7_04815
XOO3089	RSBA7_04903
XOO3089	RSBA7_01938
XOO3089	RSBA7_05040
XOO3089	RSBA7_02161
XOO3089	RSBA7_04494
XOO3089	RSBA7_05074
XOO3089	RSBA7_03162
XOO3089	RSBA7_05031
XOO3089	RSBA7_05048
XOO3089	RSBA7_04421
XOO3089	RSBA7_04420
XOO3089	RSBA7_04961
XOO3089	RSBA7_00201
XOO3089	RSBA7_03228
XOO3089	RSBA7_03315
XOO3089	RSBA7_04813
XOO4178	RSBA7_05054
XOO4178	RSBA7_01619
XOO4160	RSBA7_02585
XOO4160	RSBA7_04114
XOO4165	RSBA7_01408
XOO4165	RSBA7_03660
XOO4165	RSBA7_02105
XOO4165	RSBA7_02107
XOO4165	RSBA7_03604
XOO4165	RSBA7_04626
XOO3078	RSBA7_02025
XOO4161	RSBA7_02584
XOO4161	RSBA7_04113
XOO4161	RSBA7_04112
XOO3072	RSBA7_01013
XOO3073	RSBA7_01012
XOO4163	RSBA7_02582
XOO4390	RSBA7_00050
XOO4154	RSBA7_02549
XOO4398	RSBA7_00531
XOO4399	RSBA7_00533
XOO4150	RSBA7_00349
XOO4151	RSBA7_02511
XOO3063	RSBA7_01408
XOO3063	RSBA7_03660
XOO3063	RSBA7_02105
XOO3063	RSBA7_02107
XOO3063	RSBA7_03604
XOO3063	RSBA7_04626
XOO4152	RSBA7_00497
XOO4394	RSBA7_01241
XOO3064	RSBA7_04629
XOO3064	RSBA7_00559
XOO3064	RSBA7_04815
XOO3064	RSBA7_04903
XOO3064	RSBA7_01938
XOO3064	RSBA7_05040
XOO3064	RSBA7_02161
XOO3064	RSBA7_04494
XOO3064	RSBA7_05074
XOO3064	RSBA7_03162
XOO3064	RSBA7_05031
XOO3064	RSBA7_05048
XOO3064	RSBA7_04421
XOO3064	RSBA7_04420
XOO3064	RSBA7_04961
XOO3064	RSBA7_00201
XOO3064	RSBA7_03228
XOO3064	RSBA7_03315
XOO3064	RSBA7_04813
XOO4153	RSBA7_00496
XOO0615	RSBA7_01408
XOO0615	RSBA7_03660
XOO0615	RSBA7_02105
XOO0615	RSBA7_02107
XOO0615	RSBA7_03604
XOO0615	RSBA7_04626
XOO0617	RSBA7_01408
XOO0617	RSBA7_03660
XOO0617	RSBA7_02105
XOO0617	RSBA7_02107
XOO0617	RSBA7_03604
XOO0617	RSBA7_04626
XOO2801	RSBA7_04629
XOO2801	RSBA7_00559
XOO2801	RSBA7_04815
XOO2801	RSBA7_04903
XOO2801	RSBA7_01938
XOO2801	RSBA7_05040
XOO2801	RSBA7_02161
XOO2801	RSBA7_04494
XOO2801	RSBA7_05074
XOO2801	RSBA7_03162
XOO2801	RSBA7_05031
XOO2801	RSBA7_05048
XOO2801	RSBA7_04421
XOO2801	RSBA7_04420
XOO2801	RSBA7_04961
XOO2801	RSBA7_00201
XOO2801	RSBA7_03228
XOO2801	RSBA7_03315
XOO2801	RSBA7_04813
XOO1954	RSBA7_02448
XOO0622	RSBA7_01408
XOO0622	RSBA7_03660
XOO0622	RSBA7_02105
XOO0622	RSBA7_02107
XOO0622	RSBA7_03604
XOO0622	RSBA7_04626
XOO1952	RSBA7_00982
XOO0863	RSBA7_00739
XOO0847	RSBA7_02886
XOO0602	RSBA7_05054
XOO0602	RSBA7_01619
XOO1938	RSBA7_04936
XOO1925	RSBA7_02492
XOO1924	RSBA7_02163
XOO0834	RSBA7_02193
XOO1922	RSBA7_00980
XOO1929	RSBA7_01531
XOO1929	RSBA7_01532
XOO0839	RSBA7_02308
XOO0601	RSBA7_05053
XOO0601	RSBA7_01620
XOO0841	RSBA7_01561
XOO0824	RSBA7_05054
XOO0824	RSBA7_01619
XOO0827	RSBA7_01408
XOO0827	RSBA7_03660
XOO0827	RSBA7_02105
XOO0827	RSBA7_02107
XOO0827	RSBA7_03604
XOO0827	RSBA7_04626
XOO1919	RSBA7_02142
XOO4198	RSBA7_00357
XOO4196	RSBA7_00354
XOO0831	RSBA7_02057
XOO3929	RSBA7_01408
XOO3929	RSBA7_03660
XOO3929	RSBA7_02105
XOO3929	RSBA7_02107
XOO3929	RSBA7_03604
XOO3929	RSBA7_04626
XOO0417	RSBA7_04902
XOO0659	RSBA7_03317
XOO1989	RSBA7_01349
XOO1747	RSBA7_00717
XOO1504	RSBA7_01137
XOO1746	RSBA7_00716
XOO2835	RSBA7_03503
XOO2836	RSBA7_03504
XOO3926	RSBA7_01407
XOO3926	RSBA7_03661
XOO3926	RSBA7_04625
XOO3926	RSBA7_02106
XOO3926	RSBA7_02108
XOO3926	RSBA7_03603
XOO3927	RSBA7_01408
XOO3927	RSBA7_03660
XOO3927	RSBA7_02105
XOO3927	RSBA7_02107
XOO3927	RSBA7_03604
XOO3927	RSBA7_04626
XOO2838	RSBA7_01434
XOO2838	RSBA7_04855
XOO1510	RSBA7_03131
XOO1510	RSBA7_02245
XOO1510	RSBA7_03687
XOO3931	RSBA7_00150
XOO0421	RSBA7_01267
XOO0661	RSBA7_03589
XOO2602	RSBA7_04672
XOO1514	RSBA7_01076
XOO0667	RSBA7_00019
XOO1755	RSBA7_02084
XOO1755	RSBA7_04818
XOO1755	RSBA7_03230
XOO1755	RSBA7_03893
XOO1755	RSBA7_04786
XOO1755	RSBA7_03124
XOO1755	RSBA7_04785
XOO1755	RSBA7_04678
XOO1755	RSBA7_03720
XOO1755	RSBA7_02081
XOO1755	RSBA7_03834
XOO1513	RSBA7_00824
XOO2840	RSBA7_01200
XOO2840	RSBA7_01795
XOO0423	RSBA7_04351
XOO1996	RSBA7_00953
XOO0665	RSBA7_02027
XOO3930	RSBA7_01408
XOO3930	RSBA7_03660
XOO3930	RSBA7_02105
XOO3930	RSBA7_02107
XOO3930	RSBA7_03604
XOO3930	RSBA7_04626
XOO0664	RSBA7_04752
XOO2828	RSBA7_02291
XOO1979	RSBA7_03365
XOO3918	RSBA7_04943
XOO1736	RSBA7_01668
XOO0405	RSBA7_03031
XOO0646	RSBA7_01408
XOO0646	RSBA7_03660
XOO0646	RSBA7_02105
XOO0646	RSBA7_02107
XOO0646	RSBA7_03604
XOO0646	RSBA7_04626
XOO1977	RSBA7_01364
XOO0404	RSBA7_03032
XOO3913	RSBA7_03323
XOO2825	RSBA7_04629
XOO2825	RSBA7_00559
XOO2825	RSBA7_04815
XOO2825	RSBA7_04903
XOO2825	RSBA7_01938
XOO2825	RSBA7_05040
XOO2825	RSBA7_02161
XOO2825	RSBA7_04494
XOO2825	RSBA7_05074
XOO2825	RSBA7_03162
XOO2825	RSBA7_05031
XOO2825	RSBA7_05048
XOO2825	RSBA7_04421
XOO2825	RSBA7_04420
XOO2825	RSBA7_04961
XOO2825	RSBA7_00201
XOO2825	RSBA7_03228
XOO2825	RSBA7_03315
XOO2825	RSBA7_04813
XOO0894	RSBA7_03216
XOO1741	RSBA7_01610
XOO1983	RSBA7_01363
XOO0893	RSBA7_03217
XOO0893	RSBA7_01843
XOO1982	RSBA7_03365
XOO0892	RSBA7_01842
XOO0892	RSBA7_03218
XOO1745	RSBA7_00345
XOO1985	RSBA7_01352
XOO0896	RSBA7_03215
XOO2817	RSBA7_04047
XOO2817	RSBA7_04046
XOO0638	RSBA7_04552
XOO0637	RSBA7_05053
XOO0637	RSBA7_01620
XOO2818	RSBA7_04047
XOO2818	RSBA7_04046
XOO1968	RSBA7_01372
XOO0878	RSBA7_01022
XOO1967	RSBA7_01374
XOO1725	RSBA7_01220
XOO1966	RSBA7_01375
XOO1724	RSBA7_02397
XOO2814	RSBA7_04629
XOO2814	RSBA7_00559
XOO2814	RSBA7_04815
XOO2814	RSBA7_04903
XOO2814	RSBA7_01938
XOO2814	RSBA7_05040
XOO2814	RSBA7_02161
XOO2814	RSBA7_04494
XOO2814	RSBA7_05074
XOO2814	RSBA7_03162
XOO2814	RSBA7_05031
XOO2814	RSBA7_05048
XOO2814	RSBA7_04421
XOO2814	RSBA7_04420
XOO2814	RSBA7_04961
XOO2814	RSBA7_00201
XOO2814	RSBA7_03228
XOO2814	RSBA7_03315
XOO2814	RSBA7_04813
XOO3905	RSBA7_04629
XOO3905	RSBA7_00559
XOO3905	RSBA7_04815
XOO3905	RSBA7_04903
XOO3905	RSBA7_01938
XOO3905	RSBA7_05040
XOO3905	RSBA7_02161
XOO3905	RSBA7_04494
XOO3905	RSBA7_05074
XOO3905	RSBA7_03162
XOO3905	RSBA7_05031
XOO3905	RSBA7_05048
XOO3905	RSBA7_04421
XOO3905	RSBA7_04420
XOO3905	RSBA7_04961
XOO3905	RSBA7_00201
XOO3905	RSBA7_03228
XOO3905	RSBA7_03315
XOO3905	RSBA7_04813
XOO0639	RSBA7_04553
XOO2820	RSBA7_01714
XOO2820	RSBA7_04070
XOO2820	RSBA7_02082
XOO2820	RSBA7_04260
XOO2820	RSBA7_05030
XOO2820	RSBA7_04583
XOO2820	RSBA7_04861
XOO2820	RSBA7_04189
XOO2820	RSBA7_00584
XOO2820	RSBA7_03333
XOO2820	RSBA7_03457
XOO2820	RSBA7_05038
XOO2820	RSBA7_02920
XOO2820	RSBA7_04306
XOO2820	RSBA7_00302
XOO2820	RSBA7_02567
XOO2820	RSBA7_00217
XOO2820	RSBA7_00737
