XFCFBP8418_016360	STM3880
XFCFBP8418_015270	STM4475
XFCFBP8418_017690	STM0463
XFCFBP8418_015030	STM3724
XFCFBP8418_005900	STM1196
XFCFBP8418_015390	STM1511
XFCFBP8418_011590	STM2450
XFCFBP8418_011590	STM2991
XFCFBP8418_014980	STM3904
XFCFBP8418_018300	STM3493
XFCFBP8418_004140	STM0686
XFCFBP8418_009950	STM3407
XFCFBP8418_020190	STM3062
XFCFBP8418_025760	STM4081
XFCFBP8418_021160	STM3001
XFCFBP8418_024670	STM4230
XFCFBP8418_024670	STM3554
XFCFBP8418_023580	STM3871
XFCFBP8418_026730	STM1724
XFCFBP8418_006320	STM3401
XFCFBP8418_027800	STM0772
XFCFBP8418_020610	STM4273
XFCFBP8418_016490	STM1341
XFCFBP8418_005910	STM1195
XFCFBP8418_011240	STM0130
XFCFBP8418_012210	STM1058
XFCFBP8418_025070	STM0464
XFCFBP8418_005240	STM2546
XFCFBP8418_010700	STM1802
XFCFBP8418_010700	STM4247
XFCFBP8418_005920	STM1194
XFCFBP8418_022240	STM2953
XFCFBP8418_002650	STM3740
XFCFBP8418_021150	STM0087
XFCFBP8418_003740	STM3053
XFCFBP8418_026720	STM1725
XFCFBP8418_001680	STM3390
XFCFBP8418_008750	STM3742
XFCFBP8418_020760	STM3965
XFCFBP8418_019770	STM2831
XFCFBP8418_012220	STM4137
XFCFBP8418_011250	STM0129
XFCFBP8418_026070	STM0488
XFCFBP8418_006340	STM2146
XFCFBP8418_005250	STM1489
XFCFBP8418_005250	STM0797
XFCFBP8418_004160	STM3487
XFCFBP8418_006460	STM2109
XFCFBP8418_003190	STM0958
XFCFBP8418_017900	STM3901
XFCFBP8418_017900	STM3796
XFCFBP8418_021180	STM4236
XFCFBP8418_011800	STM1333
XFCFBP8418_010710	STM1803
XFCFBP8418_025660	STM2322
XFCFBP8418_024690	STM2403
XFCFBP8418_001690	STM3391
XFCFBP8418_019420	STM3857
XFCFBP8418_020870	STM0963
XFCFBP8418_020630	STM4275
XFCFBP8418_023900	STM3040
XFCFBP8418_017920	STM3244
XFCFBP8418_017800	STM3972
XFCFBP8418_011260	STM0128
XFCFBP8418_011380	STM4160
XFCFBP8418_014890	STM2654
XFCFBP8418_012590	STM4055
XFCFBP8418_012590	STM1431
XFCFBP8418_012350	STM0535
XFCFBP8418_015860	STM2949
XFCFBP8418_014650	STM0794
XFCFBP8418_010720	STM1291
XFCFBP8418_026060	STM4416
XFCFBP8418_004170	STM3486
XFCFBP8418_025650	STM2321
XFCFBP8418_003400	STM2565
