XOO3649	YPO0463
XOO3408	YPO0158
XOO3409	YPO3011
XOO0937	YPO0530
XOO0936	YPO0531
XOO1594	YPO1116
XOO1593	YPO1115
XOO3415	YPO0921
XOO3657	YPO3525
XOO1232	YPO3389
XOO1595	YPO2912
XOO0022	YPO1569
XOO1118	YPO3034
XOO4620	YPO3980
XOO1117	YPO3992
XOO0941	YPO0533
XOO0940	YPO0532
XOO2205	YPO2982
XOO1219	YPO1962
XOO2308	YPO1111
XOO2429	YPO2621
XOO2307	YPO1112
XOO1218	YPO2675
XOO0926	YPO0055
XOO3519	YPO1775
XOO0925	YPO3632
XOO0809	YPO1068
XOO1583	YPO3430
XOO4052	YPO0155
XOO1460	YPO1133
XOO2313	YPO3712
XOO2313	YPO3793
XOO0497	YPO0047
XOO2678	YPO3073
XOO0496	YPO0048
XOO2317	YPO2533
XOO1349	YPO2214
XOO3400	YPO3371
XOO0016	YPO1410
XOO0016	YPO0322
XOO2315	YPO2977
XOO3764	YPO3080
XOO2314	YPO2066
XOO0015	YPO3520
XOO2418	YPO1412
XOO3629	YPO2302
XOO0915	YPO0378
XOO4160	YPO2205
XOO3750	YPO0490
XOO2661	YPO1118
XOO4161	YPO2206
XOO0241	YPO2176
XOO4284	YPO3286
XOO0481	YPO3767
XOO4163	YPO0169
XOO2666	YPO3222
XOO3997	YPO3845
XOO2423	YPO3407
XOO3757	YPO0313
XOO2547	YPO1374
XOO3751	YPO0486
XOO3752	YPO0783
XOO0247	YPO2227
XOO3633	YPO2303
XOO2665	YPO3221
XOO1438	YPO3513
XOO4034	YPO3854
XOO3187	YPO2433
XOO4398	YPO4071
XOO3860	YPO2907
XOO4399	YPO4072
XOO4157	YPO3412
XOO3182	YPO2428
XOO4151	YPO0565
XOO0350	YPO3779
XOO3183	YPO2429
XOO1565	YPO1395
XOO4712	YPO0246
XOO0113	YPO3942
XOO2776	YPO1333
XOO2777	YPO1332
XOO2777	YPO2846
XOO2535	YPO2883
XOO3987	YPO3781
XOO3866	YPO1501
XOO0112	YPO3939
XOO2656	YPO1117
XOO3867	YPO1502
XOO3747	YPO0493
XOO0594	YPO2222
XOO0117	YPO3941
XOO1203	YPO2157
XOO2775	YPO1334
XOO0736	YPO4119
XOO2360	YPO3718
XOO3210	YPO3076
XOO2364	YPO3401
XOO1154	YPO1108
XOO2363	YPO3402
XOO2242	YPO0459
XOO3690	YPO3015
XOO2361	YPO3403
XOO3691	YPO0059
XOO2368	YPO1023
XOO4548	YPO0251
XOO1156	YPO0145
XOO2365	YPO3400
XOO3212	YPO3424
XOO4544	YPO0253
XOO4302	YPO3868
XOO0726	YPO4127
XOO0729	YPO4124
XOO0728	YPO4125
XOO0727	YPO4126
XOO4410	YPO3117
XOO3684	YPO0060
XOO2231	YPO0465
XOO1141	YPO0945
XOO1140	YPO0946
XOO3689	YPO3014
XOO2236	YPO3760
XOO0178	YPO3558
XOO1388	YPO3727
XOO1145	YPO0040
XOO0177	YPO3557
XOO3207	YPO2383
XOO2910	YPO4038
XOO4417	YPO4038
XOO3208	YPO4061
XOO3329	YPO2610
XOO0733	YPO4120
XOO1821	YPO1771
XOO0732	YPO4121
XOO3686	YPO3012
XOO1149	YPO0038
XOO0731	YPO4122
XOO0730	YPO4123
XOO2237	YPO1415
XOO3688	YPO3013
XOO2116	YPO1379
XOO0714	YPO1072
XOO1924	YPO1522
XOO0713	YPO1073
XOO0834	YPO3441
XOO3791	YPO0931
XOO3672	YPO3075
XOO2463	YPO4116
XOO0043	YPO0565
XOO2462	YPO4117
XOO2461	YPO4117
XOO3679	YPO2769
XOO2465	YPO4114
XOO4527	YPO1075
XOO2464	YPO4115
XOO0964	YPO3519
XOO0722	YPO3417
XOO0963	YPO3118
XOO3675	YPO2772
XOO0720	YPO3418
XOO0841	YPO2921
XOO0945	YPO2293
XOO0947	YPO3739
XOO4198	YPO0068
XOO1242	YPO3734
XOO1362	YPO3094
XOO3547	YPO0905
XOO3669	YPO2837
XOO1244	YPO3215
XOO1243	YPO0152
XOO2211	YPO2409
XOO4511	YPO1199
XOO3664	YPO0066
XOO3785	YPO0008
XOO0952	YPO3521
XOO0831	YPO3443
XOO4874	YPO3977
XOO3423	YPO1207
XOO1127	YPO0915
XOO4512	YPO1198
XOO0539	YPO3728
XOO1628	YPO0477
XOO0417	YPO1207
XOO0537	YPO3729
XOO1989	YPO3053
XOO1626	YPO0475
XOO1625	YPO0474
XOO1867	YPO1615
XOO1504	YPO2984
XOO2956	YPO3358
XOO1629	YPO3164
XOO2717	YPO3123
XOO3252	YPO2204
XOO1194	YPO1146
XOO1193	YPO1147
XOO1191	YPO2193
XOO1990	YPO2623
XOO2044	YPO1113
XOO2043	YPO1114
XOO3250	YPO2768
XOO3372	YPO3742
XOO1195	YPO1145
XOO1631	YPO3166
XOO2963	YPO3376
XOO3810	YPO0117
XOO1630	YPO3165
XOO2048	YPO1636
XOO2966	YPO2021
XOO2960	YPO3360
XOO2961	YPO3361
XOO1632	YPO3167
XOO2828	YPO4061
XOO1736	YPO3380
XOO1615	YPO3141
XOO3915	YPO2626
XOO2948	YPO3501
XOO1739	YPO3393
XOO2155	YPO2734
XOO2154	YPO2735
XOO3249	YPO3500
XOO2711	YPO2899
XOO2712	YPO4061
XOO1745	YPO0935
XOO1985	YPO1041
XOO3006	YPO2736
XOO2039	YPO1914
XOO2939	YPO3305
XOO1847	YPO1129
XOO0878	YPO1597
XOO1967	YPO1054
XOO1966	YPO1055
XOO2261	YPO1543
XOO3230	YPO2551
XOO2260	YPO1544
XOO4200	YPO1358
XOO1290	YPO3569
XOO1176	YPO0926
XOO1297	YPO2828
XOO2143	YPO0914
XOO2262	YPO1542
XOO1294	YPO2829
XOO1972	YPO1049
XOO3238	YPO0085
XOO0883	YPO1601
XOO0762	YPO1430
XOO0882	YPO1600
XOO0761	YPO2757
XOO1971	YPO1050
XOO1971	YPO2816
XOO0881	YPO1599
XOO2388	YPO1389
XOO1970	YPO1048
XOO0880	YPO1598
XOO2702	YPO1215
XOO0402	YPO3771
XOO3235	YPO2554
XOO1974	YPO1046
XOO2928	YPO2859
XOO0746	YPO4118
XOO2923	YPO3062
XOO2804	YPO3132
XOO0508	YPO0045
XOO0194	YPO3942
XOO2258	YPO1546
XOO1961	YPO1060
XOO3227	YPO2548
XOO2810	YPO2995
XOO2810	YPO2993
XOO1289	YPO3577
XOO3228	YPO2549
XOO3349	YPO3941
XOO2257	YPO1547
XOO2256	YPO1548
XOO1288	YPO3578
XOO2812	YPO1300
XOO2255	YPO1549
XOO3102	YPO0158
XOO1965	YPO1056
XOO0512	YPO2372
XOO3224	YPO2545
XOO1964	YPO1057
XOO2017	YPO3177
XOO2259	YPO1545
XOO3968	YPO2604
XOO3607	YPO2016
XOO4145	YPO1851
XOO3299	YPO3176
XOO1790	YPO3378
XOO0586	YPO0241
XOO2887	YPO0482
XOO1795	YPO0906
XOO2888	YPO0481
XOO3856	YPO3183
XOO1794	YPO0907
XOO0220	YPO0929
XOO3850	YPO3180
XOO3852	YPO3182
XOO2508	YPO0053
XOO1416	YPO0942
XOO2868	YPO2074
XOO3958	YPO2957
XOO2195	YPO2870
XOO2194	YPO2871
XOO2073	YPO3722
XOO2193	YPO2824
XOO3287	YPO3977
XOO0450	YPO2889
XOO0690	YPO2158
XOO0332	YPO3953
XOO0453	YPO0311
XOO3844	YPO2690
XOO1662	YPO0006
XOO0694	YPO0321
XOO3603	YPO2013
XOO3845	YPO2691
XOO0693	YPO2147
XOO3604	YPO2014
XOO3846	YPO2692
XOO2514	YPO3741
XOO2872	YPO0888
XOO0456	YPO1152
XOO0455	YPO1151
XOO3829	YPO0551
XOO1527	YPO1435
XOO0558	YPO3659
XOO3825	YPO0556
XOO3826	YPO0555
XOO3828	YPO0552
XOO3396	YPO3365
XOO4486	YPO3142
XOO3397	YPO3366
XOO4123	YPO0616
XOO3398	YPO3372
XOO4124	YPO0648
XOO2066	YPO2174
XOO2186	YPO1540
XOO2186	YPO1539
XOO2865	YPO2221
XOO3713	YPO2630
XOO3956	YPO2601
XOO2981	YPO3999
XOO4488	YPO0024
XOO1656	YPO2053
XOO4248	YPO3419
XOO3830	YPO0550
XOO2862	YPO3415
XOO2501	YPO2827
XOO4007	YPO3849
XOO3831	YPO0549
XOO2967	YPO3377
XOO4231	YPO3897
XOO3264	YPO0364
XOO2291	YPO1867
XOO3260	YPO4078
XOO2297	YPO1395
