BSU09290	STM4086
BSU14400	STM2204
BSU14400	STM3255
BSU22700	STM3486
BSU39700	STM4425
BSU38170	STM0443
BSU15730	STM3407
BSU15610	STM3477
BSU32750	STM0247
BSU00910	STM2929
BSU33040	STM1469
BSU37760	STM2200
BSU03981	STM3256
BSU03981	STM3685
BSU33720	STM2162
BSU33720	STM2164
BSU28800	STM0102
BSU03060	STM3692
BSU06450	STM2487
BSU27270	STM0207
BSU28120	STM0202
BSU29210	STM2366
BSU22140	STM4483
BSU15860	STM3240
BSU15860	STM1826
BSU15860	STM2196
BSU15860	STM2971
BSU33390	STM0782
BSU38160	STM0442
BSU22830	STM3700
BSU39370	STM0787
BSU30560	STM3500
BSU17000	STM3709
BSU18450	STM3330
BSU02400	STM2200
BSU32740	STM0246
BSU27600	STM3742
BSU33830	STM2163
BSU25300	STM2183
BSU28250	STM0110
BSU27040	STM1832
BSU29220	STM2472
BSU29340	STM0662
BSU29340	STM2351
BSU29340	STM0828
BSU28130	STM0372
BSU34150	STM4228
BSU15510	STM0066
BSU15190	STM0125
BSU19310	STM3680
BSU38630	STM1318
BSU38750	STM0741
BSU38750	STM1793
BSU37660	STM2338
BSU37660	STM2466
BSU01780	STM3861
BSU02990	STM2810
BSU23490	STM2422
BSU25310	STM4236
BSU33500	STM0498
BSU33500	STM0353
BSU02510	STM3250
BSU06310	STM2793
BSU31200	STM4047
BSU27610	STM0483
BSU02750	STM1259
BSU35920	STM3885
BSU03280	STM3477
BSU21870	STM3904
BSU11710	STM2146
BSU28260	STM0111
BSU29470	STM2337
BSU29470	STM3242
BSU29470	STM2057
BSU27050	STM1831
BSU24340	STM3380
BSU23250	STM0417
BSU33290	STM0590
BSU33290	STM0192
BSU15520	STM0067
BSU12010	STM2204
BSU12010	STM3255
BSU22730	STM2526
BSU39390	STM2200
BSU18470	STM0321
BSU39270	STM0685
BSU39270	STM1203
BSU38500	STM0371
BSU17380	STM2807
BSU30220	STM3709
BSU38860	STM0776
BSU27860	STM0145
BSU01770	STM3294
BSU02980	STM2809
BSU26650	STM0758
BSU00680	STM0170
BSU06420	STM0534
BSU33730	STM2163
BSU28270	STM0112
BSU27060	STM1830
BSU11720	STM1700
BSU12930	STM1745
BSU06660	STM1125
BSU28150	STM3938
