KPN_04245	STM4119
KPN_03397	STM0701
KPN_03397	STM3114
KPN_04002	STM4084
KPN_04005	STM4081
KPN_04247	STM4121
KPN_04246	STM4120
KPN_04249	STM4123
KPN_04007	STM4064
KPN_04248	STM4122
KPN_04008	STM4063
KPN_04008	STM2444
KPN_03150	STM2973
KPN_04480	STM4283
KPN_04241	STM4108
KPN_04241	STM3529
KPN_04482	STM4285
KPN_03151	STM2974
KPN_04001	STM4085
KPN_03396	STM3113
KPN_03154	STM2977
KPN_03395	STM1799
KPN_03395	STM3112
KPN_04242	STM4109
KPN_03153	STM2976
KPN_04476	STM4273
KPN_04234	STM4101
KPN_04233	STM4100
KPN_04233	STM3624A
KPN_04478	STM4275
KPN_03388	STM3103
KPN_04239	STM4105
KPN_03380	STM3095
KPN_02293	STM2337
KPN_02293	STM3242
KPN_02293	STM2057
KPN_03140	STM3240
KPN_03140	STM1826
KPN_03140	STM2196
KPN_03140	STM2971
KPN_02294	STM3243
KPN_02295	STM3244
KPN_01197	STM1290
KPN_03376	STM3091
KPN_03376	STM3016
KPN_04223	STM4062
KPN_03375	STM3090
KPN_01198	STM1291
KPN_04222	STM4061
KPN_04225	STM4090
KPN_03139	STM2970
KPN_03130	STM2960
KPN_03130	STM2961
KPN_03132	STM3827
KPN_03132	STM2962
KPN_03374	STM3086
KPN_01195	STM1288
KPN_03131	STM2960
KPN_03131	STM2961
KPN_03373	STM3078
KPN_03119	STM2948
KPN_03123	STM2952
KPN_00096	STM0130
KPN_04212	STM4046
KPN_00095	STM0129
KPN_04211	STM4045
KPN_00094	STM0128
KPN_03125	STM2954
KPN_03124	STM2953
KPN_04213	STM4047
KPN_00092	STM0126
KPN_04216	STM4050
KPN_00091	STM0125
KPN_03126	STM2956
KPN_00090	STM0124
KPN_04217	STM4055
KPN_04217	STM1431
KPN_00918	STM0956
KPN_00919	STM0957
KPN_03190	STM2025
KPN_04289	STM2095
KPN_04288	STM3922
KPN_04288	STM2097
KPN_03199	STM2034
KPN_03192	STM2027
KPN_04280	STM3913
KPN_03191	STM2026
KPN_03194	STM2029
KPN_04282	STM3915
KPN_03193	STM2028
KPN_04285	STM3919
KPN_03196	STM2031
KPN_04284	STM3918
KPN_03195	STM2030
KPN_04287	STM3921
KPN_03198	STM2033
KPN_04286	STM3920
KPN_03197	STM2032
KPN_00903	STM0934
KPN_00904	STM0935
KPN_03189	STM2024
KPN_04270	STM3904
KPN_03183	STM2018
KPN_04271	STM3905
KPN_03182	STM2016
KPN_03184	STM2019
KPN_04273	STM3909
KPN_04267	STM3901
KPN_04267	STM3796
KPN_04269	STM3903
KPN_04268	STM3902
KPN_02080	STM2253
KPN_02081	STM2254
KPN_04256	STM4131
KPN_04013	STM3747
KPN_04255	STM4130
KPN_02079	STM2252
KPN_03161	STM2984
KPN_04010	STM4087
KPN_04010	STM2037
KPN_04251	STM4126
KPN_04012	STM3746
KPN_04011	STM4086
KPN_03164	STM2988
KPN_00039	STM0064
KPN_03549	STM3259
KPN_03548	STM3258
KPN_01129	STM1222
KPN_00041	STM0067
KPN_03794	STM3534
KPN_01131	STM1225
KPN_01132	STM1226
KPN_01132	STM0878
KPN_01132	STM0428
KPN_00040	STM0066
KPN_02463	STM2016
KPN_00282	STM0320
KPN_03551	STM3261
KPN_00281	STM0321
KPN_03796	STM3536
KPN_02464	STM2017
KPN_00280	STM0322
KPN_03795	STM3535
KPN_03798	STM3538
KPN_04645	STM4451
KPN_03797	STM3537
KPN_02468	STM0863
KPN_02468	STM2062
KPN_02468	STM0637
KPN_03799	STM3539
KPN_04646	STM4452
KPN_00049	STM0091
KPN_00046	STM0088
KPN_00045	STM0087
KPN_00044	STM0086
KPN_00044	STM3457
KPN_03792	STM3526
KPN_03550	STM3260
KPN_03791	STM3525
KPN_01130	STM1223
KPN_02206	STM1756
KPN_04627	STM4416
KPN_03538	STM3249
KPN_04626	STM4415
KPN_03537	STM0519
KPN_03537	STM3248
KPN_03779	STM3506
KPN_00030	STM0054
KPN_00030	STM3351
KPN_03540	STM3250
KPN_01121	STM0163
KPN_03785	STM4482
KPN_03785	STM3512
KPN_02211	STM1580
KPN_02211	STM1761
KPN_03543	STM3253
KPN_02696	STM0662
KPN_02696	STM2351
KPN_02696	STM0828
KPN_01365	STM0998
KPN_01365	STM4248
KPN_01123	STM0161
KPN_02212	STM1579
KPN_02212	STM1762
KPN_02213	STM1578
KPN_02213	STM1763
KPN_02697	STM2352
KPN_03787	STM3514
KPN_02214	STM1577
KPN_02214	STM1764
KPN_02698	STM2353
KPN_03786	STM3513
KPN_01126	STM2473
KPN_01126	STM0007
KPN_02215	STM1765
KPN_02215	STM1576
KPN_03547	STM3257
KPN_02699	STM2354
KPN_02699	STM2355
KPN_01127	STM3076
KPN_01127	STM2474
KPN_00038	STM0619
KPN_00037	STM0061
KPN_00037	STM0621
KPN_00036	STM0060
KPN_00036	STM0622
KPN_00035	STM0623
KPN_00035	STM0059
KPN_00033	STM0057
KPN_00032	STM0056
KPN_00032	STM3353
KPN_00031	STM0055
KPN_00031	STM3352
KPN_01106	STM1211
KPN_04615	STM4408
KPN_04621	STM4414
KPN_02200	STM1750
KPN_03773	STM3500
KPN_04623	STM3882
KPN_04623	STM2189
KPN_02202	STM2098
KPN_02202	STM1752
KPN_02445	STM2009
KPN_02687	STM2337
KPN_02687	STM3242
KPN_02687	STM2057
KPN_03536	STM2492
KPN_03536	STM2959
KPN_03536	STM0525
KPN_03536	STM3247
KPN_02688	STM2338
KPN_02688	STM2466
KPN_01116	STM1220
KPN_00025	STM0051
KPN_00024	STM0049
KPN_01590	STM1511
KPN_00021	STM0046
KPN_00020	STM0045
KPN_02681	STM2332
KPN_00008	STM2473
KPN_00008	STM0007
KPN_00007	STM0006
KPN_00249	STM0316
KPN_02668	STM2318
KPN_01579	STM4306
KPN_01579	STM0965
KPN_01579	STM2529
KPN_01579	STM1497
KPN_04847	STM4582
KPN_03757	STM3483
KPN_02669	STM2319
KPN_04607	STM4403
KPN_04849	STM4584
KPN_03517	STM3225
KPN_02671	STM2321
KPN_03761	STM3487
KPN_00250	STM0317
KPN_04850	STM4585
KPN_03760	STM3486
KPN_02672	STM2322
KPN_02430	STM0999
KPN_02430	STM1473
KPN_02430	STM2267
KPN_01583	STM1502
KPN_03521	STM3134
KPN_02674	STM2324
KPN_03520	STM3137
KPN_02675	STM2325
KPN_01587	STM3136
KPN_02676	STM2326
KPN_01103	STM1208
KPN_02677	STM2327
KPN_01104	STM1209
KPN_00499	STM2558
KPN_02678	STM2328
KPN_00016	STM0039
KPN_00256	STM2791
KPN_00255	STM2792
KPN_00254	STM2793
KPN_02670	STM2320
KPN_03109	STM2930
KPN_03108	STM2929
KPN_03112	STM2933
KPN_03354	STM3068
KPN_04442	STM4249
KPN_03114	STM2935
KPN_03356	STM3070
KPN_00082	STM3901
KPN_00082	STM3796
KPN_03355	STM3069
KPN_03113	STM2934
KPN_03597	STM3305
KPN_03357	STM3076
KPN_03357	STM2474
KPN_03599	STM3307
KPN_00080	STM0113
KPN_03118	STM2947
KPN_03117	STM2946
KPN_00089	STM0123
KPN_03592	STM3300
KPN_00088	STM0122
KPN_04441	STM0998
KPN_04441	STM4248
KPN_03352	STM3066
KPN_04440	STM1802
KPN_04440	STM4247
KPN_04429	STM4235
KPN_03339	STM3053
KPN_04428	STM4234
KPN_02495	STM2096
KPN_03343	STM3057
KPN_02496	STM2095
KPN_01165	STM3106
KPN_01165	STM3598
KPN_00073	STM1358
KPN_02497	STM3922
KPN_02497	STM2097
KPN_03587	STM3295
KPN_03586	STM3294
KPN_01167	STM1155
KPN_01167	STM2401
KPN_04675	STM4425
KPN_02499	STM2081
KPN_03349	STM3063
KPN_03106	STM2927
KPN_03348	STM3062
KPN_02490	STM2095
KPN_00079	STM0112
KPN_02491	STM3922
KPN_02491	STM2097
KPN_04670	STM4421
KPN_00078	STM0111
KPN_00077	STM0110
KPN_04430	STM4236
KPN_03341	STM3055
KPN_02493	STM2080
KPN_02494	STM2094
KPN_03340	STM3054
KPN_04671	STM4420
KPN_00075	STM1359
KPN_04659	STM4465
KPN_04659	STM4469
KPN_04663	STM4475
KPN_02000	STM1426
KPN_04421	STM4227
KPN_00062	STM0103
KPN_04665	STM4477
KPN_00061	STM0102
KPN_04423	STM4229
KPN_00060	STM0101
KPN_00060	STM4388
KPN_00060	STM3677
KPN_04422	STM4228
KPN_02488	STM2094
KPN_04425	STM4231
KPN_04424	STM4230
KPN_04424	STM3554
KPN_02489	STM2096
KPN_04427	STM4233
KPN_02480	STM2076
KPN_00067	STM0108
KPN_02481	STM2077
KPN_00066	STM0107
KPN_02482	STM2078
KPN_00065	STM0106
KPN_03330	STM3051
KPN_03318	STM3040
KPN_01139	STM1232
KPN_02229	STM1771
KPN_03317	STM3039
KPN_01142	STM1235
KPN_03321	STM3043
KPN_04651	STM4453
KPN_01144	STM1238
KPN_04654	STM3763
KPN_04654	STM4456
KPN_03323	STM0694
KPN_03323	STM3045
KPN_02475	STM2071
KPN_04412	STM4220
KPN_02476	STM2072
KPN_02235	STM1777
KPN_02477	STM2073
KPN_04656	STM4459
KPN_04413	STM4221
KPN_02478	STM2074
KPN_02237	STM1779
KPN_02479	STM2075
KPN_03569	STM3279
KPN_02238	STM1780
KPN_04657	STM4460
KPN_02230	STM1772
KPN_00316	STM0372
KPN_00799	STM0793
KPN_03825	STM2792
KPN_02738	STM2403
KPN_02743	STM2408
KPN_02744	STM2409
KPN_00323	STM0380
KPN_00309	STM2200
KPN_03813	STM3557
KPN_02723	STM2388
KPN_03812	STM3556
KPN_02724	STM2389
KPN_01636	STM1525
KPN_02726	STM2391
KPN_03817	STM3561
KPN_03816	STM3560
KPN_03819	STM3563
KPN_03818	STM3562
KPN_01880	STM1577
KPN_01880	STM1764
KPN_01881	STM1578
KPN_01881	STM1763
KPN_00792	STM0787
KPN_00793	STM0788
KPN_01882	STM1579
KPN_01882	STM1762
KPN_01883	STM1580
KPN_01883	STM1761
KPN_03820	STM3564
KPN_03820	STM3567
KPN_01884	STM1582
KPN_00796	STM0791
KPN_03822	STM3564
KPN_03822	STM3567
KPN_03809	STM3553
KPN_01865	STM1568
KPN_01865	STM4035
KPN_03801	STM4485
KPN_03801	STM3542
KPN_02713	STM2378
KPN_01866	STM1569
KPN_01866	STM4036
KPN_00777	STM0781
KPN_00778	STM0782
KPN_01867	STM1570
KPN_01867	STM4037
KPN_00537	STM0150
KPN_00537	STM4398
KPN_00537	STM0568
KPN_00537	STM1584
KPN_00779	STM0783
KPN_01628	STM1522
KPN_02718	STM2383
KPN_03807	STM3551
KPN_02719	STM2384
KPN_00781	STM0785
KPN_03811	STM3555
KPN_03810	STM4230
KPN_03810	STM3554
KPN_02701	STM2356
KPN_02702	STM2362
KPN_00768	STM0772
KPN_02705	STM2365
KPN_02706	STM2366
KPN_00770	STM0773
KPN_00771	STM0774
KPN_00772	STM0775
KPN_00773	STM0776
KPN_03800	STM3541
KPN_02710	STM2370
KPN_01622	STM1517
KPN_00119	STM0153
KPN_00118	STM0152
KPN_00116	STM0150
KPN_00116	STM4398
KPN_00116	STM0568
KPN_00116	STM1584
KPN_02778	STM2450
KPN_02778	STM2991
KPN_03626	STM3337
KPN_02779	STM2451
KPN_03625	STM3331
KPN_01449	STM1647
KPN_01207	STM1297
KPN_03869	STM3603
KPN_03869	STM1796
KPN_01210	STM1299
KPN_02783	STM2457
KPN_01211	STM1301
KPN_02784	STM2458
KPN_02542	STM3660
KPN_01455	STM3680
KPN_02303	STM3603
KPN_02303	STM1796
KPN_03876	STM3612
KPN_00126	STM0165
KPN_00367	STM0417
KPN_00366	STM0416
KPN_00124	STM0158
KPN_00363	STM0413
KPN_00120	STM0154
KPN_00107	STM0141
KPN_00106	STM0140
KPN_02769	STM2440
KPN_02769	STM2430
KPN_03858	STM3589
KPN_02770	STM2441
KPN_02771	STM2442
KPN_02772	STM2443
KPN_02773	STM4063
KPN_02773	STM2444
KPN_01202	STM1293
KPN_03624	STM3330
KPN_01445	STM0999
KPN_01445	STM1473
KPN_01445	STM2267
KPN_03866	STM3597
KPN_01203	STM1294
KPN_00355	STM0403
KPN_00112	STM0146
KPN_00111	STM0145
KPN_00337	STM0393
KPN_03846	STM2298
KPN_03845	STM2299
KPN_02758	STM2427
KPN_03606	STM3314
KPN_03847	STM2297
KPN_03608	STM3316
KPN_02518	STM2121
KPN_03607	STM3315
KPN_02519	STM2122
KPN_02761	STM2440
KPN_02761	STM2430
KPN_02762	STM2431
KPN_02762	STM2433
KPN_00585	STM3680
KPN_02763	STM2432
KPN_02764	STM2431
KPN_02764	STM2433
KPN_03852	STM0851
KPN_03852	STM3628
KPN_03854	STM1742
KPN_03854	STM3626
KPN_02766	STM2435
KPN_00103	STM0137
KPN_00344	STM0401
KPN_00100	STM0134
KPN_00342	STM0399
KPN_00329	STM0386
KPN_03835	STM3576
KPN_02991	STM3680
KPN_02750	STM2415
KPN_01664	STM3747
KPN_03843	STM2301
KPN_00332	STM0388
KPN_04081	STM3802
KPN_00711	STM0698
KPN_00955	STM0998
KPN_00955	STM4248
KPN_00956	STM0999
KPN_00956	STM1473
KPN_00956	STM2267
KPN_00715	STM0704
KPN_00716	STM0705
KPN_00717	STM0706
KPN_00961	STM1000
KPN_00707	STM0694
KPN_00707	STM3045
KPN_00941	STM0984
KPN_00942	STM0985
KPN_00700	STM0685
KPN_00700	STM1203
KPN_00701	STM0686
KPN_00945	STM0988
KPN_04074	STM3901
KPN_04074	STM3796
KPN_04073	STM3795
KPN_00930	STM0970
KPN_00931	STM0973
KPN_00931	STM3241
KPN_00932	STM0974
KPN_00935	STM0977
KPN_00936	STM0978
KPN_00937	STM0980
KPN_04069	STM3787
KPN_00928	STM0966
KPN_00928	STM1496
KPN_04290	STM3924
KPN_00920	STM0958
KPN_00925	STM0963
