YPO1601	XOO0883
YPO1962	XOO1219
YPO1049	XOO1972
YPO1600	XOO0882
YPO2016	XOO3607
YPO1048	XOO1970
YPO2014	XOO3604
YPO1046	XOO1974
YPO2013	XOO3603
YPO3222	XOO2666
YPO3221	XOO2665
YPO1041	XOO1985
YPO2372	XOO0512
YPO2921	XOO0841
YPO0068	XOO4198
YPO3215	XOO1244
YPO3578	XOO1288
YPO3577	XOO1289
YPO0066	XOO3664
YPO1395	XOO2297
YPO1395	XOO1565
YPO1396	XOO2296
YPO1151	XOO0455
YPO1152	XOO0456
YPO1391	XOO2179
YPO0060	XOO3684
YPO0616	XOO4123
YPO2912	XOO1595
YPO3569	XOO1290
YPO0059	XOO3691
YPO1028	XOO1402
YPO1146	XOO1194
YPO1389	XOO2388
YPO1147	XOO1193
YPO1023	XOO2368
YPO1023	XOO2733
YPO0055	XOO0926
YPO3443	XOO0831
YPO1145	XOO1195
YPO0053	XOO2508
YPO3441	XOO0834
YPO2907	XOO3860
YPO0169	XOO4163
YPO0048	XOO0496
YPO1379	XOO2116
YPO2227	XOO0247
YPO3558	XOO0178
YPO3557	XOO0177
YPO0047	XOO0497
YPO1133	XOO1460
YPO0045	XOO0508
YPO2222	XOO0594
YPO2221	XOO2865
YPO3793	XOO2313
YPO3430	XOO1583
YPO1374	XOO2547
YPO0040	XOO1145
YPO1129	XOO1847
YPO0158	XOO3408
YPO0158	XOO3102
YPO3305	XOO2939
YPO0038	XOO1149
YPO3424	XOO3212
YPO2214	XOO1349
YPO0155	XOO4052
YPO0152	XOO1243
YPO4078	XOO3260
YPO3781	XOO3987
YPO2692	XOO3846
YPO2691	XOO3845
YPO2690	XOO3844
YPO4072	XOO4399
YPO4071	XOO4398
YPO0945	XOO1141
YPO0946	XOO1140
YPO1914	XOO2039
YPO3419	XOO4248
YPO3418	XOO0720
YPO3659	XOO0558
YPO3417	XOO0722
YPO1117	XOO2656
YPO2206	XOO4161
YPO3658	XOO0556
YPO3779	XOO0350
YPO0942	XOO1416
YPO1118	XOO2661
YPO2205	XOO4160
YPO1599	XOO0881
YPO1115	XOO1593
YPO3415	XOO2862
YPO1116	XOO1594
YPO2204	XOO3252
YPO1358	XOO4200
YPO0024	XOO4488
YPO0145	XOO1156
YPO1597	XOO0878
YPO1113	XOO2044
YPO3897	XOO4231
YPO1598	XOO0880
YPO1114	XOO2043
YPO3412	XOO4157
YPO1111	XOO2308
YPO1112	XOO2307
YPO3771	XOO0402
YPO3099	XOO0796
YPO3097	XOO0797
YPO3094	XOO1362
YPO4061	XOO2828
YPO4061	XOO2712
YPO4061	XOO3208
YPO0935	XOO1745
YPO1108	XOO1154
YPO3407	XOO2423
YPO0931	XOO3791
YPO3767	XOO0481
YPO3525	XOO3657
YPO0378	XOO0915
YPO3403	XOO2361
YPO3402	XOO2363
YPO3401	XOO2364
YPO2554	XOO3235
YPO2433	XOO3187
YPO2675	XOO1218
YPO0253	XOO4544
YPO3400	XOO2365
YPO3521	XOO0952
YPO3520	XOO0015
YPO0493	XOO3747
YPO2551	XOO3230
YPO0251	XOO4548
YPO3760	XOO2236
YPO0490	XOO3750
YPO3080	XOO3764
YPO0929	XOO0220
YPO0926	XOO1176
YPO3519	XOO0964
YPO0921	XOO3415
YPO0008	XOO3785
YPO2429	XOO3183
YPO2549	XOO3228
YPO2428	XOO3182
YPO0006	XOO1662
YPO2548	XOO3227
YPO3999	XOO2981
YPO0246	XOO4712
YPO2303	XOO3633
YPO1215	XOO2702
YPO2545	XOO3224
YPO3513	XOO1438
YPO2302	XOO3629
YPO0486	XOO3751
YPO1333	XOO2776
YPO3632	XOO0925
YPO1334	XOO2775
YPO1332	XOO2777
YPO0364	XOO3264
YPO3992	XOO1117
YPO0482	XOO2887
YPO0241	XOO0586
YPO0481	XOO2888
YPO3076	XOO3210
YPO3075	XOO3672
YPO3073	XOO2678
YPO0914	XOO2143
YPO0915	XOO1127
YPO1207	XOO0417
YPO1207	XOO3423
YPO3868	XOO4302
YPO0117	XOO3810
YPO2899	XOO2711
YPO1569	XOO0022
YPO0477	XOO1628
YPO3501	XOO2948
YPO2533	XOO2317
YPO0475	XOO1626
YPO3500	XOO3249
YPO3742	XOO3372
YPO3862	XOO0792
YPO3741	XOO2514
YPO4038	XOO2910
YPO4038	XOO4417
YPO3861	XOO0793
YPO0474	XOO1625
YPO2772	XOO3675
YPO3980	XOO4620
YPO3183	XOO3856
YPO3062	XOO2923
YPO3182	XOO3852
YPO3180	XOO3850
YPO0907	XOO1794
YPO0905	XOO3547
YPO0906	XOO1795
YPO2409	XOO2211
YPO3739	XOO0947
YPO2769	XOO3679
YPO2768	XOO3250
YPO2889	XOO0450
YPO3977	XOO3287
YPO3977	XOO4874
YPO3734	XOO1242
YPO3854	XOO4034
YPO1435	XOO1527
YPO0465	XOO2231
YPO2883	XOO2535
YPO1430	XOO0762
YPO0463	XOO3649
YPO3177	XOO2017
YPO3176	XOO3299
YPO3053	XOO1989
YPO3729	XOO0537
YPO3728	XOO0539
YPO3849	XOO4007
YPO1548	XOO2256
YPO3727	XOO1388
YPO0459	XOO2242
YPO1549	XOO2255
YPO1546	XOO2258
YPO2757	XOO0761
YPO3845	XOO3997
YPO1547	XOO2257
YPO1544	XOO2260
YPO3722	XOO2073
YPO1545	XOO2259
YPO2995	XOO2810
YPO1542	XOO2262
YPO1300	XOO2812
YPO1543	XOO2261
YPO2993	XOO2810
YPO1540	XOO2186
YPO2751	XOO3261
YPO2630	XOO3713
YPO2871	XOO2194
YPO2870	XOO2195
YPO3167	XOO1632
YPO3166	XOO1631
YPO3286	XOO4284
YPO3165	XOO1630
YPO3164	XOO1629
YPO2074	XOO2868
YPO2193	XOO1191
YPO1539	XOO2186
YPO3718	XOO2360
YPO2626	XOO3915
YPO1415	XOO2237
YPO3712	XOO2313
YPO0565	XOO0043
YPO0565	XOO4151
YPO1775	XOO3519
YPO2623	XOO1990
YPO1412	XOO2418
YPO3953	XOO0332
YPO1410	XOO0016
YPO0321	XOO0694
YPO2984	XOO1504
YPO2621	XOO2429
YPO0322	XOO0016
YPO4127	XOO0726
YPO1771	XOO1821
YPO4126	XOO0727
YPO0561	XOO3821
YPO2982	XOO2205
YPO4125	XOO0728
YPO4124	XOO0729
YPO3034	XOO1118
YPO2066	XOO2314
YPO4123	XOO0730
YPO4122	XOO0731
YPO4121	XOO0732
YPO3032	XOO4239
YPO4120	XOO0733
YPO3393	XOO1739
YPO2859	XOO2928
YPO2736	XOO3006
YPO0556	XOO3825
YPO2977	XOO2315
YPO2735	XOO2154
YPO0557	XOO3824
YPO2734	XOO2155
YPO4119	XOO0736
YPO1522	XOO1924
YPO4118	XOO0746
YPO0313	XOO3757
YPO3942	XOO0194
YPO3942	XOO0113
YPO0555	XOO3826
YPO0552	XOO3828
YPO4117	XOO2462
YPO4117	XOO2461
YPO2610	XOO3329
YPO3941	XOO3349
YPO3941	XOO0117
YPO1400	XOO2295
YPO4116	XOO2463
YPO0311	XOO0453
YPO3389	XOO1232
YPO4115	XOO2464
YPO0550	XOO3830
YPO4114	XOO2465
YPO0551	XOO3829
YPO2176	XOO0241
YPO3142	XOO4486
YPO2053	XOO1656
YPO2174	XOO2066
YPO3141	XOO1615
YPO2293	XOO0945
YPO3380	XOO1736
YPO3939	XOO0112
YPO0549	XOO3831
YPO1636	XOO2048
YPO2846	XOO2777
YPO2604	XOO3968
YPO2601	XOO3956
YPO0783	XOO3752
YPO1199	XOO4511
YPO3015	XOO3690
YPO3378	XOO1790
YPO3377	XOO2967
YPO3014	XOO3689
YPO3376	XOO2963
YPO3013	XOO3688
YPO3012	XOO3686
YPO1198	XOO4512
YPO3132	XOO2804
YPO3011	XOO3409
YPO1075	XOO4527
YPO1072	XOO0714
YPO3372	XOO3398
YPO1073	XOO0713
YPO3371	XOO3400
YPO2837	XOO3669
YPO1867	XOO2291
YPO2957	XOO3958
YPO1502	XOO3867
YPO0532	XOO0940
YPO0533	XOO0941
YPO1501	XOO3866
YPO0530	XOO0937
YPO0531	XOO0936
YPO2158	XOO0690
YPO2157	XOO1203
YPO3366	XOO3397
YPO1068	XOO0809
YPO3123	XOO2717
YPO3365	XOO3396
YPO3361	XOO2961
YPO3360	XOO2960
YPO1060	XOO1961
YPO2829	XOO1294
YPO2828	XOO1297
YPO2827	XOO2501
YPO0648	XOO4124
YPO0888	XOO2872
YPO2824	XOO2193
YPO1615	XOO1867
YPO3118	XOO0963
YPO3117	XOO4410
YPO3358	XOO2956
YPO2147	XOO0693
YPO1851	XOO4145
YPO1056	XOO1965
YPO1057	XOO1964
YPO1054	XOO1967
YPO1055	XOO1966
YPO2021	XOO2966
YPO0085	XOO3238
YPO2383	XOO3207
YPO1050	XOO1971
YPO2816	XOO1971
