BSU09290	RSMOLK2_02392
BSU35580	RSMOLK2_04309
BSU11250	RSMOLK2_01936
BSU14400	RSMOLK2_02188
BSU22700	RSMOLK2_02302
BSU38050	RSMOLK2_01511
BSU38170	RSMOLK2_02246
BSU15730	RSMOLK2_00081
BSU15610	RSMOLK2_02853
BSU32750	RSMOLK2_04302
BSU00910	RSMOLK2_03525
BSU33040	RSMOLK2_01714
BSU30450	RSMOLK2_01122
BSU37760	RSMOLK2_03586
BSU37760	RSMOLK2_03585
BSU18440	RSMOLK2_02297
BSU33720	RSMOLK2_01895
BSU03060	RSMOLK2_04255
BSU28120	RSMOLK2_00649
BSU29210	RSMOLK2_03243
BSU15860	RSMOLK2_02621
BSU08070	RSMOLK2_03623
BSU33390	RSMOLK2_01577
BSU38040	RSMOLK2_01510
BSU38160	RSMOLK2_02245
BSU22830	RSMOLK2_00326
BSU18570	RSMOLK2_02184
BSU39370	RSMOLK2_01974
BSU17000	RSMOLK2_01362
BSU18450	RSMOLK2_02298
BSU02400	RSMOLK2_03586
BSU02400	RSMOLK2_03585
BSU32740	RSMOLK2_04301
BSU27600	RSMOLK2_03122
BSU34920	RSMOLK2_02285
BSU28250	RSMOLK2_03233
BSU08860	RSMOLK2_03856
BSU29220	RSMOLK2_03133
BSU29220	RSMOLK2_02092
BSU29340	RSMOLK2_00458
BSU29340	RSMOLK2_03014
BSU29340	RSMOLK2_02498
BSU28130	RSMOLK2_02322
BSU38990	RSMOLK2_03384
BSU38990	RSMOLK2_03020
BSU39720	RSMOLK2_03954
BSU15510	RSMOLK2_03318
BSU15190	RSMOLK2_02172
BSU19310	RSMOLK2_02033
BSU19310	RSMOLK2_02449
BSU38630	RSMOLK2_04673
BSU30230	RSMOLK2_03647
BSU18220	RSMOLK2_02200
BSU01780	RSMOLK2_00183
BSU25310	RSMOLK2_03166
BSU33500	RSMOLK2_02560
BSU02510	RSMOLK2_01299
BSU03600	RSMOLK2_00980
BSU27610	RSMOLK2_00386
BSU35920	RSMOLK2_04210
BSU03280	RSMOLK2_02853
BSU22960	RSMOLK2_00454
BSU11710	RSMOLK2_00111
BSU08850	RSMOLK2_03855
BSU28260	RSMOLK2_03232
BSU06430	RSMOLK2_00567
BSU24340	RSMOLK2_02111
BSU23250	RSMOLK2_00697
BSU15520	RSMOLK2_03320
BSU12010	RSMOLK2_02188
BSU22730	RSMOLK2_03993
BSU39390	RSMOLK2_03586
BSU39390	RSMOLK2_03585
BSU18470	RSMOLK2_02141
BSU38500	RSMOLK2_03317
BSU30220	RSMOLK2_01362
BSU38860	RSMOLK2_01555
BSU38980	RSMOLK2_03021
BSU38980	RSMOLK2_03385
BSU18230	RSMOLK2_00226
BSU27860	RSMOLK2_02824
BSU23260	RSMOLK2_00698
BSU01770	RSMOLK2_03327
BSU04000	RSMOLK2_01451
BSU04000	RSMOLK2_04697
BSU06420	RSMOLK2_00566
BSU28270	RSMOLK2_03234
BSU11720	RSMOLK2_04037
BSU13900	RSMOLK2_00316
BSU28150	RSMOLK2_02911
BSU29360	RSMOLK2_00980
BSU03150	RSMOLK2_00414
BSU04360	RSMOLK2_01017
BSU24350	RSMOLK2_02110
BSU40330	RSMOLK2_03586
BSU40330	RSMOLK2_03585
BSU21810	RSMOLK2_04276
BSU16100	RSMOLK2_00541
BSU11330	RSMOLK2_04174
BSU37280	RSMOLK2_04577
BSU15490	RSMOLK2_00661
BSU36510	RSMOLK2_00312
BSU10120	RSMOLK2_02607
BSU31980	RSMOLK2_01443
BSU35660	RSMOLK2_01008
BSU35660	RSMOLK2_01422
BSU31060	RSMOLK2_03691
BSU33800	RSMOLK2_01895
BSU30410	RSMOLK2_01826
BSU30530	RSMOLK2_04623
BSU33920	RSMOLK2_03186
BSU32830	RSMOLK2_00449
BSU03300	RSMOLK2_01640
BSU28560	RSMOLK2_00517
BSU28560	RSMOLK2_02182
BSU06490	RSMOLK2_03247
BSU06370	RSMOLK2_04799
BSU08790	RSMOLK2_00118
BSU18410	RSMOLK2_04411
BSU37150	RSMOLK2_04084
BSU11340	RSMOLK2_04170
BSU11220	RSMOLK2_02837
BSU37270	RSMOLK2_04576
BSU15700	RSMOLK2_02811
BSU21820	RSMOLK2_04275
BSU14610	RSMOLK2_03929
BSU15020	RSMOLK2_00358
BSU36860	RSMOLK2_02588
BSU29300	RSMOLK2_02815
BSU24090	RSMOLK2_01379
BSU06360	RSMOLK2_03762
BSU11230	RSMOLK2_03318
BSU32170	RSMOLK2_00144
BSU38150	RSMOLK2_02244
BSU16920	RSMOLK2_04152
BSU00930	RSMOLK2_04048
BSU30550	RSMOLK2_00141
BSU14180	RSMOLK2_03804
BSU31760	RSMOLK2_03588
BSU39360	RSMOLK2_01977
BSU10020	RSMOLK2_04319
BSU36890	RSMOLK2_03089
BSU02430	RSMOLK2_01576
BSU33940	RSMOLK2_02085
BSU32730	RSMOLK2_02523
BSU32730	RSMOLK2_04300
BSU33700	RSMOLK2_01895
BSU34910	RSMOLK2_02284
BSU33820	RSMOLK2_01895
BSU22480	RSMOLK2_03092
BSU27010	RSMOLK2_03146
BSU11240	RSMOLK2_03320
BSU38020	RSMOLK2_00111
BSU15600	RSMOLK2_02483
BSU15600	RSMOLK2_04514
BSU37170	RSMOLK2_00240
BSU37170	RSMOLK2_01136
BSU15720	RSMOLK2_00079
BSU19520	RSMOLK2_01607
BSU36760	RSMOLK2_02286
BSU39350	RSMOLK2_01976
BSU35550	RSMOLK2_00409
BSU33370	RSMOLK2_03860
BSU17460	RSMOLK2_01360
BSU17460	RSMOLK2_03942
BSU35670	RSMOLK2_02707
BSU35670	RSMOLK2_03037
BSU10270	RSMOLK2_00517
BSU10270	RSMOLK2_02182
BSU34900	RSMOLK2_02282
BSU30420	RSMOLK2_03551
BSU30540	RSMOLK2_00183
BSU33930	RSMOLK2_00562
BSU27260	RSMOLK2_04305
BSU28470	RSMOLK2_04039
BSU24310	RSMOLK2_03474
BSU29440	RSMOLK2_02904
BSU40340	RSMOLK2_00165
BSU29200	RSMOLK2_04041
BSU16540	RSMOLK2_03787
BSU29060	RSMOLK2_02151
BSU36830	RSMOLK2_02591
BSU03900	RSMOLK2_00034
BSU00510	RSMOLK2_00363
BSU30290	RSMOLK2_03935
BSU35740	RSMOLK2_00278
BSU32470	RSMOLK2_03678
BSU27430	RSMOLK2_00458
BSU27430	RSMOLK2_03014
BSU27430	RSMOLK2_02498
BSU24040	RSMOLK2_03623
BSU24160	RSMOLK2_00210
BSU24280	RSMOLK2_03052
BSU00750	RSMOLK2_02210
BSU22420	RSMOLK2_02880
BSU24960	RSMOLK2_03331
BSU21690	RSMOLK2_00747
BSU09440	RSMOLK2_03221
BSU09440	RSMOLK2_02789
BSU02490	RSMOLK2_04141
BSU21900	RSMOLK2_02003
BSU00500	RSMOLK2_00182
BSU36820	RSMOLK2_02592
BSU16670	RSMOLK2_02815
BSU16550	RSMOLK2_03786
BSU34880	RSMOLK2_02279
BSU32460	RSMOLK2_03140
BSU24170	RSMOLK2_03512
BSU15900	RSMOLK2_04173
BSU22430	RSMOLK2_01962
BSU02480	RSMOLK2_01297
BSU00180	RSMOLK2_03695
BSU22670	RSMOLK2_01161
BSU22670	RSMOLK2_02212
BSU25020	RSMOLK2_01909
BSU00730	RSMOLK2_04305
BSU34790	RSMOLK2_02927
BSU13170	RSMOLK2_03695
