BSU09290	RSc3052
BSU35580	RSc0913
BSU11250	RSc2554
BSU14400	RSc2863
BSU22700	RSc2969
BSU38050	RSp1285
BSU39700	RSc1246
BSU38170	RSc2917
BSU38170	RSc1858
BSU15730	RSc0072
BSU15610	RSc2420
BSU32750	RSc0920
BSU00910	RSc1644
BSU33040	RSp1279
BSU30450	RSp0638
BSU37760	RSc1758
BSU37760	RSc1757
BSU18440	RSc2964
BSU33720	RSc2516
BSU03060	RSc0981
BSU28120	RSc0666
BSU29210	RSc1980
BSU22140	RSp0947
BSU15860	RSc3296
BSU15860	RSp0045
BSU15860	RSc1100
BSU08070	RSc1798
BSU33390	RSp1144
BSU38040	RSp1284
BSU38160	RSc2916
BSU38160	RSc1859
BSU22830	RSc0357
BSU18570	RSc2859
BSU39370	RSc2644
BSU17000	RSp0961
BSU18450	RSc2965
BSU36660	RSc2035
BSU02400	RSc1758
BSU02400	RSc1757
BSU32740	RSc0921
BSU27600	RSc2153
BSU28250	RSc1989
BSU08860	RSc1339
BSU29220	RSc2767
BSU29220	RSc2123
BSU29340	RSp0932
BSU29340	RSc2260
BSU29340	RSc3408
BSU29340	RSc0484
BSU29340	RSc2106
BSU28130	RSc2989
BSU38990	RSc1570
BSU38990	RSc2254
BSU39720	RSc1238
BSU15510	RSc1519
BSU15190	RSc2847
BSU19310	RSc3128
BSU19310	RSc2110
BSU38630	RSp1581
BSU30230	RSc1477
BSU18220	RSc2872
BSU01780	RSc0178
BSU02990	RSp0067
BSU25310	RSc2085
BSU33500	RSc3348
BSU02510	RSp0830
BSU03600	RSp0480
BSU27610	RSc0417
BSU35920	RSc1013
BSU03280	RSc2420
BSU22960	RSc0480
BSU11710	RSc0100
BSU08850	RSc1340
BSU28260	RSc1990
BSU06430	RSc0576
BSU24340	RSc2787
BSU23250	RSc0712
BSU15520	RSc1521
BSU12010	RSc2863
BSU22730	RSc1211
BSU39390	RSc1758
BSU39390	RSc1757
BSU18470	RSc2819
BSU38500	RSc1518
BSU30220	RSp0961
BSU38860	RSp1101
BSU38980	RSc1571
BSU38980	RSc2253
BSU18230	RSc0261
BSU27860	RSc2448
BSU23260	RSc0713
BSU01770	RSc1528
BSU02980	RSp0066
BSU04000	RSp1612
BSU06420	RSc0575
BSU28270	RSc1988
BSU11720	RSc1172
BSU13900	RSc0347
BSU28150	RSc2357
BSU29360	RSp0480
BSU03150	RSc0441
BSU04360	RSp0520
BSU24350	RSc2786
BSU40330	RSc1758
BSU40330	RSc1757
BSU21810	RSc0946
BSU16100	RSc0555
BSU11330	RSc1050
BSU37280	RSp0974
