KPN_00316	XFCFBP8418_019180
KPN_02855	XFCFBP8418_026020
KPN_02738	XFCFBP8418_024690
KPN_04005	XFCFBP8418_025760
KPN_03036	XFCFBP8418_019770
KPN_03952	XFCFBP8418_018110
KPN_03954	XFCFBP8418_012410
KPN_02743	XFCFBP8418_025100
KPN_04008	XFCFBP8418_004100
KPN_02865	XFCFBP8418_005240
KPN_01090	XFCFBP8418_005920
KPN_01091	XFCFBP8418_005910
KPN_02180	XFCFBP8418_011800
KPN_01092	XFCFBP8418_005900
KPN_01093	XFCFBP8418_005890
KPN_00667	XFCFBP8418_004370
KPN_02848	XFCFBP8418_007250
KPN_01517	XFCFBP8418_002100
KPN_02849	XFCFBP8418_020460
KPN_02176	XFCFBP8418_011760
KPN_04476	XFCFBP8418_020610
KPN_04233	XFCFBP8418_010590
KPN_04478	XFCFBP8418_020630
KPN_01089	XFCFBP8418_017940
KPN_03389	XFCFBP8418_002610
KPN_03388	XFCFBP8418_002620
KPN_00674	XFCFBP8418_019710
KPN_04239	XFCFBP8418_023810
KPN_03029	XFCFBP8418_015200
KPN_03380	XFCFBP8418_000840
KPN_04350	XFCFBP8418_012220
KPN_02295	XFCFBP8418_017920
KPN_02175	XFCFBP8418_011750
KPN_00415	XFCFBP8418_025070
KPN_00414	XFCFBP8418_017690
KPN_02833	XFCFBP8418_004770
KPN_03923	XFCFBP8418_000880
KPN_02834	XFCFBP8418_004780
KPN_03922	XFCFBP8418_000870
KPN_03807	XFCFBP8418_025410
KPN_02719	XFCFBP8418_003900
KPN_01197	XFCFBP8418_007260
KPN_03375	XFCFBP8418_007840
KPN_01198	XFCFBP8418_010720
KPN_01992	XFCFBP8418_013020
KPN_01994	XFCFBP8418_000530
KPN_01994	XFCFBP8418_012590
KPN_00664	XFCFBP8418_020420
KPN_03810	XFCFBP8418_024670
KPN_02160	XFCFBP8418_022440
KPN_02162	XFCFBP8418_014390
KPN_03374	XFCFBP8418_015380
KPN_00409	XFCFBP8418_015240
KPN_02702	XFCFBP8418_000770
KPN_04329	XFCFBP8418_002810
KPN_00645	XFCFBP8418_005040
KPN_03119	XFCFBP8418_002700
KPN_02824	XFCFBP8418_006650
KPN_00768	XFCFBP8418_016460
KPN_00768	XFCFBP8418_027800
KPN_01978	XFCFBP8418_015560
KPN_02825	XFCFBP8418_006660
KPN_02705	XFCFBP8418_000740
KPN_02706	XFCFBP8418_003020
KPN_02827	XFCFBP8418_012360
KPN_03123	XFCFBP8418_022220
KPN_00096	XFCFBP8418_011240
KPN_00095	XFCFBP8418_011250
KPN_03485	XFCFBP8418_020710
KPN_00094	XFCFBP8418_011260
KPN_03125	XFCFBP8418_015800
KPN_03124	XFCFBP8418_022240
KPN_04576	XFCFBP8418_007280
KPN_01068	XFCFBP8418_015020
KPN_00091	XFCFBP8418_011280
KPN_03126	XFCFBP8418_004340
KPN_00090	XFCFBP8418_011290
KPN_04217	XFCFBP8418_000530
KPN_04217	XFCFBP8418_012590
KPN_04331	XFCFBP8418_017800
KPN_00119	XFCFBP8418_010550
KPN_00118	XFCFBP8418_005940
KPN_02778	XFCFBP8418_011590
KPN_03746	XFCFBP8418_026740
KPN_02779	XFCFBP8418_014340
KPN_03625	XFCFBP8418_013350
KPN_04289	XFCFBP8418_026240
KPN_04288	XFCFBP8418_026250
KPN_00480	XFCFBP8418_012350
KPN_01211	XFCFBP8418_023820
KPN_03754	XFCFBP8418_010970
KPN_03996	XFCFBP8418_002650
KPN_03998	XFCFBP8418_008750
KPN_00126	XFCFBP8418_002270
KPN_00367	XFCFBP8418_009760
KPN_00366	XFCFBP8418_009790
KPN_00124	XFCFBP8418_025910
KPN_04282	XFCFBP8418_013260
KPN_00002	XFCFBP8418_020380
KPN_00484	XFCFBP8418_004790
KPN_00120	XFCFBP8418_010560
KPN_00482	XFCFBP8418_025320
KPN_00106	XFCFBP8418_011870
KPN_00227	XFCFBP8418_019610
KPN_02769	XFCFBP8418_010980
KPN_03979	XFCFBP8418_015430
KPN_04157	XFCFBP8418_008660
KPN_02770	XFCFBP8418_004070
KPN_03980	XFCFBP8418_015440
KPN_02771	XFCFBP8418_004080
KPN_03983	XFCFBP8418_015470
KPN_02772	XFCFBP8418_004090
KPN_02773	XFCFBP8418_004100
KPN_02410	XFCFBP8418_019130
KPN_01202	XFCFBP8418_020780
KPN_03745	XFCFBP8418_003360
KPN_03624	XFCFBP8418_013360
KPN_00478	XFCFBP8418_013040
KPN_04270	XFCFBP8418_014980
KPN_00111	XFCFBP8418_000560
KPN_04152	XFCFBP8418_016360
KPN_04152	XFCFBP8418_027690
KPN_04152	XFCFBP8418_000330
KPN_02877	XFCFBP8418_014590
KPN_02758	XFCFBP8418_012090
KPN_03608	XFCFBP8418_003480
KPN_03607	XFCFBP8418_003470
KPN_04267	XFCFBP8418_017900
KPN_04388	XFCFBP8418_001030
KPN_04387	XFCFBP8418_001040
KPN_02761	XFCFBP8418_010980
KPN_02882	XFCFBP8418_003400
KPN_03972	XFCFBP8418_015030
KPN_02641	XFCFBP8418_005180
KPN_03974	XFCFBP8418_025440
KPN_02080	XFCFBP8418_005060
KPN_00103	XFCFBP8418_007820
KPN_02081	XFCFBP8418_005050
KPN_04140	XFCFBP8418_023610
KPN_04142	XFCFBP8418_023590
KPN_00100	XFCFBP8418_011190
KPN_04141	XFCFBP8418_023600
KPN_04143	XFCFBP8418_023580
KPN_00208	XFCFBP8418_007370
KPN_02629	XFCFBP8418_009850
KPN_04135	XFCFBP8418_023670
KPN_03045	XFCFBP8418_008530
KPN_04134	XFCFBP8418_015350
KPN_04376	XFCFBP8418_016510
KPN_04376	XFCFBP8418_027850
KPN_04137	XFCFBP8418_023640
KPN_04379	XFCFBP8418_004180
KPN_02750	XFCFBP8418_011070
KPN_02079	XFCFBP8418_005070
KPN_04136	XFCFBP8418_023650
KPN_04139	XFCFBP8418_023620
KPN_00695	XFCFBP8418_015130
KPN_04138	XFCFBP8418_023630
KPN_02876	XFCFBP8418_009820
KPN_00698	XFCFBP8418_003030
KPN_00456	XFCFBP8418_026070
KPN_00213	XFCFBP8418_010500
KPN_00212	XFCFBP8418_010510
KPN_03161	XFCFBP8418_002960
KPN_00211	XFCFBP8418_010520
KPN_04131	XFCFBP8418_019440
KPN_04010	XFCFBP8418_020710
KPN_04130	XFCFBP8418_019450
KPN_04372	XFCFBP8418_011380
KPN_04133	XFCFBP8418_019420
KPN_04374	XFCFBP8418_007180
KPN_04011	XFCFBP8418_020720
KPN_04132	XFCFBP8418_019430
KPN_00955	XFCFBP8418_014480
KPN_03673	XFCFBP8418_000170
KPN_03673	XFCFBP8418_027900
KPN_03673	XFCFBP8418_001690
KPN_00041	XFCFBP8418_023960
KPN_03672	XFCFBP8418_027910
KPN_03672	XFCFBP8418_000160
KPN_03672	XFCFBP8418_001680
KPN_00040	XFCFBP8418_023970
KPN_00281	XFCFBP8418_025230
KPN_01254	XFCFBP8418_003830
KPN_01255	XFCFBP8418_026720
KPN_00280	XFCFBP8418_025220
KPN_01256	XFCFBP8418_026730
KPN_02468	XFCFBP8418_020420
KPN_00961	XFCFBP8418_012160
KPN_00049	XFCFBP8418_010890
KPN_00169	XFCFBP8418_019220
KPN_00046	XFCFBP8418_019500
KPN_00045	XFCFBP8418_021150
KPN_03792	XFCFBP8418_020700
KPN_00164	XFCFBP8418_010420
KPN_01250	XFCFBP8418_006530
KPN_01493	XFCFBP8418_003360
KPN_02206	XFCFBP8418_017820
KPN_00941	XFCFBP8418_024530
KPN_04627	XFCFBP8418_026060
KPN_00942	XFCFBP8418_024520
KPN_00701	XFCFBP8418_004140
KPN_00945	XFCFBP8418_019240
KPN_00393	XFCFBP8418_003700
KPN_00392	XFCFBP8418_003710
KPN_03664	XFCFBP8418_014550
KPN_00391	XFCFBP8418_003720
KPN_01365	XFCFBP8418_014480
KPN_03665	XFCFBP8418_014560
KPN_01127	XFCFBP8418_000640
KPN_04074	XFCFBP8418_017900
KPN_00395	XFCFBP8418_015550
KPN_00394	XFCFBP8418_003690
KPN_00139	XFCFBP8418_026540
KPN_04615	XFCFBP8418_000660
KPN_03768	XFCFBP8418_015820
KPN_00935	XFCFBP8418_021100
KPN_03409	XFCFBP8418_006490
KPN_00937	XFCFBP8418_004870
KPN_00140	XFCFBP8418_026550
KPN_04621	XFCFBP8418_019680
KPN_02322	XFCFBP8418_025950
KPN_03410	XFCFBP8418_010590
KPN_02202	XFCFBP8418_004800
KPN_02568	XFCFBP8418_007430
KPN_00024	XFCFBP8418_004660
KPN_01590	XFCFBP8418_015390
KPN_00142	XFCFBP8418_026570
KPN_00021	XFCFBP8418_004680
KPN_00020	XFCFBP8418_004690
KPN_00141	XFCFBP8418_026560
KPN_02560	XFCFBP8418_006950
KPN_00369	XFCFBP8418_009740
KPN_02305	XFCFBP8418_010140
KPN_02668	XFCFBP8418_025620
KPN_03757	XFCFBP8418_026760
KPN_03878	XFCFBP8418_025480
KPN_00920	XFCFBP8418_003190
KPN_00800	XFCFBP8418_014650
KPN_02308	XFCFBP8418_010700
