BSU09290	RSK60_02182
BSU35580	RSK60_00791
BSU11250	RSK60_02658
BSU14400	RSK60_02394
BSU22700	RSK60_02273
BSU38050	RSK60_04578
BSU38050	RSK60_04579
BSU38170	RSK60_02336
BSU15730	RSK60_01647
BSU15610	RSK60_02803
BSU32750	RSK60_00784
BSU00910	RSK60_03505
BSU33040	RSK60_04777
BSU37760	RSK60_00104
BSU37760	RSK60_00103
BSU18440	RSK60_02278
BSU33720	RSK60_02706
BSU03060	RSK60_00735
BSU28120	RSK60_01027
BSU29210	RSK60_03198
BSU15860	RSK60_01889
BSU08070	RSK60_00141
BSU33390	RSK60_04652
BSU38040	RSK60_04577
BSU38160	RSK60_02337
BSU22830	RSK60_01385
BSU18570	RSK60_02398
BSU39370	RSK60_02616
BSU17000	RSK60_04393
BSU18450	RSK60_02277
BSU36660	RSK60_03144
BSU02400	RSK60_00104
BSU02400	RSK60_00103
BSU32740	RSK60_00783
BSU27600	RSK60_03050
BSU34920	RSK60_02290
BSU28250	RSK60_03189
BSU08860	RSK60_00325
BSU29220	RSK60_02505
BSU29220	RSK60_03061
BSU29340	RSK60_02939
BSU29340	RSK60_01766
BSU29340	RSK60_01213
BSU28130	RSK60_02252
BSU38990	RSK60_03355
BSU38990	RSK60_02945
BSU39720	RSK60_00421
BSU15510	RSK60_03290
BSU15190	RSK60_02410
BSU19310	RSK60_02104
BSU38630	RSK60_05025
BSU30230	RSK60_00184
BSU18220	RSK60_02382
BSU01780	RSK60_01549
BSU25310	RSK60_03093
BSU33500	RSK60_01828
BSU02510	RSK60_04332
BSU03600	RSK60_03992
BSU27610	RSK60_01324
BSU35920	RSK60_00706
BSU03280	RSK60_02803
BSU22960	RSK60_01217
BSU11710	RSK60_01620
BSU08850	RSK60_00324
BSU28260	RSK60_03188
BSU06430	RSK60_01107
BSU24340	RSK60_02486
BSU23250	RSK60_00972
BSU15520	RSK60_03292
BSU12010	RSK60_02394
BSU22730	RSK60_00462
BSU39390	RSK60_00104
BSU39390	RSK60_00103
BSU18470	RSK60_02439
BSU38500	RSK60_03289
BSU30220	RSK60_04393
BSU38860	RSK60_04624
BSU38980	RSK60_03356
BSU38980	RSK60_02946
BSU18230	RSK60_01486
BSU27860	RSK60_02772
BSU23260	RSK60_00971
BSU01770	RSK60_03299
BSU04000	RSK60_05041
BSU04000	RSK60_04519
BSU06420	RSK60_01108
BSU28270	RSK60_03190
BSU11720	RSK60_00507
BSU13900	RSK60_01396
BSU28150	RSK60_02871
BSU29360	RSK60_03992
BSU03150	RSK60_01256
BSU04360	RSK60_04030
BSU24350	RSK60_02487
BSU40330	RSK60_00104
BSU40330	RSK60_00103
BSU21810	RSK60_00759
BSU16100	RSK60_01130
BSU11330	RSK60_00670
BSU37280	RSK60_04930
BSU15490	RSK60_01015
BSU36510	RSK60_01400
BSU10120	RSK60_01875
BSU31980	RSK60_04511
BSU35660	RSK60_04489
BSU35660	RSK60_04020
BSU31060	RSK60_00217
BSU33800	RSK60_02706
BSU30410	RSK60_04858
BSU30530	RSK60_04458
BSU33920	RSK60_03114
BSU32830	RSK60_01222
BSU03300	RSK60_04713
BSU28560	RSK60_02400
BSU06490	RSK60_03202
BSU06370	RSK60_05137
BSU06370	RSK60_03617
BSU08790	RSK60_01610
BSU18410	RSK60_03819
BSU37150	RSK60_00555
BSU11340	RSK60_00666
BSU11220	RSK60_02787
BSU37270	RSK60_04929
BSU15700	RSK60_02758
BSU21820	RSK60_00758
BSU14610	RSK60_00396
BSU15020	RSK60_01353
BSU36860	RSK60_01856
BSU29300	RSK60_02763
BSU24090	RSK60_04451
BSU06360	RSK60_00238
BSU11230	RSK60_03290
BSU32170	RSK60_01586
BSU38150	RSK60_02338
BSU16920	RSK60_00648
BSU00930	RSK60_00518
BSU30550	RSK60_01589
BSU14180	RSK60_00277
BSU31760	RSK60_00106
BSU39360	RSK60_02613
BSU10020	RSK60_00802
BSU36650	RSK60_03146
BSU36890	RSK60_03008
BSU02430	RSK60_04651
BSU33940	RSK60_02512
BSU32730	RSK60_00782
BSU32730	RSK60_01790
BSU33700	RSK60_02706
BSU34910	RSK60_02291
BSU33820	RSK60_02706
BSU22480	RSK60_03011
BSU27010	RSK60_04868
BSU27010	RSK60_03074
BSU11240	RSK60_03292
BSU38020	RSK60_01620
BSU15600	RSK60_02056
BSU15600	RSK60_03742
BSU37170	RSK60_04147
BSU37170	RSK60_01472
BSU15720	RSK60_01649
BSU19520	RSK60_04681
BSU36760	RSK60_02289
BSU39350	RSK60_02614
BSU35550	RSK60_01262
BSU33370	RSK60_00329
BSU36640	RSK60_03147
BSU17460	RSK60_00409
BSU17460	RSK60_04391
BSU35670	RSK60_03624
BSU35670	RSK60_02957
BSU10270	RSK60_02400
BSU34900	RSK60_02293
BSU30420	RSK60_00055
BSU30540	RSK60_01549
BSU33930	RSK60_01112
BSU27260	RSK60_00787
BSU28470	RSK60_00509
BSU24310	RSK60_03449
BSU29440	RSK60_02864
BSU40340	RSK60_01566
BSU29200	RSK60_00511
BSU16540	RSK60_00260
BSU29060	RSK60_02429
BSU36830	RSK60_01859
BSU03900	RSK60_01690
BSU00510	RSK60_01347
BSU30290	RSK60_00402
BSU35740	RSK60_01432
BSU32470	RSK60_00203
BSU27430	RSK60_02939
BSU27430	RSK60_01766
BSU27430	RSK60_01213
BSU24040	RSK60_00141
BSU24160	RSK60_01500
BSU24280	RSK60_02972
BSU00750	RSK60_02372
BSU22420	RSK60_02830
BSU24960	RSK60_03303
BSU21690	RSK60_00921
BSU09440	RSK60_03177
BSU09440	RSK60_03703
BSU02490	RSK60_00638
BSU21900	RSK60_02585
BSU00500	RSK60_01550
BSU36820	RSK60_01860
BSU16670	RSK60_02763
BSU16550	RSK60_00259
BSU34880	RSK60_02296
BSU32460	RSK60_03069
BSU24170	RSK60_03492
BSU15900	RSK60_00669
BSU22430	RSK60_02629
BSU02480	RSK60_04330
BSU00180	RSK60_00223
BSU22670	RSK60_04194
BSU22670	RSK60_02370
BSU25020	RSK60_02684
BSU00730	RSK60_00787
BSU34790	RSK60_02886
BSU13170	RSK60_00223
BSU17890	RSK60_02511
BSU33900	RSK60_00552
BSU03320	RSK60_04713
BSU15910	RSK60_00668
BSU28540	RSK60_00105
BSU29990	RSK60_05137
BSU29990	RSK60_03617
BSU40420	RSK60_00447
BSU14830	RSK60_04651
BSU13180	RSK60_04189
BSU31150	RSK60_00991
BSU28310	RSK60_03101
BSU30980	RSK60_03785
BSU01370	RSK60_02677
BSU36470	RSK60_00439
BSU40850	RSK60_04484
BSU13110	RSK60_03251
BSU28290	RSK60_03103
BSU22620	RSK60_00800
BSU35940	RSK60_00425
BSU35940	RSK60_05093
BSU32430	RSK60_03067
BSU18000	RSK60_03174
BSU22060	RSK60_03067
BSU23270	RSK60_00970
BSU00790	RSK60_02631
BSU06530	RSK60_03005
BSU08830	RSK60_01363
BSU08710	RSK60_01027
BSU28280	RSK60_03106
BSU29130	RSK60_02735
BSU21770	RSK60_01247
BSU24120	RSK60_03178
BSU24120	RSK60_03704
BSU04470	RSK60_01413
BSU13120	RSK60_02439
BSU16510	RSK60_00263
BSU37790	RSK60_01217
BSU39730	RSK60_00422
BSU12950	RSK60_03238
BSU12950	RSK60_02390
BSU39050	RSK60_05025
BSU18250	RSK60_01255
BSU23280	RSK60_00969
BSU23280	RSK60_00968
BSU22070	RSK60_01324
BSU36900	RSK60_00955
BSU06520	RSK60_01191
BSU33510	RSK60_01827
BSU08820	RSK60_05025
BSU22750	RSK60_01239
BSU23960	RSK60_02939
BSU23960	RSK60_01766
BSU23960	RSK60_01213
BSU29020	RSK60_02512
BSU29140	RSK60_03177
BSU29140	RSK60_03703
BSU24130	RSK60_03175
BSU38550	RSK60_04900
BSU13130	RSK60_02520
BSU36370	RSK60_00254
BSU34190	RSK60_00735
BSU12840	RSK60_00352
BSU32450	RSK60_03064
BSU34870	RSK60_02297
BSU18260	RSK60_04147
BSU18260	RSK60_01472
BSU15790	RSK60_02375
BSU37100	RSK60_02289
BSU39760	RSK60_04564
BSU24140	RSK60_03177
BSU24140	RSK60_03703
BSU16090	RSK60_01131
BSU00770	RSK60_03298
BSU36810	RSK60_01861
BSU22640	RSK60_03195
BSU23850	RSK60_05002
BSU00090	RSK60_00240
BSU23970	RSK60_03992
BSU14900	RSK60_02337
BSU40070	RSK60_04681
BSU02390	RSK60_04900
BSU39750	RSK60_00420
BSU18830	RSK60_01395
BSU16530	RSK60_00261
BSU34860	RSK60_02298
BSU35950	RSK60_00424
BSU32440	RSK60_03067
BSU03910	RSK60_00977
BSU03910	RSK60_04518
BSU03910	RSK60_01691
BSU03910	RSK60_05040
BSU19360	RSK60_00397
BSU10790	RSK60_01549
BSU14590	RSK60_00141
BSU15680	RSK60_03048
BSU16770	RSK60_00536
BSU24150	RSK60_04147
BSU24150	RSK60_01472
BSU24270	RSK60_02973
